Page,Day Index,Page Views,Unique Page Views,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/perchero-suelo-metal-negro-21504.html,20/04/2018,9,9,00:00:00,9,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,22/04/2018,28,19,00:04:53,19,47.37%,67.86%,€0.00
/perchero-suelo-metal-negro-21504.html,23/04/2018,9,9,00:00:00,9,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,24/04/2018,28,19,00:00:55,0,0.00%,32.14%,€0.00
/perchero-suelo-metal-negro-21504.html,25/04/2018,37,28,00:00:48,19,0.00%,24.32%,€0.00
/perchero-suelo-metal-negro-21504.html,27/04/2018,9,9,00:01:04,0,0.00%,0.00%,€58.14
/perchero-suelo-metal-negro-21504.html,01/05/2018,19,19,00:00:33,9,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,03/05/2018,9,9,00:00:00,0,0.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,05/05/2018,9,9,00:00:46,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,08/05/2018,19,19,00:00:00,19,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,09/05/2018,9,9,00:01:41,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,16/05/2018,9,9,00:00:06,9,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,17/05/2018,9,9,00:01:17,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,18/05/2018,19,9,00:00:49,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,30/05/2018,19,19,00:00:40,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,01/06/2018,9,9,00:00:54,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,09/06/2018,9,9,00:00:00,9,0.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,25/06/2018,9,9,00:00:00,9,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,30/06/2018,19,9,00:00:17,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,12/07/2018,9,9,00:00:00,9,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,18/07/2018,9,9,00:00:00,9,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,22/07/2018,9,9,00:00:23,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,24/07/2018,56,19,00:01:58,19,47.37%,33.93%,€0.00
/perchero-suelo-metal-negro-21504.html,25/07/2018,9,9,00:00:00,9,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,26/07/2018,19,19,00:00:00,19,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,29/07/2018,37,19,00:12:27,0,0.00%,51.35%,€0.00
/perchero-suelo-metal-negro-21504.html,30/07/2018,19,19,00:01:10,19,47.37%,47.37%,€0.00
/perchero-suelo-metal-negro-21504.html,01/08/2018,19,19,00:01:16,19,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,02/08/2018,9,9,00:00:00,9,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,09/08/2018,28,28,00:02:06,9,100.00%,67.86%,€18.02
/perchero-suelo-metal-negro-21504.html,10/08/2018,9,9,00:00:00,9,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,11/08/2018,9,9,00:00:00,9,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,12/08/2018,9,9,00:00:00,9,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,14/08/2018,37,28,00:00:11,28,67.86%,75.68%,€0.00
/perchero-suelo-metal-negro-21504.html,15/08/2018,19,19,00:00:28,19,47.37%,47.37%,€0.00
/perchero-suelo-metal-negro-21504.html,16/08/2018,9,9,00:00:35,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,18/08/2018,19,9,00:41:36,9,0.00%,47.37%,€0.00
/perchero-suelo-metal-negro-21504.html,19/08/2018,47,47,00:00:00,37,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,21/08/2018,9,9,00:00:00,9,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,22/08/2018,9,9,00:00:00,9,0.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,25/08/2018,47,28,00:00:52,19,47.37%,40.43%,€0.00
/perchero-suelo-metal-negro-21504.html,27/08/2018,37,28,00:00:31,19,100.00%,51.35%,€0.00
/perchero-suelo-metal-negro-21504.html,30/08/2018,9,9,00:00:00,9,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,02/09/2018,9,9,00:00:00,0,0.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,04/09/2018,9,9,00:00:00,9,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,21/10/2018,9,9,00:00:57,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,04/11/2018,9,9,00:00:00,9,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,05/11/2018,9,9,00:03:35,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,06/11/2018,9,9,00:00:46,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,07/11/2018,9,9,00:00:00,9,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,08/11/2018,28,28,00:00:19,28,67.86%,67.86%,€0.00
/perchero-suelo-metal-negro-21504.html,09/11/2018,9,9,00:00:00,9,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,10/11/2018,9,9,00:00:55,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,12/11/2018,9,9,00:00:14,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,13/11/2018,9,9,00:00:00,9,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,14/11/2018,28,28,00:00:00,19,67.86%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,17/11/2018,47,37,00:06:31,37,75.68%,78.72%,€0.00
/perchero-suelo-metal-negro-21504.html,18/11/2018,37,19,00:01:22,0,0.00%,24.32%,€0.00
/perchero-suelo-metal-negro-21504.html,20/11/2018,19,19,00:00:42,0,0.00%,47.37%,€0.00
/perchero-suelo-metal-negro-21504.html,21/11/2018,19,19,00:00:57,0,0.00%,0.00%,€0.00
