,Reference,CatN1,CatN2,Cat_Price,Dates,CPC_medio,Impressions,Clics,Page_Views,Cost,Conversions,All_Conversions,Ads_Income,Ads_Income_All,Net_Incomes,Units_sold,ROAS_Ads,CTR,CPC_medio_1w,CPC_medio_2w,CPC_medio_3w,CPC_medio_4w,Impressions_1w,Impressions_2w,Impressions_3w,Impressions_4w,Clics_1w,Clics_2w,Clics_3w,Clics_4w,CTR_1w,CTR_2w,CTR_3w,CTR_4w,Page_Views_1w,Page_Views_2w,Page_Views_3w,Page_Views_4w,Cost_1w,Cost_2w,Cost_3w,Cost_4w,Conversions_1w,Conversions_2w,Conversions_3w,Conversions_4w,All_Conversions_1w,All_Conversions_2w,All_Conversions_3w,All_Conversions_4w,Ads_Income_1w,Ads_Income_2w,Ads_Income_3w,Ads_Income_4w,Ads_Income_All_1w,Ads_Income_All_2w,Ads_Income_All_3w,Ads_Income_All_4w,Net_Incomes_1w,Net_Incomes_2w,Net_Incomes_3w,Net_Incomes_4w,Units_sold_1w,Units_sold_2w,Units_sold_3w,Units_sold_4w
28,61096,organización y almacenamiento,percheros,50.0,2018-10-01,0.23,1294.0,11.0,9.0,2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008500772797527048,0.21,0.23,0.23,0.23,1294.0,1294.0,1294.0,1294.0,11.0,11.0,11.0,11.0,0.01,0.01,0.01,0.01,9.0,9.0,9.0,9.0,2.54,2.54,2.54,2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,61096,organización y almacenamiento,percheros,50.0,2018-10-02,0.26,1306.0,22.0,9.0,5.7,1.0,2.0,51.9,51.9,41.24,1.0,9.11,0.016845329249617153,0.21,0.23,0.23,0.23,1300.0,1300.0,1300.0,1300.0,16.5,16.5,16.5,16.5,0.01,0.01,0.01,0.01,9.0,9.0,9.0,9.0,4.12,4.12,4.12,4.12,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,25.95,25.95,25.95,25.95,25.95,25.95,25.95,25.95,20.62,20.62,20.62,20.62,0.5,0.5,0.5,0.5
30,61096,organización y almacenamiento,percheros,50.0,2018-10-03,0.23,1381.0,22.0,37.0,4.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015930485155684286,0.24,0.23,0.23,0.23,1327.0,1327.0,1327.0,1327.0,18.33,18.33,18.33,18.33,0.01,0.01,0.01,0.01,18.33,18.33,18.33,18.33,4.4,4.4,4.4,4.4,0.33,0.33,0.33,0.33,0.67,0.67,0.67,0.67,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,13.75,13.75,13.75,13.75,0.33,0.33,0.33,0.33
31,61096,organización y almacenamiento,percheros,50.0,2018-10-04,0.33,1554.0,13.0,19.0,4.32,1.0,1.0,46.91,46.91,37.12,1.0,10.86,0.008365508365508366,0.25,0.23,0.24,0.24,1383.75,1383.75,1383.75,1383.75,17.0,17.0,17.0,17.0,0.01,0.01,0.01,0.01,18.5,18.5,18.5,18.5,4.38,4.38,4.38,4.38,0.5,0.5,0.5,0.5,0.75,0.75,0.75,0.75,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,19.59,19.59,19.59,19.59,0.5,0.5,0.5,0.5
32,61096,organización y almacenamiento,percheros,50.0,2018-10-05,0.23,1265.0,11.0,0.0,2.53,1.0,2.0,89.82,89.82,0.0,0.0,35.5,0.008695652173913044,0.25,0.23,0.24,0.24,1360.0,1360.0,1360.0,1360.0,15.8,15.8,15.8,15.8,0.01,0.01,0.01,0.01,14.8,14.8,14.8,14.8,4.01,4.01,4.01,4.01,0.6,0.6,0.6,0.6,1.0,1.0,1.0,1.0,37.73,37.73,37.73,37.73,37.73,37.73,37.73,37.73,15.67,15.67,15.67,15.67,0.4,0.4,0.4,0.4
33,61096,organización y almacenamiento,percheros,50.0,2018-10-06,0.22,1381.0,28.0,75.0,6.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020275162925416364,0.25,0.23,0.24,0.24,1363.5,1363.5,1363.5,1363.5,17.83,17.83,17.83,17.83,0.01,0.01,0.01,0.01,24.83,24.83,24.83,24.83,4.39,4.39,4.39,4.39,0.5,0.5,0.5,0.5,0.83,0.83,0.83,0.83,31.44,31.44,31.44,31.44,31.44,31.44,31.44,31.44,13.06,13.06,13.06,13.06,0.33,0.33,0.33,0.33
34,61096,organización y almacenamiento,percheros,50.0,2018-10-07,0.25,2183.0,33.0,19.0,8.34,0.14,1.14,7.13,7.13,0.0,0.0,0.85,0.015116811726981219,0.25,0.23,0.24,0.24,1480.57,1480.57,1480.57,1480.57,20.0,20.0,20.0,20.0,0.01,0.01,0.01,0.01,24.0,24.0,24.0,24.0,4.95,4.95,4.95,4.95,0.45,0.45,0.45,0.45,0.88,0.88,0.88,0.88,27.97,27.97,27.97,27.97,27.97,27.97,27.97,27.97,11.19,11.19,11.19,11.19,0.29,0.29,0.29,0.29
35,61096,organización y almacenamiento,percheros,50.0,2018-10-08,0.22,2157.0,38.0,66.0,8.27,0.0,1.0,0.0,0.0,74.23,2.0,0.0,0.01761706073249884,0.25,0.23,0.23,0.24,1603.86,1565.12,1565.12,1565.12,23.86,22.25,22.25,22.25,0.01,0.01,0.01,0.01,32.14,29.25,29.25,29.25,5.77,5.37,5.37,5.37,0.45,0.39,0.39,0.39,1.02,0.89,0.89,0.89,27.97,24.47,24.47,24.47,27.97,24.47,24.47,24.47,21.8,19.07,19.07,19.07,0.57,0.5,0.5,0.5
36,61096,organización y almacenamiento,percheros,50.0,2018-10-09,0.25,2138.0,26.0,56.0,6.46,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01216089803554724,0.25,0.23,0.23,0.24,1722.71,1628.78,1628.78,1628.78,24.43,22.67,22.67,22.67,0.01,0.01,0.01,0.01,38.86,32.22,32.22,32.22,5.88,5.49,5.49,5.49,0.31,0.35,0.35,0.35,0.88,0.9,0.9,0.9,20.55,21.75,21.75,21.75,20.55,21.75,21.75,21.75,15.91,16.95,16.95,16.95,0.43,0.44,0.44,0.44
37,61096,organización y almacenamiento,percheros,50.0,2018-10-10,0.26,1770.0,24.0,0.0,6.3,1.0,3.0,49.9,49.9,41.24,1.0,7.92,0.013559322033898305,0.25,0.25,0.23,0.24,1778.29,1642.9,1642.9,1642.9,24.71,22.8,22.8,22.8,0.01,0.01,0.01,0.01,33.57,29.0,29.0,29.0,6.07,5.57,5.57,5.57,0.45,0.41,0.41,0.41,1.31,1.11,1.11,1.11,27.68,24.57,24.57,24.57,27.68,24.57,24.57,24.57,21.8,19.38,19.38,19.38,0.57,0.5,0.5,0.5
