,Reference,Name,Dates,Net_Incomes,Units_sold
28,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-09-03,0.0,0.0
29,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-09-04,0.0,0.0
0,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-09-05,74.01,3.0
1,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-09-06,123.35,5.0
30,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-09-07,0.0,0.0
2,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-09-08,24.67,1.0
3,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-09-09,24.67,1.0
4,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-09-10,49.33,2.0
31,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-09-11,0.0,0.0
32,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-09-12,0.0,0.0
33,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-09-13,0.0,0.0
34,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-09-14,0.0,0.0
5,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-09-15,24.67,1.0
35,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-09-16,0.0,0.0
36,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-09-17,0.0,0.0
6,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-09-18,98.68,4.0
7,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-09-19,24.67,1.0
8,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-09-20,49.34,2.0
37,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-09-21,0.0,0.0
38,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-09-22,0.0,0.0
9,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-09-23,24.67,1.0
10,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-09-24,46.87,2.0
11,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-09-25,22.2,1.0
39,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-09-26,0.0,0.0
40,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-09-27,0.0,0.0
12,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-09-28,22.2,1.0
13,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-09-29,49.34,2.0
41,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-09-30,0.0,0.0
42,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-10-01,0.0,0.0
14,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-10-02,71.54,3.0
15,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-10-03,74.01,3.0
43,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-10-04,0.0,0.0
16,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-10-05,24.67,1.0
44,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-10-06,0.0,0.0
17,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-10-07,24.67,1.0
18,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-10-08,24.67,1.0
19,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-10-09,24.67,1.0
45,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-10-10,0.0,0.0
20,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-10-11,24.67,1.0
46,8146000.0,GAZEBO RAFIA PLÁSTICA BLANCO,2018-10-12,0.0,0.0
