,Reference,Name,Dates,Net_Incomes,Units_sold
32,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-09-03,0.0,0.0
0,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-09-04,41.24,1.0
1,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-09-05,41.24,1.0
2,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-09-06,41.24,1.0
33,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-09-07,0.0,0.0
34,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-09-08,0.0,0.0
35,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-09-09,0.0,0.0
3,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-09-10,41.24,1.0
4,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-09-11,41.24,1.0
36,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-09-12,0.0,0.0
37,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-09-13,0.0,0.0
38,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-09-14,0.0,0.0
39,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-09-15,0.0,0.0
40,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-09-16,0.0,0.0
41,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-09-17,0.0,0.0
42,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-09-18,0.0,0.0
43,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-09-19,0.0,0.0
44,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-09-20,0.0,0.0
45,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-09-21,0.0,0.0
46,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-09-22,0.0,0.0
47,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-09-23,0.0,0.0
48,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-09-24,0.0,0.0
49,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-09-25,0.0,0.0
5,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-09-26,41.24,1.0
50,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-09-27,0.0,0.0
51,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-09-28,0.0,0.0
52,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-09-29,0.0,0.0
53,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-09-30,0.0,0.0
54,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-10-01,0.0,0.0
6,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-10-02,41.24,1.0
55,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-10-03,0.0,0.0
7,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-10-04,37.12,1.0
56,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-10-05,0.0,0.0
57,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-10-06,0.0,0.0
58,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-10-07,0.0,0.0
8,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-10-08,74.23,2.0
59,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-10-09,0.0,0.0
9,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-10-10,41.24,1.0
60,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-10-11,0.0,0.0
61,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-10-12,0.0,0.0
62,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-10-13,0.0,0.0
63,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-10-14,0.0,0.0
64,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-10-15,0.0,0.0
65,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-10-16,0.0,0.0
66,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-10-17,0.0,0.0
67,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-10-18,0.0,0.0
68,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-10-19,0.0,0.0
10,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-10-20,41.24,1.0
69,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-10-21,0.0,0.0
70,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-10-22,0.0,0.0
71,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-10-23,0.0,0.0
72,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-10-24,0.0,0.0
73,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-10-25,0.0,0.0
74,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-10-26,0.0,0.0
75,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-10-27,0.0,0.0
76,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-10-28,0.0,0.0
77,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-10-29,0.0,0.0
78,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-10-30,0.0,0.0
79,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-10-31,0.0,0.0
11,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-11-01,41.24,1.0
80,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-11-02,0.0,0.0
81,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-11-03,0.0,0.0
82,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-11-04,0.0,0.0
83,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-11-05,0.0,0.0
84,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-11-06,0.0,0.0
85,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-11-07,0.0,0.0
86,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-11-08,0.0,0.0
87,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-11-09,0.0,0.0
88,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-11-10,0.0,0.0
89,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-11-11,0.0,0.0
12,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-11-12,37.12,1.0
13,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-11-13,82.48,2.0
90,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-11-14,0.0,0.0
91,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-11-15,0.0,0.0
92,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-11-16,0.0,0.0
14,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-11-17,41.24,1.0
93,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-11-18,0.0,0.0
94,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-11-19,0.0,0.0
95,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-11-20,0.0,0.0
15,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-11-21,37.11,1.0
96,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-11-22,0.0,0.0
16,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-11-23,148.44,4.0
17,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-11-24,37.11,1.0
97,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-11-25,0.0,0.0
98,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-11-26,0.0,0.0
99,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-11-27,0.0,0.0
100,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-11-28,0.0,0.0
101,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-11-29,0.0,0.0
18,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-11-30,41.24,1.0
102,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-12-01,0.0,0.0
103,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-12-02,0.0,0.0
104,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-12-03,0.0,0.0
105,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-12-04,0.0,0.0
106,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-12-05,0.0,0.0
107,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-12-06,0.0,0.0
108,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-12-07,0.0,0.0
109,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-12-08,0.0,0.0
19,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-12-09,41.24,1.0
110,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-12-10,0.0,0.0
111,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-12-11,0.0,0.0
112,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-12-12,0.0,0.0
113,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-12-13,0.0,0.0
114,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-12-14,0.0,0.0
115,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-12-15,0.0,0.0
20,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-12-16,41.24,1.0
116,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-12-17,0.0,0.0
117,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-12-18,0.0,0.0
118,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-12-19,0.0,0.0
119,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-12-20,0.0,0.0
120,61096.0,"PERCHERO ""THONET"" ÁLAMO Y ABEDUL CAOBA",2018-12-21,0.0,0.0
