,Reference,Name,Dates,Net_Incomes,Units_sold
26,64531.0,CONSOLA 2 PUERTAS Y 6 CAJONES BLANCO,2018-09-03,0.0,0.0
27,64531.0,CONSOLA 2 PUERTAS Y 6 CAJONES BLANCO,2018-09-04,0.0,0.0
28,64531.0,CONSOLA 2 PUERTAS Y 6 CAJONES BLANCO,2018-09-05,0.0,0.0
29,64531.0,CONSOLA 2 PUERTAS Y 6 CAJONES BLANCO,2018-09-06,0.0,0.0
30,64531.0,CONSOLA 2 PUERTAS Y 6 CAJONES BLANCO,2018-09-07,0.0,0.0
31,64531.0,CONSOLA 2 PUERTAS Y 6 CAJONES BLANCO,2018-09-08,0.0,0.0
32,64531.0,CONSOLA 2 PUERTAS Y 6 CAJONES BLANCO,2018-09-09,0.0,0.0
0,64531.0,CONSOLA 2 PUERTAS Y 6 CAJONES BLANCO,2018-09-10,133.88,1.0
33,64531.0,CONSOLA 2 PUERTAS Y 6 CAJONES BLANCO,2018-09-11,0.0,0.0
34,64531.0,CONSOLA 2 PUERTAS Y 6 CAJONES BLANCO,2018-09-12,0.0,0.0
35,64531.0,CONSOLA 2 PUERTAS Y 6 CAJONES BLANCO,2018-09-13,0.0,0.0
36,64531.0,CONSOLA 2 PUERTAS Y 6 CAJONES BLANCO,2018-09-14,0.0,0.0
37,64531.0,CONSOLA 2 PUERTAS Y 6 CAJONES BLANCO,2018-09-15,0.0,0.0
38,64531.0,CONSOLA 2 PUERTAS Y 6 CAJONES BLANCO,2018-09-16,0.0,0.0
1,64531.0,CONSOLA 2 PUERTAS Y 6 CAJONES BLANCO,2018-09-17,133.88,1.0
39,64531.0,CONSOLA 2 PUERTAS Y 6 CAJONES BLANCO,2018-09-18,0.0,0.0
40,64531.0,CONSOLA 2 PUERTAS Y 6 CAJONES BLANCO,2018-09-19,0.0,0.0
41,64531.0,CONSOLA 2 PUERTAS Y 6 CAJONES BLANCO,2018-09-20,0.0,0.0
42,64531.0,CONSOLA 2 PUERTAS Y 6 CAJONES BLANCO,2018-09-21,0.0,0.0
2,64531.0,CONSOLA 2 PUERTAS Y 6 CAJONES BLANCO,2018-09-22,120.5,1.0
