,Reference,Name,Dates,Net_Incomes,Units_sold
21,103076.0,CONSOLA MARRÓN-BLANCO,2018-09-03,0.0,0.0
22,103076.0,CONSOLA MARRÓN-BLANCO,2018-09-04,0.0,0.0
23,103076.0,CONSOLA MARRÓN-BLANCO,2018-09-05,0.0,0.0
24,103076.0,CONSOLA MARRÓN-BLANCO,2018-09-06,0.0,0.0
25,103076.0,CONSOLA MARRÓN-BLANCO,2018-09-07,0.0,0.0
26,103076.0,CONSOLA MARRÓN-BLANCO,2018-09-08,0.0,0.0
27,103076.0,CONSOLA MARRÓN-BLANCO,2018-09-09,0.0,0.0
28,103076.0,CONSOLA MARRÓN-BLANCO,2018-09-10,0.0,0.0
29,103076.0,CONSOLA MARRÓN-BLANCO,2018-09-11,0.0,0.0
30,103076.0,CONSOLA MARRÓN-BLANCO,2018-09-12,0.0,0.0
31,103076.0,CONSOLA MARRÓN-BLANCO,2018-09-13,0.0,0.0
32,103076.0,CONSOLA MARRÓN-BLANCO,2018-09-14,0.0,0.0
33,103076.0,CONSOLA MARRÓN-BLANCO,2018-09-15,0.0,0.0
34,103076.0,CONSOLA MARRÓN-BLANCO,2018-09-16,0.0,0.0
35,103076.0,CONSOLA MARRÓN-BLANCO,2018-09-17,0.0,0.0
36,103076.0,CONSOLA MARRÓN-BLANCO,2018-09-18,0.0,0.0
37,103076.0,CONSOLA MARRÓN-BLANCO,2018-09-19,0.0,0.0
38,103076.0,CONSOLA MARRÓN-BLANCO,2018-09-20,0.0,0.0
39,103076.0,CONSOLA MARRÓN-BLANCO,2018-09-21,0.0,0.0
0,103076.0,CONSOLA MARRÓN-BLANCO,2018-09-22,193.39,1.0
40,103076.0,CONSOLA MARRÓN-BLANCO,2018-09-23,0.0,0.0
41,103076.0,CONSOLA MARRÓN-BLANCO,2018-09-24,0.0,0.0
42,103076.0,CONSOLA MARRÓN-BLANCO,2018-09-25,0.0,0.0
43,103076.0,CONSOLA MARRÓN-BLANCO,2018-09-26,0.0,0.0
44,103076.0,CONSOLA MARRÓN-BLANCO,2018-09-27,0.0,0.0
45,103076.0,CONSOLA MARRÓN-BLANCO,2018-09-28,0.0,0.0
1,103076.0,CONSOLA MARRÓN-BLANCO,2018-09-29,193.39,1.0
46,103076.0,CONSOLA MARRÓN-BLANCO,2018-09-30,0.0,0.0
47,103076.0,CONSOLA MARRÓN-BLANCO,2018-10-01,0.0,0.0
