,path,total_conversions
0,(Other),16
1,BING_CPC,1
2,BRANDING,153
3,CRITEO,30
4,DIRECTO,440
5,DISPLAYGOOGLE,1
6,DISPLAYGOOGLE(impression),8
7,EMAIL,10
8,FACEBOOK,5
9,ORGANICO,40
10,SEARCH,11
11,SHOPPING,34
12,SMART,8
13,SMART(impression),25
