,path,total_conversions
0,(Other),46
1,BING_CPC,10
2,BING_ORGANICO,9
3,BRANDING,749
4,CRITEO,158
5,DIRECTO,2036
6,DISPLAYGOOGLE,4
7,DISPLAYGOOGLE(impression),16
8,EMAIL,83
9,FACEBOOK,130
10,INSTAGRAM,3
11,ORGANICO,293
12,SEARCH,92
13,SHOPPING,361
14,SMART,47
15,SMART(impression),43
