,path,total_conversions
0,(Other),7
1,BING_ORGANICO,2
2,BRANDING,101
3,CRITEO,30
4,DIRECTO,359
5,DISPLAYGOOGLE,2
6,DISPLAYGOOGLE(impression),5
7,EMAIL,13
8,FACEBOOK,3
9,ORGANICO,45
10,SEARCH,19
11,SHOPPING,33
12,SMART,12
13,SMART(impression),24
