,path,total_conversions
0,BRANDING,27
1,CRITEO,7
2,DIRECTO,82
3,DISPLAYGOOGLE(impression),2
4,EMAIL,2
5,ORGANICO,6
6,SEARCH,2
7,SHOPPING,9
8,SMART,1
9,SMART(impression),10
