,path,total_conversions
0,(Other),62
1,BING_CPC,128
2,BING_ORGANICO,74
3,BRANDING,2250
4,CRITEO,156
5,DIRECTO,1865
6,DISPLAYGOOGLE,8
7,DISPLAYGOOGLE(impression),4
8,EMAIL,304
9,FACEBOOK,223
10,INSTAGRAM,110
11,ORGANICO,2460
12,SEARCH,729
13,SHOPPING,2251
14,SMART,241
15,SMART(impression),15
16,YOUTUBE,3
