,path,total_conversions
0,(Other),22
1,BING_CPC,4
2,BING_ORGANICO,2
3,BRANDING,299
4,CRITEO,72
5,DIRECTO,883
6,DISPLAYGOOGLE,3
7,DISPLAYGOOGLE(impression),11
8,EMAIL,40
9,FACEBOOK,26
10,INSTAGRAM,1
11,ORGANICO,101
12,SEARCH,23
13,SHOPPING,107
14,SMART,14
15,SMART(impression),32
