,path,total_conversions
0,(Other),7
1,BING_CPC,3
2,BING_ORGANICO,4
3,BRANDING,207
4,CRITEO,59
5,DIRECTO,607
6,DISPLAYGOOGLE,4
7,DISPLAYGOOGLE(impression),8
8,EMAIL,23
9,FACEBOOK,14
10,ORGANICO,59
11,SEARCH,20
12,SHOPPING,75
13,SMART,9
14,SMART(impression),24
