,path,total_conversions
0,(Other),2
1,BRANDING,14
2,CRITEO,5
3,DIRECTO,37
4,DISPLAYGOOGLE(impression),1
5,EMAIL,6
6,ORGANICO,1
7,SEARCH,2
8,SHOPPING,4
9,SMART,1
10,SMART(impression),7
