,path,total_conversions
0,(Other),2
1,BRANDING,33
2,CRITEO,16
3,DIRECTO,138
4,DISPLAYGOOGLE,2
5,DISPLAYGOOGLE(impression),5
6,EMAIL,3
7,FACEBOOK,4
8,ORGANICO,11
9,SEARCH,3
10,SHOPPING,9
11,SMART,1
12,SMART(impression),13
