,path,total_conversions
0,(Other),71
1,BING_CPC,19
2,BING_ORGANICO,14
3,BRANDING,965
4,CRITEO,235
5,DIRECTO,2608
6,DISPLAYGOOGLE,2
7,DISPLAYGOOGLE(impression),19
8,EMAIL,88
9,FACEBOOK,166
10,INSTAGRAM,13
11,ORGANICO,402
12,SEARCH,143
13,SHOPPING,570
14,SMART,74
15,SMART(impression),46
16,YOUTUBE,1
