,path,total_conversions
0,BRANDING,6
1,CRITEO,4
2,DIRECTO,29
3,DISPLAYGOOGLE(impression),1
4,ORGANICO,1
5,SEARCH,1
6,SHOPPING,2
7,SMART(impression),4
