,path,total_conversions
0,BING_CPC,1
1,BRANDING,14
2,CRITEO,1
3,DIRECTO,36
4,EMAIL,1
5,ORGANICO,5
6,SEARCH,2
7,SHOPPING,6
8,SMART,1
9,SMART(impression),7
