,path,total_conversions
0,BRANDING,22
1,CRITEO,7
2,DIRECTO,54
3,DISPLAYGOOGLE(impression),1
4,ORGANICO,5
5,SEARCH,2
6,SHOPPING,3
7,SMART,1
8,SMART(impression),10
