,path,total_conversions
0,(Other),4
1,BRANDING,75
2,CRITEO,15
3,DIRECTO,249
4,DISPLAYGOOGLE(impression),6
5,EMAIL,9
6,FACEBOOK,3
7,ORGANICO,22
8,SEARCH,6
9,SHOPPING,28
10,SMART,5
11,SMART(impression),16
