,path,total_conversions
0,(Other),7
1,BRANDING,102
2,CRITEO,26
3,DIRECTO,320
4,DISPLAYGOOGLE(impression),3
5,EMAIL,13
6,FACEBOOK,5
7,ORGANICO,24
8,SEARCH,9
9,SHOPPING,29
10,SMART,9
11,SMART(impression),21
