,path,total_conversions
0,BRANDING,8
1,CRITEO,3
2,DIRECTO,34
3,DISPLAYGOOGLE(impression),1
4,EMAIL,1
5,FACEBOOK,1
6,ORGANICO,1
7,SEARCH,2
8,SHOPPING,4
9,SMART,1
10,SMART(impression),2
