,path,total_conversions
0,(Other),1
1,BRANDING,9
2,CRITEO,5
3,DIRECTO,33
4,DISPLAYGOOGLE(impression),2
5,EMAIL,1
6,ORGANICO,1
7,SEARCH,3
8,SHOPPING,4
9,SMART(impression),5
