,path,total_conversions
0,(Other),13
1,BING_CPC,2
2,BING_ORGANICO,4
3,BRANDING,247
4,CRITEO,73
5,DIRECTO,722
6,DISPLAYGOOGLE,4
7,DISPLAYGOOGLE(impression),10
8,EMAIL,29
9,FACEBOOK,20
10,ORGANICO,88
11,SEARCH,22
12,SHOPPING,93
13,SMART,18
14,SMART(impression),24
