,path,total_conversions
0,(Other),26
1,BING_CPC,5
2,BING_ORGANICO,6
3,BRANDING,588
4,CRITEO,133
5,DIRECTO,1629
6,DISPLAYGOOGLE,7
7,DISPLAYGOOGLE(impression),16
8,EMAIL,53
9,FACEBOOK,74
10,INSTAGRAM,4
11,ORGANICO,205
12,SEARCH,57
13,SHOPPING,261
14,SMART,39
15,SMART(impression),47
