,Unnamed: 0_x,Reference_x,CatN1_x,CatN2_x,Cat_Price_x,CPC_medio_x,Impressions_x,Clics_x,Cost_x,Conversions_x,All_Conversions_x,Ads_Income_x,Ads_Income_All_x,ROAS_Ads_x,Dates,Unnamed: 0_y,Reference_y,CatN1_y,CatN2_y,Cat_Price_y,CPC_medio_y,Impressions_y,Clics_y,Cost_y,Conversions_y,All_Conversions_y,Ads_Income_y,Ads_Income_All_y,ROAS_Ads_y,Unnamed: 0,Reference,Page_Views
0,81,64532.0,muebles,mesitas de noche,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-03,81,64532.0,muebles,mesitas de noche,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,64532,9.0
1,82,64532.0,muebles,mesitas de noche,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-04,82,64532.0,muebles,mesitas de noche,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,64532,9.0
2,83,64532.0,muebles,mesitas de noche,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-05,83,64532.0,muebles,mesitas de noche,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,64532,19.0
3,84,64532.0,muebles,mesitas de noche,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-06,84,64532.0,muebles,mesitas de noche,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,64532,28.0
4,85,64532.0,muebles,mesitas de noche,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-07,85,64532.0,muebles,mesitas de noche,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104,64532,0.0
5,86,64532.0,muebles,mesitas de noche,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-08,86,64532.0,muebles,mesitas de noche,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105,64532,0.0
6,87,64532.0,muebles,mesitas de noche,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-09,87,64532.0,muebles,mesitas de noche,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,64532,9.0
7,88,64532.0,muebles,mesitas de noche,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-10,88,64532.0,muebles,mesitas de noche,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,64532,19.0
8,89,64532.0,muebles,mesitas de noche,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-11,89,64532.0,muebles,mesitas de noche,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106,64532,0.0
9,90,64532.0,muebles,mesitas de noche,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-12,90,64532.0,muebles,mesitas de noche,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107,64532,0.0
