,Unnamed: 0_x,Reference_x,CatN1,CatN2,Cat_Price,CPC_medio,Impressions,Clics,Cost,Conversions,All_Conversions,Ads_Income,Ads_Income_All,ROAS_Ads,Dates,Unnamed: 0_y,Reference_y,Name,Net_Incomes,Units_sold,Unnamed: 0,Reference,Page_Views
0,130,48329.0,muebles,mesas de centro y auxiliares,50.0,0.27,5561.0,78.0,20.9,0.0,2.0,0.0,0.0,0.0,2018-09-03,0,48329.0,S/2 MESA BLANCO METAL / OSB,37.11,1.0,0,48329,47.0
1,129,48329.0,muebles,mesas de centro y auxiliares,50.0,0.31,6179.0,56.0,17.12,1.0,1.0,44.9,44.9,2.62,2018-09-04,1,48329.0,S/2 MESA BLANCO METAL / OSB,37.11,1.0,1,48329,56.0
2,123,48329.0,muebles,mesas de centro y auxiliares,50.0,0.29,5353.0,74.0,21.36,0.0,1.0,0.0,0.0,0.0,2018-09-05,34,48329.0,S/2 MESA BLANCO METAL / OSB,0.0,0.0,2,48329,47.0
3,115,48329.0,muebles,mesas de centro y auxiliares,50.0,0.3,6440.0,86.0,25.39,0.0,1.0,0.0,0.0,0.0,2018-09-06,35,48329.0,S/2 MESA BLANCO METAL / OSB,0.0,0.0,3,48329,84.0
4,135,48329.0,muebles,mesas de centro y auxiliares,50.0,0.26,6482.0,81.0,21.38,0.0,0.0,0.0,0.0,0.0,2018-09-07,36,48329.0,S/2 MESA BLANCO METAL / OSB,0.0,0.0,4,48329,84.0
5,139,48329.0,muebles,mesas de centro y auxiliares,50.0,0.25,7525.0,78.0,19.75,0.7,2.7,48.19,48.19,2.44,2018-09-08,37,48329.0,S/2 MESA BLANCO METAL / OSB,0.0,0.0,5,48329,84.0
6,116,48329.0,muebles,mesas de centro y auxiliares,50.0,0.27,8142.0,111.0,30.48,0.0,0.0,0.0,0.0,0.0,2018-09-09,38,48329.0,S/2 MESA BLANCO METAL / OSB,0.0,0.0,6,48329,84.0
7,117,48329.0,muebles,mesas de centro y auxiliares,50.0,0.27,6641.0,78.0,20.79,0.0,1.0,0.0,0.0,0.0,2018-09-10,39,48329.0,S/2 MESA BLANCO METAL / OSB,0.0,0.0,7,48329,47.0
8,131,48329.0,muebles,mesas de centro y auxiliares,50.0,0.33,6995.0,77.0,25.33,0.0,0.0,0.0,0.0,0.0,2018-09-11,2,48329.0,S/2 MESA BLANCO METAL / OSB,37.11,1.0,8,48329,56.0
9,118,48329.0,muebles,mesas de centro y auxiliares,50.0,0.27,6157.0,77.0,20.88,1.0,1.0,44.9,44.9,2.15,2018-09-12,3,48329.0,S/2 MESA BLANCO METAL / OSB,111.33,3.0,9,48329,103.0
10,128,48329.0,muebles,mesas de centro y auxiliares,50.0,0.26,6122.0,82.0,21.13,0.0,1.0,0.0,0.0,0.0,2018-09-13,40,48329.0,S/2 MESA BLANCO METAL / OSB,0.0,0.0,10,48329,84.0
11,120,48329.0,muebles,mesas de centro y auxiliares,50.0,0.26,6782.0,71.0,18.34,0.0,2.0,0.0,0.0,0.0,2018-09-14,41,48329.0,S/2 MESA BLANCO METAL / OSB,0.0,0.0,11,48329,28.0
12,142,48329.0,muebles,mesas de centro y auxiliares,50.0,0.26,9005.0,88.0,23.13,0.0,1.0,0.0,0.0,0.0,2018-09-15,42,48329.0,S/2 MESA BLANCO METAL / OSB,0.0,0.0,12,48329,56.0
13,126,48329.0,muebles,mesas de centro y auxiliares,50.0,0.28,10618.0,119.0,33.22,0.0,2.0,0.0,0.0,0.0,2018-09-16,43,48329.0,S/2 MESA BLANCO METAL / OSB,0.0,0.0,13,48329,131.0
14,143,48329.0,muebles,mesas de centro y auxiliares,50.0,0.3,8313.0,79.0,23.49,0.0,4.0,0.0,0.0,0.0,2018-09-17,44,48329.0,S/2 MESA BLANCO METAL / OSB,0.0,0.0,14,48329,103.0
15,133,48329.0,muebles,mesas de centro y auxiliares,50.0,0.3,7308.0,97.0,28.72,1.2,2.2,53.88,53.88,1.88,2018-09-18,4,48329.0,S/2 MESA BLANCO METAL / OSB,37.11,1.0,15,48329,168.0
16,127,48329.0,muebles,mesas de centro y auxiliares,50.0,0.28,7846.0,97.0,27.24,0.0,0.0,0.0,0.0,0.0,2018-09-19,45,48329.0,S/2 MESA BLANCO METAL / OSB,0.0,0.0,16,48329,84.0
17,137,48329.0,muebles,mesas de centro y auxiliares,50.0,0.27,8439.0,80.0,21.37,0.0,0.0,0.0,0.0,0.0,2018-09-20,5,48329.0,S/2 MESA BLANCO METAL / OSB,37.11,1.0,17,48329,84.0
18,125,48329.0,muebles,mesas de centro y auxiliares,50.0,0.26,6781.0,47.0,12.17,0.0,0.0,0.0,0.0,0.0,2018-09-21,6,48329.0,S/2 MESA BLANCO METAL / OSB,37.11,1.0,18,48329,56.0
19,124,48329.0,muebles,mesas de centro y auxiliares,50.0,0.26,7230.0,72.0,18.51,0.0,0.0,0.0,0.0,0.0,2018-09-22,46,48329.0,S/2 MESA BLANCO METAL / OSB,0.0,0.0,19,48329,84.0
20,132,48329.0,muebles,mesas de centro y auxiliares,50.0,0.26,10423.0,116.0,30.32,0.5,1.5,23.45,23.45,0.77,2018-09-23,47,48329.0,S/2 MESA BLANCO METAL / OSB,0.0,0.0,20,48329,103.0
21,121,48329.0,muebles,mesas de centro y auxiliares,50.0,0.26,8776.0,84.0,22.07,0.0,6.0,0.0,0.0,0.0,2018-09-24,7,48329.0,S/2 MESA BLANCO METAL / OSB,37.11,1.0,21,48329,75.0
22,122,48329.0,muebles,mesas de centro y auxiliares,50.0,0.26,7592.0,79.0,20.74,0.0,1.0,0.0,0.0,0.0,2018-09-25,48,48329.0,S/2 MESA BLANCO METAL / OSB,0.0,0.0,22,48329,103.0
23,141,48329.0,muebles,mesas de centro y auxiliares,50.0,0.29,7033.0,78.0,22.36,2.0,6.0,89.8,89.8,4.02,2018-09-26,8,48329.0,S/2 MESA BLANCO METAL / OSB,37.11,1.0,23,48329,122.0
24,136,48329.0,muebles,mesas de centro y auxiliares,50.0,0.27,6976.0,59.0,15.85,0.0,2.0,0.0,0.0,0.0,2018-09-27,49,48329.0,S/2 MESA BLANCO METAL / OSB,0.0,0.0,24,48329,37.0
25,138,48329.0,muebles,mesas de centro y auxiliares,50.0,0.28,5990.0,45.0,12.39,1.0,6.0,44.9,44.9,3.62,2018-09-28,9,48329.0,S/2 MESA BLANCO METAL / OSB,37.11,1.0,25,48329,47.0
26,119,48329.0,muebles,mesas de centro y auxiliares,50.0,0.26,6595.0,77.0,19.9,1.0,6.0,142.7,142.7,7.17,2018-09-29,10,48329.0,S/2 MESA BLANCO METAL / OSB,37.11,1.0,26,48329,47.0
27,134,48329.0,muebles,mesas de centro y auxiliares,50.0,0.27,8655.0,98.0,26.55,0.0,2.0,0.0,0.0,0.0,2018-09-30,11,48329.0,S/2 MESA BLANCO METAL / OSB,33.39,1.0,27,48329,84.0
28,49,48329.0,muebles,mesas de centro y auxiliares,50.0,0.27,7431.0,97.0,26.65,1.0,6.0,46.9,46.9,1.76,2018-10-01,12,48329.0,S/2 MESA BLANCO METAL / OSB,37.11,1.0,28,48329,94.0
29,25,48329.0,muebles,mesas de centro y auxiliares,50.0,0.26,6564.0,91.0,23.62,0.37,5.37,26.36,26.36,1.12,2018-10-02,50,48329.0,S/2 MESA BLANCO METAL / OSB,0.0,0.0,29,48329,131.0
30,75,48329.0,muebles,mesas de centro y auxiliares,50.0,0.27,6132.0,59.0,16.2,0.0,3.0,0.0,0.0,0.0,2018-10-03,51,48329.0,S/2 MESA BLANCO METAL / OSB,0.0,0.0,30,48329,37.0
31,22,48329.0,muebles,mesas de centro y auxiliares,50.0,0.25,5925.0,52.0,12.75,0.2,2.2,8.6,8.6,0.67,2018-10-04,52,48329.0,S/2 MESA BLANCO METAL / OSB,0.0,0.0,31,48329,47.0
32,111,48329.0,muebles,mesas de centro y auxiliares,50.0,0.25,6366.0,59.0,14.63,0.0,2.0,0.0,0.0,0.0,2018-10-05,13,48329.0,S/2 MESA BLANCO METAL / OSB,33.4,1.0,32,48329,37.0
33,24,48329.0,muebles,mesas de centro y auxiliares,50.0,0.25,8217.0,93.0,23.5,0.2,8.2,19.98,19.98,0.85,2018-10-06,53,48329.0,S/2 MESA BLANCO METAL / OSB,0.0,0.0,33,48329,94.0
34,93,48329.0,muebles,mesas de centro y auxiliares,50.0,0.24,11460.0,129.0,30.77,0.0,6.0,0.0,0.0,0.0,2018-10-07,14,48329.0,S/2 MESA BLANCO METAL / OSB,33.4,1.0,34,48329,103.0
35,5,48329.0,muebles,mesas de centro y auxiliares,50.0,0.24,7096.0,64.0,15.5,0.0,4.0,0.0,0.0,0.0,2018-10-08,54,48329.0,S/2 MESA BLANCO METAL / OSB,0.0,0.0,35,48329,103.0
36,62,48329.0,muebles,mesas de centro y auxiliares,50.0,0.26,6233.0,60.0,15.32,0.25,1.25,10.1,10.1,0.66,2018-10-09,55,48329.0,S/2 MESA BLANCO METAL / OSB,0.0,0.0,36,48329,47.0
37,31,48329.0,muebles,mesas de centro y auxiliares,50.0,0.24,4874.0,48.0,11.62,0.01,0.01,0.45,0.45,0.04,2018-10-10,15,48329.0,S/2 MESA BLANCO METAL / OSB,37.11,1.0,37,48329,112.0
38,66,48329.0,muebles,mesas de centro y auxiliares,50.0,0.26,4426.0,41.0,10.83,0.0,3.0,0.0,0.0,0.0,2018-10-11,56,48329.0,S/2 MESA BLANCO METAL / OSB,0.0,0.0,38,48329,19.0
