,Unnamed: 0_x,Reference_x,CatN1_x,CatN2_x,Cat_Price_x,CPC_medio_x,Impressions_x,Clics_x,Cost_x,Conversions_x,All_Conversions_x,Ads_Income_x,Ads_Income_All_x,ROAS_Ads_x,Dates,Unnamed: 0_y,Reference_y,CatN1_y,CatN2_y,Cat_Price_y,CPC_medio_y,Impressions_y,Clics_y,Cost_y,Conversions_y,All_Conversions_y,Ads_Income_y,Ads_Income_All_y,ROAS_Ads_y,Unnamed: 0,Reference,Page_Views
0,209,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-03,209,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,51136,28.0
1,201,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-04,201,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,51136,9.0
2,199,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.17,72.0,3.0,0.52,0.0,0.0,0.0,0.0,0.0,2018-09-05,199,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.17,72.0,3.0,0.52,0.0,0.0,0.0,0.0,0.0,2,51136,9.0
3,192,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.2,85.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,2018-09-06,192,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.2,85.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,151,51136,0.0
4,206,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.19,90.0,1.0,0.19,0.0,0.0,0.0,0.0,0.0,2018-09-07,206,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.19,90.0,1.0,0.19,0.0,0.0,0.0,0.0,0.0,3,51136,9.0
5,190,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-08,190,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152,51136,0.0
6,193,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.19,114.0,1.0,0.19,0.0,0.0,0.0,0.0,0.0,2018-09-09,193,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.19,114.0,1.0,0.19,0.0,0.0,0.0,0.0,0.0,4,51136,9.0
7,184,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.2,95.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,2018-09-10,184,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.2,95.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,153,51136,0.0
8,198,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-11,198,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154,51136,0.0
9,208,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-12,208,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,51136,19.0
10,191,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.18,101.0,2.0,0.37,0.0,0.0,0.0,0.0,0.0,2018-09-13,191,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.18,101.0,2.0,0.37,0.0,0.0,0.0,0.0,0.0,155,51136,0.0
11,194,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.07,93.0,1.0,0.07,0.0,0.0,0.0,0.0,0.0,2018-09-14,194,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.07,93.0,1.0,0.07,0.0,0.0,0.0,0.0,0.0,156,51136,0.0
12,186,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.11,146.0,6.0,0.64,0.0,0.0,0.0,0.0,0.0,2018-09-15,186,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.11,146.0,6.0,0.64,0.0,0.0,0.0,0.0,0.0,6,51136,19.0
13,185,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.19,191.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,2018-09-16,185,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.19,191.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,157,51136,0.0
14,189,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.17,127.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,2018-09-17,189,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.17,127.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,7,51136,9.0
15,202,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.2,171.0,2.0,0.4,0.0,0.0,0.0,0.0,0.0,2018-09-18,202,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.2,171.0,2.0,0.4,0.0,0.0,0.0,0.0,0.0,8,51136,19.0
16,188,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.14,225.0,4.0,0.56,0.0,0.0,0.0,0.0,0.0,2018-09-19,188,51136.0,muebles,"consolas, recibidores y tocadores",200.0,0.14,225.0,4.0,0.56,0.0,0.0,0.0,0.0,0.0,9,51136,28.0
