,Unnamed: 0_x,Reference_x,CatN1_x,CatN2_x,Cat_Price_x,CPC_medio_x,Impressions_x,Clics_x,Cost_x,Conversions_x,All_Conversions_x,Ads_Income_x,Ads_Income_All_x,ROAS_Ads_x,Dates,Unnamed: 0_y,Reference_y,CatN1_y,CatN2_y,Cat_Price_y,CPC_medio_y,Impressions_y,Clics_y,Cost_y,Conversions_y,All_Conversions_y,Ads_Income_y,Ads_Income_All_y,ROAS_Ads_y,Unnamed: 0,Reference,Page_Views
0,119,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-03,119,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,61514,0.0
1,120,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-04,120,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,61514,0.0
2,121,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-05,121,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,61514,0.0
3,122,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-06,122,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,61514,9.0
4,123,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-07,123,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102,61514,0.0
5,124,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-08,124,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103,61514,0.0
6,125,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-09,125,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104,61514,0.0
7,126,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-10,126,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105,61514,0.0
8,127,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-11,127,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,61514,19.0
9,128,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-12,128,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,61514,9.0
10,118,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-13,118,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106,61514,0.0
11,108,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-14,108,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,61514,9.0
12,110,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.05,20.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,2018-09-15,110,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.05,20.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,107,61514,0.0
13,103,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-16,103,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108,61514,0.0
14,113,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-17,113,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109,61514,0.0
15,117,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-18,117,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110,61514,0.0
16,111,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-19,111,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,61514,9.0
17,104,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-20,104,61514.0,lámparas e iluminación,lámparas de mesa,40.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,61514,0.0
