,Unnamed: 0_x,Reference_x,CatN1_x,CatN2_x,Cat_Price_x,CPC_medio_x,Impressions_x,Clics_x,Cost_x,Conversions_x,All_Conversions_x,Ads_Income_x,Ads_Income_All_x,ROAS_Ads_x,Dates,Unnamed: 0_y,Reference_y,CatN1_y,CatN2_y,Cat_Price_y,CPC_medio_y,Impressions_y,Clics_y,Cost_y,Conversions_y,All_Conversions_y,Ads_Income_y,Ads_Income_All_y,ROAS_Ads_y,Unnamed: 0,Reference,Page_Views
0,156,61776.0,lámparas e iluminación,lámparas de mesita de noche,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-03,156,61776.0,lámparas e iluminación,lámparas de mesita de noche,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,61776,9.0
1,157,61776.0,lámparas e iluminación,lámparas de mesita de noche,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-04,157,61776.0,lámparas e iluminación,lámparas de mesita de noche,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,61776,9.0
2,158,61776.0,lámparas e iluminación,lámparas de mesita de noche,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-05,158,61776.0,lámparas e iluminación,lámparas de mesita de noche,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,61776,9.0
3,159,61776.0,lámparas e iluminación,lámparas de mesita de noche,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-06,159,61776.0,lámparas e iluminación,lámparas de mesita de noche,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,61776,9.0
4,160,61776.0,lámparas e iluminación,lámparas de mesita de noche,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-07,160,61776.0,lámparas e iluminación,lámparas de mesita de noche,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,61776,9.0
5,161,61776.0,lámparas e iluminación,lámparas de mesita de noche,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-08,161,61776.0,lámparas e iluminación,lámparas de mesita de noche,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,61776,9.0
6,162,61776.0,lámparas e iluminación,lámparas de mesita de noche,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-09,162,61776.0,lámparas e iluminación,lámparas de mesita de noche,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,61776,0.0
7,163,61776.0,lámparas e iluminación,lámparas de mesita de noche,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-10,163,61776.0,lámparas e iluminación,lámparas de mesita de noche,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82,61776,0.0
8,164,61776.0,lámparas e iluminación,lámparas de mesita de noche,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-11,164,61776.0,lámparas e iluminación,lámparas de mesita de noche,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83,61776,0.0
9,165,61776.0,lámparas e iluminación,lámparas de mesita de noche,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-12,165,61776.0,lámparas e iluminación,lámparas de mesita de noche,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,61776,19.0
