,Unnamed: 0_x,Reference_x,CatN1,CatN2,Cat_Price,CPC_medio,Impressions,Clics,Cost,Conversions,All_Conversions,Ads_Income,Ads_Income_All,ROAS_Ads,Dates,Unnamed: 0_y,Reference_y,Name,Net_Incomes,Units_sold,Unnamed: 0,Reference,Page_Views
25,105,103076.0,muebles,"consolas, recibidores y tocadores",300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-28,45,103076.0,CONSOLA MARRÓN-BLANCO,0.0,0.0,143,103076,0.0
26,106,103076.0,muebles,"consolas, recibidores y tocadores",300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-29,1,103076.0,CONSOLA MARRÓN-BLANCO,193.39,1.0,144,103076,0.0
27,107,103076.0,muebles,"consolas, recibidores y tocadores",300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-30,46,103076.0,CONSOLA MARRÓN-BLANCO,0.0,0.0,145,103076,0.0
28,108,103076.0,muebles,"consolas, recibidores y tocadores",300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-01,47,103076.0,CONSOLA MARRÓN-BLANCO,0.0,0.0,10,103076,9.0
29,109,103076.0,muebles,"consolas, recibidores y tocadores",300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-02,48,103076.0,CONSOLA MARRÓN-BLANCO,0.0,0.0,146,103076,0.0
30,110,103076.0,muebles,"consolas, recibidores y tocadores",300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-03,49,103076.0,CONSOLA MARRÓN-BLANCO,0.0,0.0,147,103076,0.0
31,111,103076.0,muebles,"consolas, recibidores y tocadores",300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-04,50,103076.0,CONSOLA MARRÓN-BLANCO,0.0,0.0,148,103076,0.0
32,112,103076.0,muebles,"consolas, recibidores y tocadores",300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-05,51,103076.0,CONSOLA MARRÓN-BLANCO,0.0,0.0,11,103076,9.0
33,113,103076.0,muebles,"consolas, recibidores y tocadores",300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-06,52,103076.0,CONSOLA MARRÓN-BLANCO,0.0,0.0,12,103076,19.0
34,114,103076.0,muebles,"consolas, recibidores y tocadores",300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-07,53,103076.0,CONSOLA MARRÓN-BLANCO,0.0,0.0,13,103076,19.0
