,Reference,Dates,Page_Views
161,89040,2017-09-02,0.0
162,89040,2017-09-03,0.0
163,89040,2017-09-04,0.0
164,89040,2017-09-05,0.0
165,89040,2017-09-06,0.0
166,89040,2017-09-07,0.0
167,89040,2017-09-08,0.0
168,89040,2017-09-09,0.0
169,89040,2017-09-10,0.0
170,89040,2017-09-11,0.0
171,89040,2017-09-12,0.0
172,89040,2017-09-13,0.0
173,89040,2017-09-14,0.0
174,89040,2017-09-15,0.0
175,89040,2017-09-16,0.0
176,89040,2017-09-17,0.0
177,89040,2017-09-18,0.0
178,89040,2017-09-19,0.0
179,89040,2017-09-20,0.0
180,89040,2017-09-21,0.0
181,89040,2017-09-22,0.0
182,89040,2017-09-23,0.0
183,89040,2017-09-24,0.0
184,89040,2017-09-25,0.0
185,89040,2017-09-26,0.0
186,89040,2017-09-27,0.0
187,89040,2017-09-28,0.0
188,89040,2017-09-29,0.0
189,89040,2017-09-30,0.0
190,89040,2017-10-01,0.0
191,89040,2017-10-02,0.0
0,89040,2017-10-03,19.0
192,89040,2017-10-04,0.0
193,89040,2017-10-05,0.0
194,89040,2017-10-06,0.0
195,89040,2017-10-07,0.0
1,89040,2017-10-08,9.0
196,89040,2017-10-09,0.0
2,89040,2017-10-10,9.0
197,89040,2017-10-11,0.0
198,89040,2017-10-12,0.0
199,89040,2017-10-13,0.0
200,89040,2017-10-14,0.0
201,89040,2017-10-15,0.0
3,89040,2017-10-16,9.0
202,89040,2017-10-17,0.0
203,89040,2017-10-18,0.0
204,89040,2017-10-19,0.0
205,89040,2017-10-20,0.0
206,89040,2017-10-21,0.0
4,89040,2017-10-22,9.0
207,89040,2017-10-23,0.0
5,89040,2017-10-24,9.0
6,89040,2017-10-25,9.0
208,89040,2017-10-26,0.0
209,89040,2017-10-27,0.0
210,89040,2017-10-28,0.0
211,89040,2017-10-29,0.0
7,89040,2017-10-30,9.0
212,89040,2017-10-31,0.0
213,89040,2017-11-01,0.0
214,89040,2017-11-02,0.0
215,89040,2017-11-03,0.0
216,89040,2017-11-04,0.0
217,89040,2017-11-05,0.0
218,89040,2017-11-06,0.0
219,89040,2017-11-07,0.0
220,89040,2017-11-08,0.0
221,89040,2017-11-09,0.0
222,89040,2017-11-10,0.0
223,89040,2017-11-11,0.0
224,89040,2017-11-12,0.0
225,89040,2017-11-13,0.0
226,89040,2017-11-14,0.0
227,89040,2017-11-15,0.0
228,89040,2017-11-16,0.0
229,89040,2017-11-17,0.0
230,89040,2017-11-18,0.0
231,89040,2017-11-19,0.0
8,89040,2017-11-20,28.0
232,89040,2017-11-21,0.0
233,89040,2017-11-22,0.0
234,89040,2017-11-23,0.0
235,89040,2017-11-24,0.0
9,89040,2017-11-25,9.0
10,89040,2017-11-26,19.0
236,89040,2017-11-27,0.0
11,89040,2017-11-28,9.0
237,89040,2017-11-29,0.0
238,89040,2017-11-30,0.0
239,89040,2017-12-01,0.0
240,89040,2017-12-02,0.0
241,89040,2017-12-03,0.0
242,89040,2017-12-04,0.0
12,89040,2017-12-05,9.0
243,89040,2017-12-06,0.0
244,89040,2017-12-07,0.0
245,89040,2017-12-08,0.0
246,89040,2017-12-09,0.0
13,89040,2017-12-10,9.0
247,89040,2017-12-11,0.0
248,89040,2017-12-12,0.0
14,89040,2017-12-13,9.0
249,89040,2017-12-14,0.0
250,89040,2017-12-15,0.0
251,89040,2017-12-16,0.0
252,89040,2017-12-17,0.0
253,89040,2017-12-18,0.0
15,89040,2017-12-19,9.0
254,89040,2017-12-20,0.0
255,89040,2017-12-21,0.0
256,89040,2017-12-22,0.0
257,89040,2017-12-23,0.0
258,89040,2017-12-24,0.0
259,89040,2017-12-25,0.0
260,89040,2017-12-26,0.0
261,89040,2017-12-27,0.0
262,89040,2017-12-28,0.0
263,89040,2017-12-29,0.0
264,89040,2017-12-30,0.0
265,89040,2017-12-31,0.0
266,89040,2018-01-01,0.0
267,89040,2018-01-02,0.0
268,89040,2018-01-03,0.0
269,89040,2018-01-04,0.0
270,89040,2018-01-05,0.0
271,89040,2018-01-06,0.0
272,89040,2018-01-07,0.0
273,89040,2018-01-08,0.0
274,89040,2018-01-09,0.0
275,89040,2018-01-10,0.0
276,89040,2018-01-11,0.0
277,89040,2018-01-12,0.0
278,89040,2018-01-13,0.0
279,89040,2018-01-14,0.0
280,89040,2018-01-15,0.0
281,89040,2018-01-16,0.0
282,89040,2018-01-17,0.0
283,89040,2018-01-18,0.0
16,89040,2018-01-19,9.0
284,89040,2018-01-20,0.0
285,89040,2018-01-21,0.0
286,89040,2018-01-22,0.0
287,89040,2018-01-23,0.0
288,89040,2018-01-24,0.0
289,89040,2018-01-25,0.0
17,89040,2018-01-26,19.0
290,89040,2018-01-27,0.0
291,89040,2018-01-28,0.0
292,89040,2018-01-29,0.0
293,89040,2018-01-30,0.0
18,89040,2018-01-31,9.0
19,89040,2018-02-01,9.0
294,89040,2018-02-02,0.0
20,89040,2018-02-03,9.0
295,89040,2018-02-04,0.0
296,89040,2018-02-05,0.0
297,89040,2018-02-06,0.0
298,89040,2018-02-07,0.0
299,89040,2018-02-08,0.0
21,89040,2018-02-09,19.0
22,89040,2018-02-10,37.0
300,89040,2018-02-11,0.0
301,89040,2018-02-12,0.0
302,89040,2018-02-13,0.0
303,89040,2018-02-14,0.0
304,89040,2018-02-15,0.0
23,89040,2018-02-16,9.0
305,89040,2018-02-17,0.0
306,89040,2018-02-18,0.0
307,89040,2018-02-19,0.0
308,89040,2018-02-20,0.0
309,89040,2018-02-21,0.0
310,89040,2018-02-22,0.0
311,89040,2018-02-23,0.0
312,89040,2018-02-24,0.0
313,89040,2018-02-25,0.0
314,89040,2018-02-26,0.0
24,89040,2018-02-27,19.0
315,89040,2018-02-28,0.0
316,89040,2018-03-01,0.0
25,89040,2018-03-02,28.0
26,89040,2018-03-03,19.0
317,89040,2018-03-04,0.0
318,89040,2018-03-05,0.0
319,89040,2018-03-06,0.0
320,89040,2018-03-07,0.0
321,89040,2018-03-08,0.0
322,89040,2018-03-09,0.0
323,89040,2018-03-10,0.0
324,89040,2018-03-11,0.0
325,89040,2018-03-12,0.0
326,89040,2018-03-13,0.0
327,89040,2018-03-14,0.0
328,89040,2018-03-15,0.0
329,89040,2018-03-16,0.0
330,89040,2018-03-17,0.0
27,89040,2018-03-18,28.0
331,89040,2018-03-19,0.0
332,89040,2018-03-20,0.0
333,89040,2018-03-21,0.0
334,89040,2018-03-22,0.0
335,89040,2018-03-23,0.0
28,89040,2018-03-24,9.0
336,89040,2018-03-25,0.0
337,89040,2018-03-26,0.0
338,89040,2018-03-27,0.0
339,89040,2018-03-28,0.0
29,89040,2018-03-29,9.0
340,89040,2018-03-30,0.0
341,89040,2018-03-31,0.0
342,89040,2018-04-01,0.0
343,89040,2018-04-02,0.0
344,89040,2018-04-03,0.0
345,89040,2018-04-04,0.0
346,89040,2018-04-05,0.0
