,Reference,Dates,Page_Views
163,89022,2017-09-02,0.0
164,89022,2017-09-03,0.0
165,89022,2017-09-04,0.0
166,89022,2017-09-05,0.0
167,89022,2017-09-06,0.0
168,89022,2017-09-07,0.0
169,89022,2017-09-08,0.0
170,89022,2017-09-09,0.0
171,89022,2017-09-10,0.0
172,89022,2017-09-11,0.0
173,89022,2017-09-12,0.0
174,89022,2017-09-13,0.0
175,89022,2017-09-14,0.0
176,89022,2017-09-15,0.0
177,89022,2017-09-16,0.0
178,89022,2017-09-17,0.0
179,89022,2017-09-18,0.0
180,89022,2017-09-19,0.0
181,89022,2017-09-20,0.0
182,89022,2017-09-21,0.0
183,89022,2017-09-22,0.0
184,89022,2017-09-23,0.0
185,89022,2017-09-24,0.0
186,89022,2017-09-25,0.0
187,89022,2017-09-26,0.0
188,89022,2017-09-27,0.0
189,89022,2017-09-28,0.0
190,89022,2017-09-29,0.0
191,89022,2017-09-30,0.0
192,89022,2017-10-01,0.0
193,89022,2017-10-02,0.0
194,89022,2017-10-03,0.0
0,89022,2017-10-04,9.0
195,89022,2017-10-05,0.0
196,89022,2017-10-06,0.0
197,89022,2017-10-07,0.0
198,89022,2017-10-08,0.0
1,89022,2017-10-09,9.0
199,89022,2017-10-10,0.0
200,89022,2017-10-11,0.0
201,89022,2017-10-12,0.0
2,89022,2017-10-13,9.0
202,89022,2017-10-14,0.0
203,89022,2017-10-15,0.0
204,89022,2017-10-16,0.0
205,89022,2017-10-17,0.0
206,89022,2017-10-18,0.0
207,89022,2017-10-19,0.0
208,89022,2017-10-20,0.0
3,89022,2017-10-21,9.0
209,89022,2017-10-22,0.0
4,89022,2017-10-23,19.0
210,89022,2017-10-24,0.0
211,89022,2017-10-25,0.0
212,89022,2017-10-26,0.0
213,89022,2017-10-27,0.0
5,89022,2017-10-28,28.0
214,89022,2017-10-29,0.0
215,89022,2017-10-30,0.0
216,89022,2017-10-31,0.0
6,89022,2017-11-01,9.0
7,89022,2017-11-02,9.0
8,89022,2017-11-03,9.0
217,89022,2017-11-04,0.0
9,89022,2017-11-05,19.0
218,89022,2017-11-06,0.0
10,89022,2017-11-07,19.0
219,89022,2017-11-08,0.0
11,89022,2017-11-09,9.0
12,89022,2017-11-10,9.0
220,89022,2017-11-11,0.0
13,89022,2017-11-12,19.0
221,89022,2017-11-13,0.0
14,89022,2017-11-14,56.0
222,89022,2017-11-15,0.0
223,89022,2017-11-16,0.0
15,89022,2017-11-17,28.0
224,89022,2017-11-18,0.0
16,89022,2017-11-19,37.0
17,89022,2017-11-20,66.0
225,89022,2017-11-21,0.0
18,89022,2017-11-22,19.0
19,89022,2017-11-23,9.0
226,89022,2017-11-24,0.0
227,89022,2017-11-25,0.0
20,89022,2017-11-26,94.0
21,89022,2017-11-27,28.0
228,89022,2017-11-28,0.0
229,89022,2017-11-29,0.0
230,89022,2017-11-30,0.0
231,89022,2017-12-01,0.0
22,89022,2017-12-02,9.0
232,89022,2017-12-03,0.0
23,89022,2017-12-04,9.0
24,89022,2017-12-05,28.0
233,89022,2017-12-06,0.0
234,89022,2017-12-07,0.0
25,89022,2017-12-08,9.0
235,89022,2017-12-09,0.0
236,89022,2017-12-10,0.0
237,89022,2017-12-11,0.0
238,89022,2017-12-12,0.0
239,89022,2017-12-13,0.0
240,89022,2017-12-14,0.0
241,89022,2017-12-15,0.0
26,89022,2017-12-16,19.0
242,89022,2017-12-17,0.0
243,89022,2017-12-18,0.0
244,89022,2017-12-19,0.0
27,89022,2017-12-20,9.0
28,89022,2017-12-21,9.0
245,89022,2017-12-22,0.0
246,89022,2017-12-23,0.0
247,89022,2017-12-24,0.0
248,89022,2017-12-25,0.0
29,89022,2017-12-26,9.0
249,89022,2017-12-27,0.0
250,89022,2017-12-28,0.0
251,89022,2017-12-29,0.0
252,89022,2017-12-30,0.0
253,89022,2017-12-31,0.0
30,89022,2018-01-01,9.0
31,89022,2018-01-02,9.0
254,89022,2018-01-03,0.0
255,89022,2018-01-04,0.0
256,89022,2018-01-05,0.0
32,89022,2018-01-06,9.0
33,89022,2018-01-07,9.0
34,89022,2018-01-08,19.0
257,89022,2018-01-09,0.0
35,89022,2018-01-10,19.0
258,89022,2018-01-11,0.0
259,89022,2018-01-12,0.0
260,89022,2018-01-13,0.0
36,89022,2018-01-14,19.0
261,89022,2018-01-15,0.0
262,89022,2018-01-16,0.0
263,89022,2018-01-17,0.0
264,89022,2018-01-18,0.0
265,89022,2018-01-19,0.0
37,89022,2018-01-20,19.0
38,89022,2018-01-21,9.0
266,89022,2018-01-22,0.0
267,89022,2018-01-23,0.0
268,89022,2018-01-24,0.0
269,89022,2018-01-25,0.0
270,89022,2018-01-26,0.0
271,89022,2018-01-27,0.0
272,89022,2018-01-28,0.0
273,89022,2018-01-29,0.0
39,89022,2018-01-30,9.0
274,89022,2018-01-31,0.0
275,89022,2018-02-01,0.0
276,89022,2018-02-02,0.0
277,89022,2018-02-03,0.0
40,89022,2018-02-04,9.0
41,89022,2018-02-05,19.0
42,89022,2018-02-06,37.0
43,89022,2018-02-07,9.0
278,89022,2018-02-08,0.0
279,89022,2018-02-09,0.0
44,89022,2018-02-10,37.0
45,89022,2018-02-11,9.0
46,89022,2018-02-12,56.0
47,89022,2018-02-13,37.0
48,89022,2018-02-14,94.0
49,89022,2018-02-15,28.0
50,89022,2018-02-16,37.0
51,89022,2018-02-17,47.0
52,89022,2018-02-18,56.0
53,89022,2018-02-19,19.0
280,89022,2018-02-20,0.0
54,89022,2018-02-21,28.0
55,89022,2018-02-22,47.0
281,89022,2018-02-23,0.0
282,89022,2018-02-24,0.0
283,89022,2018-02-25,0.0
284,89022,2018-02-26,0.0
285,89022,2018-02-27,0.0
286,89022,2018-02-28,0.0
287,89022,2018-03-01,0.0
56,89022,2018-03-02,9.0
57,89022,2018-03-03,9.0
