,Reference,Dates,Page_Views
359,61397,2018-03-20,0.0
360,61397,2018-03-21,0.0
361,61397,2018-03-22,0.0
362,61397,2018-03-23,0.0
363,61397,2018-03-24,0.0
364,61397,2018-03-25,0.0
365,61397,2018-03-26,0.0
366,61397,2018-03-27,0.0
34,61397,2018-03-28,9.0
367,61397,2018-03-29,0.0
368,61397,2018-03-30,0.0
369,61397,2018-03-31,0.0
370,61397,2018-04-01,0.0
371,61397,2018-04-02,0.0
372,61397,2018-04-03,0.0
373,61397,2018-04-04,0.0
374,61397,2018-04-05,0.0
375,61397,2018-04-06,0.0
376,61397,2018-04-07,0.0
377,61397,2018-04-08,0.0
378,61397,2018-04-09,0.0
379,61397,2018-04-10,0.0
380,61397,2018-04-11,0.0
381,61397,2018-04-12,0.0
382,61397,2018-04-13,0.0
383,61397,2018-04-14,0.0
384,61397,2018-04-15,0.0
385,61397,2018-04-16,0.0
386,61397,2018-04-17,0.0
387,61397,2018-04-18,0.0
388,61397,2018-04-19,0.0
389,61397,2018-04-20,0.0
390,61397,2018-04-21,0.0
391,61397,2018-04-22,0.0
392,61397,2018-04-23,0.0
393,61397,2018-04-24,0.0
394,61397,2018-04-25,0.0
35,61397,2018-04-26,9.0
395,61397,2018-04-27,0.0
36,61397,2018-04-28,9.0
37,61397,2018-04-29,9.0
396,61397,2018-04-30,0.0
397,61397,2018-05-01,0.0
398,61397,2018-05-02,0.0
38,61397,2018-05-03,9.0
399,61397,2018-05-04,0.0
400,61397,2018-05-05,0.0
401,61397,2018-05-06,0.0
402,61397,2018-05-07,0.0
403,61397,2018-05-08,0.0
404,61397,2018-05-09,0.0
405,61397,2018-05-10,0.0
406,61397,2018-05-11,0.0
407,61397,2018-05-12,0.0
408,61397,2018-05-13,0.0
409,61397,2018-05-14,0.0
410,61397,2018-05-15,0.0
411,61397,2018-05-16,0.0
412,61397,2018-05-17,0.0
413,61397,2018-05-18,0.0
414,61397,2018-05-19,0.0
415,61397,2018-05-20,0.0
39,61397,2018-05-21,9.0
416,61397,2018-05-22,0.0
417,61397,2018-05-23,0.0
418,61397,2018-05-24,0.0
419,61397,2018-05-25,0.0
420,61397,2018-05-26,0.0
421,61397,2018-05-27,0.0
40,61397,2018-05-28,9.0
41,61397,2018-05-29,9.0
422,61397,2018-05-30,0.0
42,61397,2018-05-31,9.0
423,61397,2018-06-01,0.0
43,61397,2018-06-02,9.0
424,61397,2018-06-03,0.0
425,61397,2018-06-04,0.0
426,61397,2018-06-05,0.0
427,61397,2018-06-06,0.0
428,61397,2018-06-07,0.0
429,61397,2018-06-08,0.0
430,61397,2018-06-09,0.0
431,61397,2018-06-10,0.0
432,61397,2018-06-11,0.0
433,61397,2018-06-12,0.0
434,61397,2018-06-13,0.0
435,61397,2018-06-14,0.0
436,61397,2018-06-15,0.0
437,61397,2018-06-16,0.0
438,61397,2018-06-17,0.0
439,61397,2018-06-18,0.0
440,61397,2018-06-19,0.0
441,61397,2018-06-20,0.0
442,61397,2018-06-21,0.0
443,61397,2018-06-22,0.0
444,61397,2018-06-23,0.0
445,61397,2018-06-24,0.0
44,61397,2018-06-25,9.0
446,61397,2018-06-26,0.0
447,61397,2018-06-27,0.0
448,61397,2018-06-28,0.0
449,61397,2018-06-29,0.0
450,61397,2018-06-30,0.0
451,61397,2018-07-01,0.0
452,61397,2018-07-02,0.0
453,61397,2018-07-03,0.0
454,61397,2018-07-04,0.0
455,61397,2018-07-05,0.0
456,61397,2018-07-06,0.0
457,61397,2018-07-07,0.0
458,61397,2018-07-08,0.0
459,61397,2018-07-09,0.0
45,61397,2018-07-10,9.0
460,61397,2018-07-11,0.0
461,61397,2018-07-12,0.0
46,61397,2018-07-13,9.0
462,61397,2018-07-14,0.0
463,61397,2018-07-15,0.0
464,61397,2018-07-16,0.0
465,61397,2018-07-17,0.0
466,61397,2018-07-18,0.0
467,61397,2018-07-19,0.0
468,61397,2018-07-20,0.0
469,61397,2018-07-21,0.0
47,61397,2018-07-22,9.0
48,61397,2018-07-23,9.0
470,61397,2018-07-24,0.0
49,61397,2018-07-25,37.0
471,61397,2018-07-26,0.0
472,61397,2018-07-27,0.0
473,61397,2018-07-28,0.0
50,61397,2018-07-29,9.0
474,61397,2018-07-30,0.0
475,61397,2018-07-31,0.0
476,61397,2018-08-01,0.0
477,61397,2018-08-02,0.0
478,61397,2018-08-03,0.0
479,61397,2018-08-04,0.0
480,61397,2018-08-05,0.0
481,61397,2018-08-06,0.0
482,61397,2018-08-07,0.0
483,61397,2018-08-08,0.0
51,61397,2018-08-09,19.0
52,61397,2018-08-10,19.0
53,61397,2018-08-11,9.0
54,61397,2018-08-12,66.0
55,61397,2018-08-13,28.0
56,61397,2018-08-14,19.0
57,61397,2018-08-15,103.0
58,61397,2018-08-16,37.0
59,61397,2018-08-17,94.0
60,61397,2018-08-18,112.0
61,61397,2018-08-19,47.0
62,61397,2018-08-20,19.0
63,61397,2018-08-21,19.0
64,61397,2018-08-22,19.0
65,61397,2018-08-23,9.0
66,61397,2018-08-24,9.0
484,61397,2018-08-25,0.0
485,61397,2018-08-26,0.0
67,61397,2018-08-27,28.0
486,61397,2018-08-28,0.0
68,61397,2018-08-29,75.0
69,61397,2018-08-30,19.0
70,61397,2018-08-31,9.0
487,61397,2018-09-01,0.0
71,61397,2018-09-02,9.0
72,61397,2018-09-03,47.0
488,61397,2018-09-04,0.0
73,61397,2018-09-05,47.0
74,61397,2018-09-06,56.0
75,61397,2018-09-07,19.0
76,61397,2018-09-08,9.0
77,61397,2018-09-09,28.0
