,Reference,CatN1,CatN2,Cat_Price,CPC_medio,Impressions,Clics,Cost,Conversions,All_Conversions,Ads_Income,Ads_Income_All,ROAS_Ads,Dates
179,29300.0,lámparas e iluminación,lámparas de mesita de noche,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-03
180,29300.0,lámparas e iluminación,lámparas de mesita de noche,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-04
181,29300.0,lámparas e iluminación,lámparas de mesita de noche,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-05
182,29300.0,lámparas e iluminación,lámparas de mesita de noche,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-06
183,29300.0,lámparas e iluminación,lámparas de mesita de noche,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-07
184,29300.0,lámparas e iluminación,lámparas de mesita de noche,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-08
185,29300.0,lámparas e iluminación,lámparas de mesita de noche,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-09
186,29300.0,lámparas e iluminación,lámparas de mesita de noche,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-10
187,29300.0,lámparas e iluminación,lámparas de mesita de noche,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-11
188,29300.0,lámparas e iluminación,lámparas de mesita de noche,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-12
189,29300.0,lámparas e iluminación,lámparas de mesita de noche,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-13
190,29300.0,lámparas e iluminación,lámparas de mesita de noche,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-14
191,29300.0,lámparas e iluminación,lámparas de mesita de noche,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-15
192,29300.0,lámparas e iluminación,lámparas de mesita de noche,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-16
193,29300.0,lámparas e iluminación,lámparas de mesita de noche,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-17
194,29300.0,lámparas e iluminación,lámparas de mesita de noche,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-18
195,29300.0,lámparas e iluminación,lámparas de mesita de noche,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-19
196,29300.0,lámparas e iluminación,lámparas de mesita de noche,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-20
197,29300.0,lámparas e iluminación,lámparas de mesita de noche,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-21
198,29300.0,lámparas e iluminación,lámparas de mesita de noche,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-22
199,29300.0,lámparas e iluminación,lámparas de mesita de noche,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-23
