,Reference,CatN1,CatN2,Cat_Price,CPC_medio,Impressions,Clics,Cost,Conversions,All_Conversions,Ads_Income,Ads_Income_All,ROAS_Ads,Dates
180,122331.0,muebles,mesitas de noche,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-03
181,122331.0,muebles,mesitas de noche,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-04
182,122331.0,muebles,mesitas de noche,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-05
183,122331.0,muebles,mesitas de noche,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-06
184,122331.0,muebles,mesitas de noche,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-07
185,122331.0,muebles,mesitas de noche,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-08
186,122331.0,muebles,mesitas de noche,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-09
187,122331.0,muebles,mesitas de noche,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-10
188,122331.0,muebles,mesitas de noche,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-11
189,122331.0,muebles,mesitas de noche,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-12
190,122331.0,muebles,mesitas de noche,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-13
191,122331.0,muebles,mesitas de noche,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-14
192,122331.0,muebles,mesitas de noche,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-15
193,122331.0,muebles,mesitas de noche,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-16
194,122331.0,muebles,mesitas de noche,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-17
195,122331.0,muebles,mesitas de noche,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-18
196,122331.0,muebles,mesitas de noche,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-19
197,122331.0,muebles,mesitas de noche,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-20
198,122331.0,muebles,mesitas de noche,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-21
199,122331.0,muebles,mesitas de noche,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-22
200,122331.0,muebles,mesitas de noche,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-23
201,122331.0,muebles,mesitas de noche,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-24
202,122331.0,muebles,mesitas de noche,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-25
203,122331.0,muebles,mesitas de noche,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-26
204,122331.0,muebles,mesitas de noche,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-27
205,122331.0,muebles,mesitas de noche,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-28
206,122331.0,muebles,mesitas de noche,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-29
207,122331.0,muebles,mesitas de noche,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-30
208,122331.0,muebles,mesitas de noche,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-01
209,122331.0,muebles,mesitas de noche,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-02
210,122331.0,muebles,mesitas de noche,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-03
211,122331.0,muebles,mesitas de noche,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-04
176,122331.0,muebles,mesitas de noche,80.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-05
76,122331.0,muebles,mesitas de noche,80.0,0.21,448.0,3.0,0.64,0.0,0.0,0.0,0.0,0.0,2018-10-06
119,122331.0,muebles,mesitas de noche,80.0,0.2,1543.0,7.0,1.37,0.0,0.0,0.0,0.0,0.0,2018-10-07
14,122331.0,muebles,mesitas de noche,80.0,0.23,922.0,5.0,1.14,0.0,0.0,0.0,0.0,0.0,2018-10-08
35,122331.0,muebles,mesitas de noche,80.0,0.3,1102.0,6.0,1.83,0.0,0.0,0.0,0.0,0.0,2018-10-09
91,122331.0,muebles,mesitas de noche,80.0,0.25,698.0,3.0,0.75,0.0,0.0,0.0,0.0,0.0,2018-10-10
125,122331.0,muebles,mesitas de noche,80.0,0.25,793.0,8.0,1.98,0.0,4.0,0.0,0.0,0.0,2018-10-11
124,122331.0,muebles,mesitas de noche,80.0,0.2,1087.0,4.0,0.8,0.0,0.0,0.0,0.0,0.0,2018-10-12
4,122331.0,muebles,mesitas de noche,80.0,0.24,643.0,4.0,0.95,0.0,0.0,0.0,0.0,0.0,2018-10-13
129,122331.0,muebles,mesitas de noche,80.0,0.37,494.0,2.0,0.74,0.0,0.0,0.0,0.0,0.0,2018-10-14
99,122331.0,muebles,mesitas de noche,80.0,0.25,646.0,5.0,1.24,0.0,0.0,0.0,0.0,0.0,2018-10-15
138,122331.0,muebles,mesitas de noche,80.0,0.2,553.0,4.0,0.81,0.0,0.0,0.0,0.0,0.0,2018-10-16
65,122331.0,muebles,mesitas de noche,80.0,0.38,351.0,3.0,1.13,0.0,0.0,0.0,0.0,0.0,2018-10-17
58,122331.0,muebles,mesitas de noche,80.0,0.2,301.0,2.0,0.39,0.0,0.0,0.0,0.0,0.0,2018-10-18
111,122331.0,muebles,mesitas de noche,80.0,0.28,368.0,6.0,1.69,0.0,0.0,0.0,0.0,0.0,2018-10-19
135,122331.0,muebles,mesitas de noche,80.0,0.3,423.0,2.0,0.61,0.0,0.0,0.0,0.0,0.0,2018-10-20
5,122331.0,muebles,mesitas de noche,80.0,0.16,295.0,2.0,0.32,0.0,0.0,0.0,0.0,0.0,2018-10-21
57,122331.0,muebles,mesitas de noche,80.0,0.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-22
61,122331.0,muebles,mesitas de noche,80.0,0.18,444.0,2.0,0.36,0.0,0.0,0.0,0.0,0.0,2018-10-23
167,122331.0,muebles,mesitas de noche,80.0,0.25,305.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,2018-10-24
107,122331.0,muebles,mesitas de noche,80.0,0.53,217.0,1.0,0.53,0.0,0.0,0.0,0.0,0.0,2018-10-25
132,122331.0,muebles,mesitas de noche,80.0,0.44,238.0,2.0,0.88,0.0,0.0,0.0,0.0,0.0,2018-10-26
133,122331.0,muebles,mesitas de noche,80.0,0.27,256.0,1.0,0.27,0.0,0.0,0.0,0.0,0.0,2018-10-27
7,122331.0,muebles,mesitas de noche,80.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-28
21,122331.0,muebles,mesitas de noche,80.0,0.34,161.0,1.0,0.34,0.0,0.0,0.0,0.0,0.0,2018-10-29
84,122331.0,muebles,mesitas de noche,80.0,0.43,146.0,1.0,0.43,0.0,0.0,0.0,0.0,0.0,2018-10-30
179,122331.0,muebles,mesitas de noche,80.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-31
136,122331.0,muebles,mesitas de noche,80.0,0.25,275.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,2018-11-01
156,122331.0,muebles,mesitas de noche,80.0,0.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-11-02
1,122331.0,muebles,mesitas de noche,80.0,0.25,634.0,3.0,0.76,0.0,1.0,0.0,0.0,0.0,2018-11-03
