,Reference,CatN1,CatN2,Cat_Price,CPC_medio,Impressions,Clics,Cost,Conversions,All_Conversions,Ads_Income,Ads_Income_All,ROAS_Ads,Dates
100,61397.0,baño,estanterías para baño,20.0,0.21,1257.0,13.0,2.68,0.0,0.0,0.0,0.0,0.0,2018-09-03
88,61397.0,baño,estanterías para baño,20.0,0.19,1096.0,23.0,4.47,0.0,0.0,0.0,0.0,0.0,2018-09-04
85,61397.0,baño,estanterías para baño,20.0,0.17,1230.0,19.0,3.14,0.0,0.0,0.0,0.0,0.0,2018-09-05
104,61397.0,baño,estanterías para baño,20.0,0.19,906.0,16.0,2.99,0.0,0.0,0.0,0.0,0.0,2018-09-06
92,61397.0,baño,estanterías para baño,20.0,0.19,1090.0,23.0,4.28,0.0,0.0,0.0,0.0,0.0,2018-09-07
97,61397.0,baño,estanterías para baño,20.0,0.17,1207.0,17.0,2.84,0.0,0.0,0.0,0.0,0.0,2018-09-08
87,61397.0,baño,estanterías para baño,20.0,0.18,1554.0,20.0,3.51,0.0,0.0,0.0,0.0,0.0,2018-09-09
103,61397.0,baño,estanterías para baño,20.0,0.17,1125.0,20.0,3.41,0.0,0.0,0.0,0.0,0.0,2018-09-10
106,61397.0,baño,estanterías para baño,20.0,0.18,1129.0,15.0,2.64,0.05,0.05,9.28,9.28,3.52,2018-09-11
84,61397.0,baño,estanterías para baño,20.0,0.2,989.0,14.0,2.73,0.0,0.0,0.0,0.0,0.0,2018-09-12
107,61397.0,baño,estanterías para baño,20.0,0.17,917.0,19.0,3.26,1.0,2.0,29.8,29.8,9.14,2018-09-13
80,61397.0,baño,estanterías para baño,20.0,0.15,1120.0,17.0,2.58,0.0,0.0,0.0,0.0,0.0,2018-09-14
91,61397.0,baño,estanterías para baño,20.0,0.15,1174.0,15.0,2.32,0.0,0.0,0.0,0.0,0.0,2018-09-15
101,61397.0,baño,estanterías para baño,20.0,0.15,1532.0,17.0,2.58,0.0,0.0,0.0,0.0,0.0,2018-09-16
99,61397.0,baño,estanterías para baño,20.0,0.16,2397.0,24.0,3.79,0.0,0.0,0.0,0.0,0.0,2018-09-17
82,61397.0,baño,estanterías para baño,20.0,0.17,1658.0,28.0,4.77,0.0,0.0,0.0,0.0,0.0,2018-09-18
89,61397.0,baño,estanterías para baño,20.0,0.17,2137.0,30.0,5.13,0.0,0.0,0.0,0.0,0.0,2018-09-19
95,61397.0,baño,estanterías para baño,20.0,0.13,2507.0,35.0,4.7,0.0,0.0,0.0,0.0,0.0,2018-09-20
96,61397.0,baño,estanterías para baño,20.0,0.16,2880.0,53.0,8.59,0.0,0.0,0.0,0.0,0.0,2018-09-21
98,61397.0,baño,estanterías para baño,20.0,0.2,3016.0,33.0,6.64,0.0,0.0,0.0,0.0,0.0,2018-09-22
83,61397.0,baño,estanterías para baño,20.0,0.18,1970.0,21.0,3.87,0.0,1.0,0.0,0.0,0.0,2018-09-23
90,61397.0,baño,estanterías para baño,20.0,0.2,2322.0,23.0,4.52,1.0,3.0,13.41,13.41,2.97,2018-09-24
86,61397.0,baño,estanterías para baño,20.0,0.19,2809.0,39.0,7.6,0.0,0.0,0.0,0.0,0.0,2018-09-25
94,61397.0,baño,estanterías para baño,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-26
93,61397.0,baño,estanterías para baño,20.0,0.19,3439.0,58.0,11.04,0.0,1.0,0.0,0.0,0.0,
108,61397.0,baño,estanterías para baño,20.0,0.19,3538.0,48.0,9.35,0.0,1.0,0.0,0.0,0.0,2018-09-27
105,61397.0,baño,estanterías para baño,20.0,0.17,2886.0,43.0,7.37,0.0,0.0,0.0,0.0,0.0,2018-09-28
102,61397.0,baño,estanterías para baño,20.0,0.2,3514.0,72.0,14.2,0.0,0.0,0.0,0.0,0.0,2018-09-29
81,61397.0,baño,estanterías para baño,20.0,0.2,3314.0,64.0,12.99,0.0,2.0,0.0,0.0,0.0,2018-09-30
71,61397.0,baño,estanterías para baño,20.0,0.21,4258.0,75.0,15.94,1.0,4.0,40.23,40.23,2.52,2018-10-01
12,61397.0,baño,estanterías para baño,20.0,0.22,1926.0,24.0,5.18,0.0,0.0,0.0,0.0,0.0,2018-10-02
37,61397.0,baño,estanterías para baño,20.0,0.19,1331.0,31.0,5.95,0.0,0.0,0.0,0.0,0.0,2018-10-03
32,61397.0,baño,estanterías para baño,20.0,0.17,1440.0,24.0,4.03,1.0,1.0,31.8,31.8,7.89,2018-10-04
2,61397.0,baño,estanterías para baño,20.0,0.17,1667.0,15.0,2.53,0.0,0.0,0.0,0.0,0.0,2018-10-05
50,61397.0,baño,estanterías para baño,20.0,0.17,1525.0,15.0,2.48,1.0,2.0,14.9,14.9,6.01,2018-10-06
61,61397.0,baño,estanterías para baño,20.0,0.16,1469.0,18.0,2.92,1.0,1.0,31.41,31.41,10.76,2018-10-07
28,61397.0,baño,estanterías para baño,20.0,0.18,1345.0,25.0,4.56,1.0,4.0,31.8,31.8,6.97,2018-10-08
53,61397.0,baño,estanterías para baño,20.0,0.18,1435.0,26.0,4.79,0.0,0.0,0.0,0.0,0.0,2018-10-09
15,61397.0,baño,estanterías para baño,20.0,0.17,1543.0,16.0,2.72,0.0,0.0,0.0,0.0,0.0,2018-10-10
9,61397.0,baño,estanterías para baño,20.0,0.16,1395.0,12.0,1.93,0.0,0.0,0.0,0.0,0.0,2018-10-11
56,61397.0,baño,estanterías para baño,20.0,0.16,1181.0,28.0,4.51,0.2,1.2,9.78,9.78,2.17,2018-10-12
3,61397.0,baño,estanterías para baño,20.0,0.16,1478.0,19.0,3.12,0.0,0.0,0.0,0.0,0.0,2018-10-13
6,61397.0,baño,estanterías para baño,20.0,0.18,1260.0,22.0,3.95,0.0,0.0,0.0,0.0,0.0,2018-10-14
70,61397.0,baño,estanterías para baño,20.0,0.17,1051.0,15.0,2.48,0.0,0.0,0.0,0.0,0.0,2018-10-15
109,61397.0,baño,estanterías para baño,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-16
