,Reference,CatN1,CatN2,Cat_Price,CPC_medio,Impressions,Clics,Cost,Conversions,All_Conversions,Ads_Income,Ads_Income_All,ROAS_Ads,Dates
86,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-03
87,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-04
88,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-05
89,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-06
90,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-07
91,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-08
92,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-09
93,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-10
94,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-11
95,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-12
96,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-13
97,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-14
98,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-15
99,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-16
100,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-17
101,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-18
102,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-19
103,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-20
104,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-21
105,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-22
106,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-23
107,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-24
108,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-25
109,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-26
110,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-27
111,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-28
112,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-29
113,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-09-30
114,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-01
115,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-02
116,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-03
117,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-04
118,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-05
119,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-06
120,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-07
121,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-08
122,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-09
123,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-10
124,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-11
125,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-12
126,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-13
127,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-14
128,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-15
129,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-16
130,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-17
131,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-18
132,48905.0,muebles,mesas de centro y auxiliares,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-10-19
