,Reference,CatN1,CatN2,Cat_Price,CPC_medio,Impressions,Clics,Cost,Conversions,All_Conversions,Ads_Income,Ads_Income_All,ROAS_Ads,Dates
207,51149.0,muebles,"consolas, recibidores y tocadores",200.0,0.38,3058.0,30.0,11.34,0.0,0.0,0.0,0.0,0.0,2018-09-03
198,51149.0,muebles,"consolas, recibidores y tocadores",200.0,0.33,2645.0,31.0,10.22,0.0,0.0,0.0,0.0,0.0,2018-09-04
208,51149.0,muebles,"consolas, recibidores y tocadores",200.0,0.33,2408.0,29.0,9.52,0.0,2.0,0.0,0.0,0.0,2018-09-05
205,51149.0,muebles,"consolas, recibidores y tocadores",200.0,0.3,2218.0,22.0,6.66,0.0,0.0,0.0,0.0,0.0,2018-09-06
209,51149.0,muebles,"consolas, recibidores y tocadores",200.0,0.3,1864.0,25.0,7.46,0.0,1.0,0.0,0.0,0.0,2018-09-07
212,51149.0,muebles,"consolas, recibidores y tocadores",200.0,0.25,2398.0,21.0,5.28,0.0,0.0,0.0,0.0,0.0,2018-09-08
201,51149.0,muebles,"consolas, recibidores y tocadores",200.0,0.27,3040.0,30.0,7.98,0.0,1.0,0.0,0.0,0.0,2018-09-09
185,51149.0,muebles,"consolas, recibidores y tocadores",200.0,0.24,2165.0,35.0,8.56,0.0,0.0,0.0,0.0,0.0,2018-09-10
193,51149.0,muebles,"consolas, recibidores y tocadores",200.0,0.27,2941.0,34.0,9.27,0.74,1.74,146.05,146.05,15.76,2018-09-11
204,51149.0,muebles,"consolas, recibidores y tocadores",200.0,0.26,2478.0,21.0,5.41,0.33,0.33,7.9,7.9,1.46,2018-09-12
187,51149.0,muebles,"consolas, recibidores y tocadores",200.0,0.29,1632.0,14.0,4.03,0.0,0.0,0.0,0.0,0.0,2018-09-13
194,51149.0,muebles,"consolas, recibidores y tocadores",200.0,0.26,1542.0,17.0,4.5,0.0,0.0,0.0,0.0,0.0,2018-09-14
195,51149.0,muebles,"consolas, recibidores y tocadores",200.0,0.24,1845.0,26.0,6.22,0.0,1.0,0.0,0.0,0.0,2018-09-15
197,51149.0,muebles,"consolas, recibidores y tocadores",200.0,0.27,2838.0,37.0,9.9,0.0,3.0,0.0,0.0,0.0,2018-09-16
202,51149.0,muebles,"consolas, recibidores y tocadores",200.0,0.29,2376.0,29.0,8.46,0.0,0.0,0.0,0.0,0.0,2018-09-17
190,51149.0,muebles,"consolas, recibidores y tocadores",200.0,0.29,2515.0,25.0,7.26,0.0,1.0,0.0,0.0,0.0,2018-09-18
196,51149.0,muebles,"consolas, recibidores y tocadores",200.0,0.27,2421.0,31.0,8.28,0.0,0.0,0.0,0.0,0.0,2018-09-19
213,51149.0,muebles,"consolas, recibidores y tocadores",200.0,0.18,2274.0,28.0,5.16,0.0,0.0,0.0,0.0,0.0,2018-09-20
199,51149.0,muebles,"consolas, recibidores y tocadores",200.0,0.24,2188.0,20.0,4.87,0.29,2.29,35.82,35.82,7.36,2018-09-21
