index;path;total_conversions;total_conversion_value
112;ORGANICO > BRANDING > BRANDING > BRANDING;8;1.168
113;BRANDING > CRITEO;8;856
114;BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING;8;496
115;BRANDING > BRANDING > ORGANICO > BRANDING;8;650
116;SHOPPING > DIRECTO > BRANDING;8;954
117;SHOPPING > SHOPPING > CRITEO;8;451
118;SHOPPING > SHOPPING > BRANDING;8;796
119;SHOPPING > SHOPPING > SHOPPING > DIRECTO;8;1.281
120;SHOPPING > SHOPPING > SHOPPING > SHOPPING > SHOPPING;8;1.022
121;DIRECTO > BRANDING > DIRECTO;7;458
122;DIRECTO > BRANDING > BRANDING;7;408
123;DIRECTO > SHOPPING;7;315
124;EMAIL > BRANDING;7;360
125;SMART > ORGANICO;7;452
126;CRITEO > BRANDING;7;1.184
127;SEARCH > BRANDING > BRANDING;7;852
128;(Other) > DIRECTO > DIRECTO;7;648
129;ORGANICO > DIRECTO > SHOPPING;7;455
130;ORGANICO > BRANDING > DIRECTO > DIRECTO;7;528
131;BRANDING > BRANDING > DIRECTO > DIRECTO;7;460
132;FACEBOOK > DIRECTO > FACEBOOK;7;333
133;SHOPPING > CRITEO > DIRECTO;7;642
134;SHOPPING > DIRECTO > ORGANICO;7;836
135;SHOPPING > DIRECTO > SHOPPING;7;288
136;SHOPPING > SHOPPING > SHOPPING > BRANDING;7;337
137;INSTAGRAM > DIRECTO > DIRECTO;6;356
138;DIRECTO > CRITEO;6;443
139;DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;6;380
140;DIRECTO > DIRECTO > ORGANICO;6;428
141;SMART > SMART > SMART;6;215
142;CRITEO > DIRECTO > DIRECTO;6;295
143;SEARCH > ORGANICO > DIRECTO;6;607
144;ORGANICO > SMART;6;244
145;ORGANICO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;6;246
146;ORGANICO > DIRECTO > BRANDING > ORGANICO;6;345
147;BRANDING > CRITEO > DIRECTO;6;465
148;BRANDING > EMAIL;6;601
149;BRANDING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;6;333
150;BRANDING > DIRECTO > BRANDING > BRANDING;6;536
151;BRANDING > (Other);6;193
152;BRANDING > BRANDING > ORGANICO > DIRECTO;6;292
153;SHOPPING > SEARCH > DIRECTO;6;242
154;SHOPPING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;6;218
155;SHOPPING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;6;456
156;SHOPPING > DIRECTO > FACEBOOK;6;552
157;SHOPPING > ORGANICO > FACEBOOK;6;221
158;SHOPPING > SHOPPING > SHOPPING > SHOPPING > SHOPPING > SHOPPING;6;376
159;DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;5;824
160;DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;5;200
161;DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;5;303
162;DIRECTO > DIRECTO > CRITEO;5;337
