index;path;total_conversions;total_conversion_value
1015;DIRECTO > SHOPPING > SHOPPING > SHOPPING > SHOPPING > SHOPPING > SHOPPING > SHOPPING > SHOPPING > SHOPPING > SEARCH > SEARCH > SEARCH > SEARCH > SEARCH > DIRECTO > SEARCH > SEARCH > SEARCH > BRANDING > SHOPPING > SHOPPING > SHOPPING > SHOPPING > SHOPPING > SHOPPING > SEARCH > DIRECTO > SEARCH > SEARCH > EMAIL;1;58
1016;DIRECTO > INSTAGRAM;1;70
1017;DIRECTO > INSTAGRAM > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;86
1018;DIRECTO > INSTAGRAM > DIRECTO > CRITEO > INSTAGRAM > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;178
1019;DIRECTO > INSTAGRAM > INSTAGRAM;1;35
1020;DIRECTO > DISPLAY GOOGLE (impression) > DIRECTO > DIRECTO > DIRECTO;1;71
1021;DIRECTO > DISPLAY GOOGLE (impression) > BRANDING > ORGANICO > DIRECTO;1;53
1022;DIRECTO > DISPLAY GOOGLE > DIRECTO > CRITEO > DIRECTO;1;44
1023;EMAIL > CRITEO > CRITEO > CRITEO > EMAIL > DIRECTO > DIRECTO > EMAIL > EMAIL > DIRECTO > EMAIL;1;27
1024;EMAIL > CRITEO > EMAIL > DIRECTO > CRITEO > EMAIL > DIRECTO > EMAIL > EMAIL > EMAIL > FACEBOOK > DIRECTO > DIRECTO > EMAIL > DIRECTO;1;36
1025;EMAIL > CRITEO > EMAIL > EMAIL > EMAIL > EMAIL > EMAIL > EMAIL;1;44
1026;EMAIL > CRITEO > EMAIL > BRANDING > BRANDING > DIRECTO;1;62
1027;EMAIL > CRITEO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;23
1028;EMAIL > CRITEO > DIRECTO > EMAIL > CRITEO > DIRECTO > SMART (impression) > SMART (impression) > DIRECTO > DIRECTO;1;86
1029;EMAIL > CRITEO > DIRECTO > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > EMAIL > CRITEO > CRITEO;1;79
1030;EMAIL > CRITEO > ORGANICO > DIRECTO > DIRECTO;1;27
1031;EMAIL > SEARCH;1;24
1032;EMAIL > EMAIL > DIRECTO > DIRECTO > EMAIL > ORGANICO > BRANDING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > EMAIL > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;64
1033;EMAIL > EMAIL > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;23
1034;EMAIL > EMAIL > DIRECTO > DIRECTO > DIRECTO > DIRECTO > EMAIL > DIRECTO > DIRECTO;1;44
1035;EMAIL > EMAIL > DIRECTO > DIRECTO > DIRECTO > DIRECTO > EMAIL > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > EMAIL;1;30
1036;EMAIL > EMAIL > DIRECTO > DIRECTO > DIRECTO > EMAIL > EMAIL > EMAIL;1;47
1037;EMAIL > EMAIL > DIRECTO > DIRECTO > DIRECTO > FACEBOOK;1;56
1038;EMAIL > EMAIL > DIRECTO > DIRECTO > BRANDING > BRANDING > BRANDING;1;62
1039;EMAIL > EMAIL > DIRECTO > DIRECTO > BRANDING > BRANDING > BRANDING > DIRECTO > EMAIL;1;30
1040;EMAIL > EMAIL > DIRECTO > EMAIL > EMAIL > DIRECTO;1;20
1041;EMAIL > EMAIL > DIRECTO > BRANDING > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;52
1042;EMAIL > EMAIL > DIRECTO > FACEBOOK;1;26
1043;EMAIL > EMAIL > DIRECTO > SHOPPING > EMAIL > DIRECTO;1;35
1044;EMAIL > EMAIL > EMAIL > DIRECTO;1;62
1045;EMAIL > EMAIL > EMAIL > DIRECTO > EMAIL > DIRECTO > CRITEO > EMAIL > CRITEO > DIRECTO;1;17
1046;EMAIL > EMAIL > EMAIL > DIRECTO > EMAIL > EMAIL > DIRECTO;1;13
1047;EMAIL > EMAIL > EMAIL > DIRECTO > DIRECTO;1;23
1048;EMAIL > EMAIL > EMAIL > DIRECTO > DIRECTO > DIRECTO;1;15
1049;EMAIL > EMAIL > EMAIL > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > EMAIL > EMAIL > EMAIL;1;40
1050;EMAIL > EMAIL > EMAIL > DIRECTO > DIRECTO > EMAIL > DIRECTO > DIRECTO;1;22
1051;EMAIL > EMAIL > EMAIL > EMAIL;1;27
1052;EMAIL > EMAIL > EMAIL > EMAIL > EMAIL > DIRECTO > DIRECTO;1;31
1053;EMAIL > EMAIL > EMAIL > EMAIL > DIRECTO;1;18
1054;EMAIL > EMAIL > EMAIL > EMAIL > DIRECTO > EMAIL > DIRECTO;1;33
1055;EMAIL > EMAIL > EMAIL > EMAIL > DIRECTO > EMAIL > EMAIL > CRITEO > EMAIL;1;214
1056;EMAIL > EMAIL > EMAIL > BRANDING > DIRECTO > SMART > EMAIL > EMAIL > BRANDING > DIRECTO > BRANDING > BRANDING;1;76
1057;EMAIL > EMAIL > SMART (impression) > SMART (impression) > EMAIL > FACEBOOK;1;50
1058;EMAIL > EMAIL > SMART > EMAIL > EMAIL;1;25
1059;EMAIL > EMAIL > CRITEO;1;15
1060;EMAIL > EMAIL > CRITEO > DIRECTO;1;17
1061;EMAIL > EMAIL > CRITEO > EMAIL > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;261
1062;EMAIL > EMAIL > CRITEO > EMAIL > EMAIL > CRITEO > DIRECTO > ORGANICO;1;81
1063;EMAIL > EMAIL > CRITEO > EMAIL > EMAIL > ORGANICO;1;19
1064;EMAIL > EMAIL > CRITEO > EMAIL > CRITEO > DIRECTO > DIRECTO > BING_CPC > EMAIL > CRITEO > DIRECTO > EMAIL > CRITEO;1;249
1065;EMAIL > EMAIL > CRITEO > SEARCH > DISPLAY GOOGLE (impression) > SHOPPING > BRANDING;1;27
1066;EMAIL > EMAIL > CRITEO > (Other);1;71
1067;EMAIL > EMAIL > CRITEO > (Other) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > CRITEO > DIRECTO > DIRECTO > SMART (impression) > SMART (impression) > (Other);1;90
1068;EMAIL > EMAIL > (Other);1;75
1069;EMAIL > EMAIL > (Other) > EMAIL > EMAIL > DIRECTO;1;31
1070;EMAIL > EMAIL > BRANDING;1;24
1071;EMAIL > EMAIL > BRANDING > DIRECTO > DIRECTO;1;130
1072;EMAIL > EMAIL > BRANDING > EMAIL > BRANDING > DIRECTO > EMAIL > DIRECTO > DIRECTO > DIRECTO > BRANDING;1;72
1073;EMAIL > EMAIL > BRANDING > EMAIL > DISPLAY GOOGLE (impression) > EMAIL > DIRECTO > EMAIL > BRANDING > EMAIL > ORGANICO > DIRECTO > DIRECTO > BRANDING;1;30
1074;EMAIL > EMAIL > BRANDING > SMART > DIRECTO > DIRECTO;1;67
1075;EMAIL > EMAIL > BRANDING > ORGANICO > CRITEO > ORGANICO > BRANDING > BRANDING > ORGANICO;1;27
1076;EMAIL > EMAIL > ORGANICO > BRANDING > EMAIL > DIRECTO > ORGANICO;1;218
1077;EMAIL > EMAIL > DISPLAY GOOGLE (impression) > EMAIL > DIRECTO > DIRECTO;1;25
1078;EMAIL > SMART (impression) > EMAIL > EMAIL > EMAIL > EMAIL > EMAIL > DIRECTO > (Other) > EMAIL > EMAIL;1;44
1079;EMAIL > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > EMAIL > DIRECTO;1;44
1080;EMAIL > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > EMAIL > DIRECTO > BRANDING;1;18
1081;EMAIL > SMART (impression) > SMART (impression) > SMART (impression) > BRANDING > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > EMAIL > ORGANICO > BRANDING;1;40
1082;EMAIL > SMART;1;35
1083;EMAIL > DIRECTO > DIRECTO > DIRECTO > CRITEO;1;16
1084;EMAIL > DIRECTO > DIRECTO > DIRECTO > EMAIL > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;285
1085;EMAIL > DIRECTO > DIRECTO > DIRECTO > EMAIL > DIRECTO > DIRECTO > DIRECTO > SHOPPING;1;30
1086;EMAIL > DIRECTO > DIRECTO > DIRECTO > SMART (impression) > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;26
1087;EMAIL > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;223
1088;EMAIL > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > EMAIL > DIRECTO > DIRECTO > EMAIL > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > ORGANICO > DIRECTO > DIRECTO;1;142
1089;EMAIL > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > EMAIL > EMAIL > EMAIL > EMAIL > EMAIL;1;47
1090;EMAIL > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > EMAIL > EMAIL > EMAIL > EMAIL > EMAIL > DIRECTO > EMAIL;1;45
1091;EMAIL > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;116
1092;EMAIL > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;62
1093;EMAIL > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;17
1094;EMAIL > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > BRANDING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > BRANDING > DIRECTO > DIRECTO;1;120
1095;EMAIL > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > ORGANICO > DIRECTO > CRITEO > DIRECTO > DIRECTO > DIRECTO;1;62
1096;EMAIL > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > ORGANICO > DIRECTO > CRITEO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > ORGANICO > CRITEO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > ORGANICO > DIRECTO > DIRECTO;1;25
1097;EMAIL > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > SHOPPING;1;24
1098;EMAIL > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > EMAIL > EMAIL > ORGANICO;1;45
1099;EMAIL > DIRECTO > DIRECTO > DIRECTO > DIRECTO > EMAIL;1;145
1100;EMAIL > DIRECTO > DIRECTO > DIRECTO > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > ORGANICO > BRANDING > BRANDING;1;67
1101;EMAIL > DIRECTO > DIRECTO > EMAIL;1;40
1102;EMAIL > DIRECTO > DIRECTO > EMAIL > DIRECTO;1;27
1103;EMAIL > DIRECTO > DIRECTO > EMAIL > DIRECTO > DIRECTO;1;22
1104;EMAIL > DIRECTO > DIRECTO > EMAIL > DIRECTO > EMAIL;1;56
1105;EMAIL > DIRECTO > DIRECTO > EMAIL > DIRECTO > EMAIL > BRANDING;1;55
1106;EMAIL > DIRECTO > DIRECTO > EMAIL > SHOPPING > SHOPPING > SHOPPING > SHOPPING > SHOPPING > SHOPPING > EMAIL > SHOPPING > SHOPPING;1;67
1107;EMAIL > DIRECTO > DIRECTO > ORGANICO > DIRECTO > DIRECTO > DIRECTO > EMAIL > ORGANICO > DIRECTO > DIRECTO > CRITEO > ORGANICO;1;50
1108;EMAIL > DIRECTO > DIRECTO > BRANDING > DIRECTO > DIRECTO > DIRECTO > EMAIL > CRITEO > DIRECTO > EMAIL > CRITEO > DIRECTO > BRANDING > CRITEO > DIRECTO > DIRECTO > DIRECTO;1;153
1109;EMAIL > DIRECTO > DIRECTO > BRANDING > DIRECTO > BRANDING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;54
1110;EMAIL > DIRECTO > DIRECTO > FACEBOOK;1;23
1111;EMAIL > DIRECTO > DIRECTO > SHOPPING > EMAIL;1;31
1112;EMAIL > DIRECTO > DIRECTO > SHOPPING > EMAIL > DIRECTO > DIRECTO > SHOPPING > BRANDING;1;113
1113;EMAIL > DIRECTO > EMAIL > DIRECTO > EMAIL > DIRECTO;1;32
1114;EMAIL > DIRECTO > EMAIL > DIRECTO > BRANDING;1;227
1115;EMAIL > DIRECTO > EMAIL > EMAIL > EMAIL > DIRECTO > EMAIL > DIRECTO;1;75
1116;EMAIL > DIRECTO > EMAIL > BRANDING;1;78
1117;EMAIL > DIRECTO > EMAIL > SHOPPING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > BRANDING;1;149
1118;EMAIL > DIRECTO > SMART > DIRECTO;1;230
1119;EMAIL > DIRECTO > SMART > DIRECTO > ORGANICO > DIRECTO > EMAIL > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;87
1120;EMAIL > DIRECTO > SMART > BRANDING > ORGANICO > DIRECTO > DIRECTO;1;79
1121;EMAIL > DIRECTO > CRITEO;1;180
1122;EMAIL > DIRECTO > CRITEO > DIRECTO;1;16
1123;EMAIL > DIRECTO > CRITEO > DIRECTO > DIRECTO;1;30
1124;EMAIL > DIRECTO > CRITEO > DIRECTO > DIRECTO > DIRECTO > BRANDING > BRANDING > BRANDING > (Other) > CRITEO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > EMAIL;1;57
1125;EMAIL > DIRECTO > CRITEO > BRANDING > ORGANICO > EMAIL;1;53
1126;EMAIL > DIRECTO > BING_CPC;1;40
1127;EMAIL > DIRECTO > BRANDING > EMAIL > BRANDING;1;25
1128;EMAIL > DIRECTO > BRANDING > ORGANICO > DIRECTO > EMAIL > DIRECTO;1;69
1129;EMAIL > DIRECTO > BRANDING > BRANDING;1;45
1130;EMAIL > DIRECTO > ORGANICO > DIRECTO;1;290
1131;EMAIL > DIRECTO > ORGANICO > EMAIL > BRANDING > BRANDING > CRITEO > BRANDING > BRANDING > BRANDING > BRANDING > ORGANICO > BRANDING > BRANDING;1;39
1132;EMAIL > DIRECTO > ORGANICO > BRANDING;1;21
1133;EMAIL > DIRECTO > ORGANICO > FACEBOOK > DIRECTO > DIRECTO > BRANDING;1;114
1134;EMAIL > DIRECTO > ORGANICO > FACEBOOK > DIRECTO > DIRECTO > BRANDING > DIRECTO > BRANDING;1;92
1135;EMAIL > DIRECTO > ORGANICO > FACEBOOK > DIRECTO > DIRECTO > BRANDING > DIRECTO > BRANDING > BRANDING;1;96
1136;EMAIL > DIRECTO > DISPLAY GOOGLE (impression) > DIRECTO;1;100
1137;EMAIL > BRANDING > DIRECTO;1;33
1138;EMAIL > BRANDING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > BRANDING;1;27
1139;EMAIL > BRANDING > DIRECTO > EMAIL > BRANDING > BRANDING > (Other) > DIRECTO > EMAIL > BRANDING;1;152
1140;EMAIL > BRANDING > DIRECTO > CRITEO > EMAIL > CRITEO;1;30
1141;EMAIL > BRANDING > EMAIL > DIRECTO > SMART;1;64
1142;EMAIL > BRANDING > EMAIL > BRANDING;1;141
1143;EMAIL > BRANDING > EMAIL > BRANDING > BRANDING > BRANDING;1;58
1144;EMAIL > BRANDING > BRANDING > DIRECTO > BRANDING > DIRECTO > BRANDING;1;62
1145;EMAIL > BRANDING > FACEBOOK > DIRECTO > EMAIL > BRANDING;1;136
1146;EMAIL > BRANDING > ORGANICO > BRANDING > BRANDING > BRANDING > EMAIL > DIRECTO;1;18
1147;EMAIL > ORGANICO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > EMAIL > EMAIL > CRITEO > ORGANICO > DIRECTO > DIRECTO > EMAIL > ORGANICO;1;99
1148;EMAIL > ORGANICO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > EMAIL > DIRECTO > DIRECTO > (Other) > DIRECTO > ORGANICO > DIRECTO;1;17
1149;EMAIL > ORGANICO > DIRECTO > EMAIL > ORGANICO;1;63
1150;EMAIL > ORGANICO > DIRECTO > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > SMART (impression) > DISPLAY GOOGLE (impression) > DIRECTO > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > DISPLAY GOOGLE (impression) > SMART (impression) > SMART (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > SMART (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > SMART (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DIRECTO > DIRECTO > SMART (impression) > DIRECTO > SMART (impression) > SMART > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > DISPLAY GOOGLE (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > DIRECTO > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > DIRECTO;1;20
1151;EMAIL > ORGANICO > EMAIL > DIRECTO > BRANDING;1;80
1152;EMAIL > ORGANICO > BRANDING > EMAIL > EMAIL > CRITEO > DIRECTO > BRANDING > ORGANICO > BRANDING > SEARCH > BRANDING > ORGANICO > BRANDING;1;57
1153;EMAIL > ORGANICO > BRANDING > BRANDING;1;43
1154;EMAIL > SHOPPING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > EMAIL > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > EMAIL > DIRECTO > DIRECTO > DIRECTO > EMAIL;1;22
1155;EMAIL > SHOPPING > SHOPPING > SHOPPING > CRITEO > SHOPPING > SHOPPING > BRANDING;1;119
1156;EMAIL > SHOPPING > SHOPPING > SHOPPING > BRANDING;1;18
1157;EMAIL > SHOPPING > SHOPPING > SHOPPING > SHOPPING;1;83
1158;EMAIL > DISPLAY GOOGLE (impression) > EMAIL > DIRECTO > EMAIL > DIRECTO;1;45
1159;EMAIL > DISPLAY GOOGLE (impression) > BRANDING > SMART > SMART > BRANDING > CRITEO > SHOPPING > DIRECTO;1;21
1160;EMAIL > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > CRITEO > EMAIL;1;34
1161;EMAIL > DISPLAY GOOGLE > EMAIL > DIRECTO > DIRECTO > CRITEO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > BRANDING > DIRECTO > CRITEO;1;17
1162;SMART (impression) > SMART (impression) > DIRECTO > DIRECTO > DIRECTO;1;30
1163;SMART (impression) > SMART (impression) > DIRECTO > DIRECTO > DIRECTO > DIRECTO > BRANDING > BRANDING > BRANDING > DIRECTO > BRANDING > DIRECTO > BRANDING > ORGANICO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > CRITEO > DIRECTO > ORGANICO > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > DIRECTO > DIRECTO > DIRECTO;1;10
1164;SMART (impression) > SMART (impression) > DIRECTO > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > DIRECTO > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > DIRECTO > DIRECTO;1;53
1165;SMART (impression) > SMART (impression) > SMART (impression) > DIRECTO > DIRECTO;1;361
1166;SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SHOPPING > DIRECTO > DIRECTO;1;16
1167;SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > SMART (impression) > CRITEO > ORGANICO > CRITEO > BRANDING;1;122
1168;SMART (impression) > SMART (impression) > SMART (impression) > ORGANICO > CRITEO > DIRECTO;1;95
1169;SMART (impression) > SMART (impression) > BRANDING > DIRECTO > DIRECTO;1;38
1170;SMART (impression) > SMART (impression) > FACEBOOK > ORGANICO > DIRECTO > CRITEO > ORGANICO > DIRECTO > DIRECTO > CRITEO;1;20
1171;SMART (impression) > SMART > SMART (impression) > SMART (impression) > BRANDING > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > BRANDING > DISPLAY GOOGLE (impression) > DISPLAY GOOGLE (impression) > ORGANICO > CRITEO > ORGANICO > SMART (impression) > SMART (impression) > SMART (impression) > BRANDING > BRANDING;1;650
1172;SMART (impression) > DIRECTO > BRANDING > DIRECTO > DIRECTO > SHOPPING > BRANDING;1;63
1173;SMART (impression) > BRANDING > DIRECTO;1;63
1174;SMART (impression) > BRANDING > ORGANICO > DIRECTO;1;25
1175;SMART (impression) > BRANDING > ORGANICO > (Other) > FACEBOOK > ORGANICO;1;26
1176;SMART (impression) > ORGANICO;1;30
1177;SMART > CRITEO > CRITEO;1;15
1178;SMART > CRITEO > SMART > DIRECTO > BRANDING > SMART;1;54
1179;SMART > CRITEO > SMART > SMART > SMART > CRITEO > ORGANICO > FACEBOOK;1;56
1180;SMART > CRITEO > SMART > ORGANICO;1;90
1181;SMART > CRITEO > DIRECTO > DIRECTO > FACEBOOK;1;121
1182;SMART > CRITEO > DIRECTO > BRANDING > CRITEO;1;56
1183;SMART > CRITEO > BRANDING > BRANDING;1;44
1184;SMART > CRITEO > ORGANICO > SMART;1;15
1185;SMART > CRITEO > SHOPPING;1;20
1186;SMART > SEARCH > SMART > DIRECTO > DIRECTO > DIRECTO;1;54
1187;SMART > SEARCH > SMART > SMART > SMART > SMART;1;23
1188;SMART > SEARCH > SMART > ORGANICO > DIRECTO;1;70
1189;SMART > SEARCH > BRANDING;1;47
1190;SMART > SMART > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;56
1191;SMART > SMART > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > SHOPPING > DIRECTO > SHOPPING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;34
1192;SMART > SMART > DIRECTO > DIRECTO > ORGANICO;1;39
1193;SMART > SMART > DIRECTO > SMART;1;34
1194;SMART > SMART > DIRECTO > SMART > SMART > ORGANICO > DIRECTO > DIRECTO > DIRECTO;1;121
1195;SMART > SMART > DIRECTO > CRITEO;1;55
1196;SMART > SMART > DIRECTO > ORGANICO > SEARCH > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;55
1197;SMART > SMART > DIRECTO > FACEBOOK;1;62
1198;SMART > SMART > EMAIL > DIRECTO > FACEBOOK > DIRECTO;1;57
1199;SMART > SMART > EMAIL > SMART > DIRECTO > DIRECTO > DIRECTO;1;32
1200;SMART > SMART > SMART > DIRECTO > SMART > SMART > CRITEO;1;36
1201;SMART > SMART > SMART > DIRECTO > SHOPPING > SMART;1;54
1202;SMART > SMART > SMART > DIRECTO > DISPLAY GOOGLE > DIRECTO;1;76
1203;SMART > SMART > SMART > SMART;1;15
1204;SMART > SMART > SMART > SMART > DIRECTO > SMART > FACEBOOK;1;84
1205;SMART > SMART > SMART > SMART > DIRECTO > SMART > FACEBOOK > DIRECTO > SMART > SMART;1;55
1206;SMART > SMART > SMART > ORGANICO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;85
1207;SMART > SMART > SMART > FACEBOOK > SMART;1;91
1208;SMART > SMART > CRITEO > DIRECTO > FACEBOOK;1;33
1209;SMART > SMART > CRITEO > BRANDING > FACEBOOK;1;159
1210;SMART > SMART > BRANDING;1;216
1211;SMART > SMART > BRANDING > BRANDING;1;23
1212;SMART > SMART > BRANDING > BRANDING > DIRECTO > BRANDING;1;121
1213;SMART > SMART > ORGANICO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;34
1214;SMART > SMART > ORGANICO > DIRECTO > BRANDING;1;36
1215;SMART > SMART > ORGANICO > SMART > SMART > ORGANICO > CRITEO > BRANDING > SMART > BRANDING;1;47
1216;SMART > SMART > ORGANICO > SMART > DIRECTO > ORGANICO > DIRECTO > DIRECTO;1;30
1217;SMART > SMART > ORGANICO > BRANDING > BRANDING > BRANDING > BRANDING;1;67
1218;SMART > SMART > ORGANICO > BRANDING > BRANDING > BRANDING > BRANDING > BRANDING > DIRECTO > DIRECTO > DIRECTO > ORGANICO > (Other) > (Other) > DIRECTO > ORGANICO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;99
1219;SMART > SMART > SHOPPING > DIRECTO;1;110
1220;SMART > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;35
1221;SMART > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;50
1222;SMART > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;56
1223;SMART > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;1;33
1224;SMART > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > SMART > DIRECTO > DIRECTO;1;28
1225;SMART > DIRECTO > DIRECTO > DIRECTO > BRANDING;1;216
1226;SMART > DIRECTO > DIRECTO > DIRECTO > BRANDING > SMART;1;40
1227;SMART > DIRECTO > DIRECTO > DIRECTO > BRANDING > BRANDING > BRANDING > CRITEO > BRANDING > ORGANICO;1;47
