,CatN1,CatN2,Cat_Price,CPC_medio,CPC_medio_1w,CPC_medio_2w,CPC_medio_3w,CPC_medio_4w,Impressions,Impressions_1w,Impressions_2w,Impressions_3w,Impressions_4w,Clics,Clics_1w,Clics_2w,Clics_3w,Clics_4w,CTR,CTR_1w,CTR_2w,CTR_3w,CTR_4w,Page_Views,Page_Views_1w,Page_Views_2w,Page_Views_3w,Page_Views_4w,Cost,Cost_1w,Cost_2w,Cost_3w,Cost_4w,Conversions,Conversions_1w,Conversions_2w,Conversions_3w,Conversions_4w,All_Conversions,All_Conversions_1w,All_Conversions_2w,All_Conversions_3w,All_Conversions_4w,Ads_Income,Ads_Income_1w,Ads_Income_2w,Ads_Income_3w,Ads_Income_4w,Ads_Income_All,Ads_Income_All_1w,Ads_Income_All_2w,Ads_Income_All_3w,Ads_Income_All_4w,Net_Incomes,Net_Incomes_1w,Net_Incomes_2w,Net_Incomes_3w,Net_Incomes_4w,Units_sold,Units_sold_1w,Units_sold_2w,Units_sold_3w,Units_sold_4w,ROAS_Ads,ROAS
149,muebles,cómodas,300.0,0.22,0.22,0.22,0.24,0.26,4770.0,5662.14,6032.14,6542.67,5966.18,58.0,54.86,55.93,62.05,56.5,0.012159329140461216,0.01,0.01,0.01,0.01,37.0,76.14,62.79,69.52,69.89,12.81,12.26,12.61,14.7,14.39,1.0,0.36,0.22,0.19,0.14,1.0,0.57,0.36,0.29,0.22,88.0,45.03,30.61,29.28,21.96,88.0,77.54,54.97,45.52,34.14,187.44,53.55,40.17,35.7,33.47,1.0,0.29,0.21,0.19,0.18,6.87,14.632318501170959
153,muebles,cómodas,300.0,0.23,0.22,0.22,0.23,0.25,6872.0,5756.57,5909.64,6429.33,6381.11,61.0,56.86,57.07,58.95,61.25,0.008876600698486612,0.01,0.01,0.01,0.01,75.0,88.29,74.86,68.19,78.25,13.98,12.7,12.82,13.43,15.05,0.2,0.2,0.21,0.21,0.16,0.2,0.2,0.31,0.3,0.23,90.72,29.73,31.09,35.0,26.25,90.72,29.73,47.35,51.24,38.43,187.44,53.55,40.17,35.7,40.17,1.0,0.29,0.21,0.19,0.21,6.49,13.407725321888412
158,muebles,cómodas,300.0,0.29,0.24,0.23,0.23,0.23,5472.0,5807.14,5719.57,5948.38,6398.54,55.0,54.14,54.93,55.62,60.25,0.010051169590643274,0.01,0.01,0.01,0.01,112.0,61.57,72.86,67.29,66.54,16.19,12.83,12.61,12.73,14.1,1.0,0.2,0.28,0.19,0.19,2.0,0.34,0.46,0.3,0.3,233.6,50.53,47.78,31.85,34.59,467.2,83.9,80.72,53.81,55.11,187.44,53.55,53.55,35.7,33.47,1.0,0.29,0.29,0.19,0.18,14.43,11.577516985793698
160,muebles,cómodas,300.0,0.32,0.26,0.24,0.24,0.24,5373.0,5579.43,5668.0,5799.57,6216.86,48.0,50.14,53.5,54.76,56.75,0.008933556672250141,0.01,0.01,0.01,0.01,66.0,63.0,75.64,70.9,66.89,15.34,13.0,12.85,12.88,13.32,0.0,0.16,0.18,0.19,0.2,0.0,0.33,0.26,0.32,0.31,0.0,37.03,33.38,33.07,35.51,0.0,74.66,52.2,56.45,57.09,187.44,53.55,53.55,44.63,40.17,1.0,0.29,0.29,0.24,0.21,0.0,12.219035202086049
164,muebles,cómodas,300.0,0.32,0.32,0.27,0.26,0.25,4304.0,5063.0,5536.36,5548.33,5744.79,53.0,50.29,52.36,53.29,54.18,0.012314126394052044,0.01,0.01,0.01,0.01,112.0,81.57,69.57,75.33,67.86,16.94,16.07,14.21,13.59,13.42,0.0,0.16,0.11,0.19,0.16,0.0,0.4,0.23,0.34,0.29,0.0,37.03,27.09,33.07,28.85,0.0,85.53,51.34,60.08,53.16,177.02,78.84,52.81,53.06,46.49,1.0,0.43,0.29,0.29,0.25,0.0,10.449822904368359
168,muebles,cómodas,300.0,0.32,0.31,0.29,0.27,0.26,3691.0,4317.29,4730.86,5163.86,5422.25,42.0,45.86,47.0,50.95,52.39,0.011379030073150907,0.01,0.01,0.01,0.01,37.0,77.57,68.21,73.57,73.21,13.32,14.16,13.9,13.66,13.44,0.0,0.03,0.1,0.13,0.15,0.0,0.12,0.23,0.22,0.27,0.0,2.05,19.54,22.94,25.32,0.0,14.34,44.5,39.58,45.92,177.02,50.58,52.07,52.56,46.12,1.0,0.29,0.29,0.29,0.25,0.0,13.28978978978979
190,muebles,cómodas,300.0,0.21,0.23,0.24,0.24,0.26,3937.0,5088.29,5408.21,5679.1,5354.11,27.0,31.43,40.21,43.86,44.61,0.006858013716027432,0.01,0.01,0.01,0.01,37.0,38.71,48.14,51.29,58.86,5.54,7.09,9.77,10.66,11.51,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.87,228.93,32.7,16.35,10.9,20.82,1.0,0.14,0.07,0.05,0.11,0.0,41.32310469314079
201,muebles,cómodas,300.0,0.2,0.19,0.16,0.19,0.2,9453.0,10631.14,6361.79,6018.43,6112.93,72.0,81.57,46.71,44.76,46.18,0.007616629641383687,0.01,0.01,0.01,0.01,47.0,81.71,48.86,49.05,50.18,14.54,15.97,9.35,9.65,10.21,0.0,0.14,0.07,0.05,0.04,0.0,0.14,0.07,0.05,0.04,0.0,4.62,2.31,1.54,1.15,0.0,4.62,2.31,1.54,1.15,206.03,29.43,47.42,31.61,23.71,1.0,0.14,0.21,0.14,0.11,0.0,14.169876203576342
28,lámparas e iluminación,lámparas de mesa,30.0,0.27,0.25,0.17,0.13,0.1,2555.0,2555.0,2555.0,2555.0,2555.0,22.0,22.0,22.0,22.0,22.0,0.008610567514677104,0.01,0.01,0.01,0.01,28.0,28.0,28.0,28.0,28.0,6.04,6.04,6.04,6.04,6.04,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,26.91,26.91,26.91,26.91,26.91,26.91,26.91,26.91,26.91,26.91,22.24,22.24,22.24,22.24,22.24,1.0,1.0,1.0,1.0,1.0,4.46,3.682119205298013
29,lámparas e iluminación,lámparas de mesa,30.0,0.25,0.26,0.18,0.14,0.11,3507.0,3031.0,3031.0,3031.0,3031.0,25.0,23.5,23.5,23.5,23.5,0.007128599942971201,0.01,0.01,0.01,0.01,9.0,18.5,18.5,18.5,18.5,6.14,6.09,6.09,6.09,6.09,0.0,0.5,0.5,0.5,0.5,3.0,3.0,3.0,3.0,3.0,0.0,13.46,13.46,13.46,13.46,0.0,13.46,13.46,13.46,13.46,44.48,33.36,33.36,33.36,33.36,2.0,1.5,1.5,1.5,1.5,0.0,7.244299674267101
34,lámparas e iluminación,lámparas de mesa,30.0,0.21,0.24,0.24,0.18,0.15,2156.0,2734.0,2734.0,2734.0,2734.0,9.0,16.43,16.43,16.43,16.43,0.0041743970315398895,0.01,0.01,0.01,0.01,19.0,17.43,17.43,17.43,17.43,1.87,3.99,3.99,3.99,3.99,0.0,0.24,0.24,0.24,0.24,0.0,1.38,1.38,1.38,1.38,0.0,14.57,14.57,14.57,14.57,0.0,14.57,14.57,14.57,14.57,24.71,13.06,13.06,13.06,13.06,1.0,0.57,0.57,0.57,0.57,0.0,13.213903743315507
37,lámparas e iluminación,lámparas de mesa,30.0,0.27,0.25,0.25,0.22,0.18,1435.0,2265.86,2531.0,2531.0,2531.0,9.0,12.29,14.7,14.7,14.7,0.006271777003484321,0.01,0.01,0.01,0.01,19.0,10.71,15.9,15.9,15.9,2.42,2.97,3.62,3.62,3.62,0.0,0.1,0.17,0.17,0.17,0.0,0.24,0.97,0.97,0.97,0.0,10.72,10.2,10.2,10.2,0.0,10.72,10.2,10.2,10.2,24.71,7.06,11.61,11.61,11.61,1.0,0.29,0.5,0.5,0.5,0.0,10.210743801652892
42,lámparas e iluminación,lámparas de mesa,30.0,0.23,0.28,0.26,0.26,0.21,1484.0,1484.14,2105.14,2135.13,2135.13,9.0,8.14,11.86,12.53,12.53,0.006064690026954178,0.01,0.01,0.01,0.01,47.0,16.0,15.36,16.2,16.2,2.04,2.21,2.95,3.15,3.15,0.0,0.0,0.05,0.11,0.11,0.0,0.29,0.62,0.78,0.78,0.0,0.0,5.36,6.8,6.8,0.0,0.0,5.36,6.8,6.8,49.42,10.59,10.24,11.04,11.04,2.0,0.43,0.43,0.47,0.47,0.0,24.225490196078432
131,lámparas e iluminación,lámparas de mesa,30.0,0.14,0.11,0.06,0.04,0.03,489.0,321.86,160.93,107.29,80.46,3.0,1.0,0.5,0.33,0.25,0.006134969325153374,0.0,0.0,0.0,0.0,9.0,10.57,9.29,6.19,5.96,0.42,0.16,0.08,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.51,2.64,1.32,0.88,0.66,1.0,0.14,0.07,0.05,0.04,0.0,44.07142857142858
135,lámparas e iluminación,lámparas de mesa,30.0,0.12,0.18,0.11,0.07,0.06,402.0,448.57,317.36,211.57,158.68,4.0,2.71,1.43,0.95,0.71,0.009950248756218905,0.01,0.01,0.01,0.01,9.0,7.86,7.29,6.62,5.61,0.46,0.44,0.24,0.16,0.12,0.0,0.14,0.07,0.05,0.04,0.0,0.29,0.14,0.1,0.07,0.0,3.2,1.6,1.07,0.8,0.0,6.4,3.2,2.13,1.6,18.52,15.74,7.87,5.25,3.93,1.0,0.86,0.43,0.29,0.21,0.0,40.26086956521739
139,lámparas e iluminación,lámparas de mesa,30.0,0.04,0.15,0.14,0.1,0.07,601.0,472.57,450.93,300.62,225.46,1.0,2.86,2.14,1.43,1.07,0.001663893510815308,0.01,0.01,0.01,0.01,9.0,3.86,7.21,7.48,5.61,0.04,0.4,0.33,0.22,0.16,0.0,0.14,0.07,0.05,0.04,0.0,0.29,0.14,0.1,0.07,0.0,3.2,1.6,1.07,0.8,0.0,6.4,3.2,2.13,1.6,37.02,18.38,10.51,7.01,5.26,2.0,1.0,0.57,0.38,0.29,0.0,925.5000000000001
161,lámparas e iluminación,lámparas de mesa,30.0,0.17,0.15,0.14,0.13,0.13,489.0,358.57,370.43,370.38,391.68,8.0,4.57,3.43,3.1,3.04,0.016359918200409,0.01,0.01,0.01,0.01,28.0,34.86,22.0,18.67,15.96,1.35,0.71,0.52,0.47,0.44,0.3,0.04,0.02,0.01,0.01,0.3,0.04,0.02,0.01,0.01,6.45,0.92,0.46,0.31,0.23,6.45,0.92,0.46,0.31,0.23,52.56,7.51,3.75,4.27,5.84,3.0,0.43,0.21,0.24,0.32,4.77,38.93333333333333
163,lámparas e iluminación,lámparas de mesa,30.0,0.05,0.13,0.12,0.13,0.12,406.0,372.86,373.0,378.05,392.71,1.0,4.0,3.36,3.1,2.93,0.0024630541871921183,0.01,0.01,0.01,0.01,19.0,21.43,22.07,17.33,16.32,0.05,0.59,0.46,0.45,0.41,0.0,0.19,0.09,0.06,0.05,0.0,0.33,0.16,0.11,0.08,0.0,6.98,3.49,2.33,1.74,0.0,13.04,6.52,4.35,3.26,35.04,12.51,6.26,5.93,5.77,2.0,0.71,0.36,0.33,0.32,0.0,700.8
34,muebles,"consolas, recibidores y tocadores",200.0,0.22,0.26,0.27,0.27,0.27,607.0,870.86,870.86,870.86,870.86,8.0,8.57,8.57,8.57,8.57,0.013179571663920923,0.01,0.01,0.01,0.01,112.0,26.71,26.71,26.71,26.71,1.77,2.39,2.39,2.39,2.39,0.0,0.33,0.33,0.33,0.33,0.0,0.76,0.76,0.76,0.76,0.0,59.2,59.2,59.2,59.2,0.0,59.2,59.2,59.2,59.2,120.5,17.21,17.21,17.21,17.21,1.0,0.14,0.14,0.14,0.14,0.0,68.07909604519774
35,muebles,"consolas, recibidores y tocadores",200.0,0.26,0.26,0.27,0.27,0.27,429.0,571.86,815.62,815.62,815.62,4.0,6.29,8.0,8.0,8.0,0.009324009324009324,0.01,0.01,0.01,0.01,19.0,26.71,25.75,25.75,25.75,1.05,1.72,2.22,2.22,2.22,0.0,0.19,0.29,0.29,0.29,0.0,0.33,0.67,0.67,0.67,0.0,38.37,51.8,51.8,51.8,0.0,38.37,51.8,51.8,51.8,254.38,53.55,46.86,46.86,46.86,2.0,0.43,0.38,0.38,0.38,0.0,242.26666666666665
58,muebles,"consolas, recibidores y tocadores",200.0,0.2,0.24,0.24,0.26,0.26,2226.0,2714.29,2954.14,2920.05,2290.5,18.0,26.57,28.0,26.9,21.57,0.008086253369272238,0.01,0.01,0.01,0.01,28.0,34.71,34.0,32.48,32.04,3.56,6.36,6.85,7.0,5.59,1.0,0.36,0.21,0.15,0.12,2.4,2.37,1.94,1.89,1.5,162.0,73.74,48.44,33.58,26.92,288.0,146.81,84.98,58.92,45.92,133.88,19.13,9.56,6.38,18.17,1.0,0.14,0.07,0.05,0.14,45.51,37.60674157303371
71,muebles,"consolas, recibidores y tocadores",200.0,0.27,0.26,0.25,0.25,0.25,2233.0,2545.71,2506.79,2578.52,2748.71,25.0,21.71,20.43,22.86,24.43,0.011195700850873264,0.01,0.01,0.01,0.01,37.0,25.29,28.71,30.71,31.68,6.66,5.7,5.19,5.7,6.15,0.0,0.0,0.07,0.12,0.11,0.0,1.0,1.18,1.56,1.54,0.0,0.0,11.57,24.58,24.22,0.0,0.0,20.81,49.1,42.61,120.5,36.34,27.73,18.49,13.87,1.0,0.29,0.21,0.14,0.11,0.0,18.093093093093092
79,muebles,"consolas, recibidores y tocadores",150.0,0.31,0.32,0.29,0.28,0.27,3090.0,3496.29,2989.07,2850.33,2816.32,25.0,28.29,24.5,22.86,23.79,0.008090614886731391,0.01,0.01,0.01,0.01,112.0,71.0,48.14,42.38,40.46,7.66,9.13,7.29,6.52,6.48,0.3,0.16,0.11,0.07,0.14,0.7,0.5,0.79,0.91,1.28,43.6,19.86,14.17,9.45,25.52,101.92,71.31,52.86,35.4,63.25,120.5,17.21,26.78,17.85,18.17,1.0,0.14,0.21,0.14,0.14,5.69,15.73107049608355
81,muebles,"consolas, recibidores y tocadores",150.0,0.4,0.34,0.31,0.29,0.28,3054.0,3777.57,3098.64,3003.1,2857.89,25.0,30.29,25.64,24.14,23.86,0.008185985592665358,0.01,0.01,0.01,0.01,75.0,75.0,50.86,45.52,43.82,9.96,10.17,8.11,7.14,6.75,0.0,0.09,0.11,0.07,0.13,0.42,0.43,0.61,0.79,1.13,0.0,11.15,14.17,9.45,23.61,76.95,66.21,59.02,39.35,61.72,120.5,34.43,35.38,23.59,22.47,1.0,0.29,0.29,0.19,0.18,0.0,12.098393574297187
136,muebles,"consolas, recibidores y tocadores",150.0,0.29,0.3,0.35,0.35,0.37,1562.0,1512.43,1148.5,1016.62,968.57,16.0,13.86,12.21,9.9,9.11,0.010243277848911651,0.01,0.01,0.01,0.01,112.0,25.29,22.0,18.62,16.96,4.6,4.1,3.99,3.4,3.29,0.41,0.13,0.07,0.07,0.05,0.41,0.13,0.06,0.09,0.07,61.95,25.05,12.53,13.06,9.8,61.95,25.05,12.53,17.78,13.33,120.5,34.43,17.21,11.48,8.61,1.0,0.29,0.14,0.1,0.07,13.47,26.195652173913047
138,muebles,"consolas, recibidores y tocadores",150.0,0.28,0.31,0.35,0.35,0.37,906.0,1312.0,1238.71,1020.43,989.29,16.0,14.29,13.93,10.71,9.71,0.017660044150110375,0.01,0.01,0.01,0.01,9.0,27.86,23.29,18.14,16.93,4.47,4.33,4.51,3.64,3.43,0.0,0.13,0.07,0.04,0.05,0.0,0.13,0.06,0.04,0.07,0.0,25.05,12.53,8.35,9.8,0.0,25.05,12.53,8.35,13.33,120.5,51.64,25.82,17.21,12.91,1.0,0.43,0.21,0.14,0.11,0.0,26.957494407158837
140,muebles,"consolas, recibidores y tocadores",150.0,0.26,0.32,0.34,0.33,0.36,999.0,1187.57,1240.79,981.71,988.25,11.0,12.29,13.43,10.52,9.82,0.011011011011011013,0.01,0.01,0.01,0.01,19.0,22.57,20.64,17.29,17.61,2.86,3.77,4.28,3.36,3.44,0.0,0.13,0.07,0.04,0.05,0.0,0.13,0.06,0.04,0.07,0.0,25.05,12.53,8.35,9.8,0.0,25.05,12.53,8.35,13.33,120.5,68.86,34.43,22.95,17.21,1.0,0.57,0.29,0.19,0.14,0.0,42.13286713286713
148,muebles,"consolas, recibidores y tocadores",150.0,0.25,0.29,0.29,0.31,0.32,727.0,765.43,940.0,1107.05,948.82,4.0,6.57,9.57,11.38,9.86,0.005502063273727648,0.01,0.01,0.01,0.01,9.0,21.29,22.57,20.38,18.29,1.0,1.9,2.79,3.46,3.07,0.0,0.0,0.07,0.04,0.03,0.0,0.0,0.06,0.04,0.03,0.0,0.0,12.53,8.35,6.26,0.0,0.0,12.53,8.35,6.26,114.47,16.35,34.0,28.4,21.3,1.0,0.14,0.29,0.24,0.18,0.0,114.47
154,muebles,"consolas, recibidores y tocadores",150.0,0.34,0.25,0.27,0.29,0.31,692.0,551.43,675.0,845.86,957.89,6.0,6.57,7.07,8.81,10.25,0.008670520231213872,0.01,0.01,0.01,0.01,19.0,10.57,15.93,18.14,18.29,2.02,1.67,1.93,2.54,3.1,0.0,0.0,0.0,0.04,0.03,0.0,0.0,0.0,0.04,0.03,0.0,0.0,0.0,8.35,6.26,0.0,0.0,0.0,8.35,6.26,120.5,33.57,16.78,34.14,25.61,1.0,0.29,0.14,0.29,0.21,0.0,59.65346534653465
170,muebles,"consolas, recibidores y tocadores",150.0,0.28,0.26,0.26,0.26,0.26,577.0,535.29,727.29,682.57,685.07,1.0,2.86,5.93,6.19,6.32,0.0017331022530329286,0.01,0.01,0.01,0.01,19.0,8.14,17.5,16.52,16.71,0.28,0.75,1.52,1.59,1.63,0.0,0.0,0.04,0.03,0.02,0.0,0.0,0.08,0.05,0.04,0.0,0.0,5.59,3.73,2.8,0.0,0.0,11.16,7.44,5.58,113.8,16.26,8.13,11.16,12.46,1.0,0.14,0.07,0.1,0.11,0.0,406.4285714285714
174,muebles,"consolas, recibidores y tocadores",150.0,0.13,0.27,0.27,0.27,0.26,328.0,465.43,585.36,675.05,642.68,2.0,3.14,4.43,5.52,5.86,0.006097560975609756,0.01,0.01,0.01,0.01,9.0,7.86,13.36,16.48,14.32,0.26,0.85,1.21,1.45,1.51,0.0,0.14,0.07,0.07,0.06,0.0,0.14,0.07,0.1,0.07,0.0,19.67,9.84,10.29,7.72,0.0,19.67,9.84,13.99,10.5,227.6,48.77,24.39,22.0,20.58,2.0,0.43,0.21,0.19,0.18,0.0,875.3846153846154
38,lámparas e iluminación,lámparas de mesa,40.0,0.33,0.23,0.25,0.17,0.13,228.0,372.57,455.45,455.45,455.45,4.0,2.43,3.0,3.0,3.0,0.017543859649122806,0.01,0.01,0.01,0.01,9.0,7.86,10.0,10.0,10.0,1.32,0.65,0.79,0.79,0.79,0.0,0.0,0.0,0.0,0.0,4.0,0.57,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.84,4.12,2.62,2.62,2.62,1.0,0.14,0.09,0.09,0.09,0.0,21.848484848484848
157,lámparas e iluminación,lámparas de mesa,40.0,0.14,0.11,0.1,0.1,0.08,139.0,158.43,163.79,148.86,149.61,1.0,0.71,0.79,0.76,0.64,0.007194244604316547,0.0,0.0,0.01,0.0,19.0,13.57,8.79,6.29,7.39,0.14,0.11,0.12,0.12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.95,7.04,5.38,4.82,3.62,1.0,0.29,0.21,0.19,0.14,0.0,185.35714285714283
28,textil hogar,alfombras de bambú,80.0,0.08,0.12,0.1,0.11,0.11,159.0,159.0,159.0,159.0,159.0,2.0,2.0,2.0,2.0,2.0,0.012578616352201259,0.01,0.01,0.01,0.01,9.0,9.0,9.0,9.0,9.0,0.16,0.16,0.16,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.08,92.08,92.08,92.08,92.08,2.0,2.0,2.0,2.0,2.0,0.0,575.5
30,textil hogar,alfombras de bambú,80.0,0.13,0.1,0.1,0.1,0.11,124.0,152.33,152.33,152.33,152.33,7.0,3.33,3.33,3.33,3.33,0.05645161290322581,0.02,0.02,0.02,0.02,37.0,18.33,18.33,18.33,18.33,0.89,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.16,47.75,47.75,47.75,47.75,1.0,1.0,1.0,1.0,1.0,0.0,57.483146067415724
35,textil hogar,alfombras de bambú,80.0,0.11,0.11,0.11,0.11,0.11,187.0,165.29,164.5,164.5,164.5,2.0,3.29,3.12,3.12,3.12,0.0106951871657754,0.02,0.02,0.02,0.02,66.0,32.14,29.25,29.25,29.25,0.22,0.37,0.35,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.16,14.62,24.3,24.3,24.3,1.0,0.29,0.5,0.5,0.5,0.0,232.54545454545453
36,textil hogar,alfombras de bambú,80.0,0.08,0.11,0.11,0.1,0.11,265.0,178.29,175.67,175.67,175.67,7.0,4.14,3.56,3.56,3.56,0.026415094339622643,0.02,0.02,0.02,0.02,56.0,38.86,32.22,32.22,32.22,0.54,0.44,0.37,0.37,0.37,1.0,0.14,0.11,0.11,0.11,3.0,0.43,0.33,0.33,0.33,63.9,9.13,7.1,7.1,7.1,63.9,9.13,7.1,7.1,7.1,51.16,21.93,27.28,27.28,27.28,1.0,0.43,0.56,0.56,0.56,118.33,94.74074074074073
76,textil hogar,alfombras de bambú,80.0,0.23,0.05,0.05,0.04,0.04,82.0,46.57,34.64,29.33,28.93,1.0,0.29,0.21,0.19,0.25,0.012195121951219513,0.0,0.0,0.01,0.01,19.0,21.43,15.43,12.9,11.36,0.23,0.05,0.05,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.04,13.15,10.23,6.82,6.94,1.0,0.29,0.21,0.14,0.14,0.0,200.17391304347825
81,textil hogar,alfombras de bambú,60.0,0.45,0.15,0.08,0.08,0.06,2261.0,396.86,213.57,150.24,117.36,31.0,5.14,2.64,1.86,1.46,0.013710747456877488,0.01,0.01,0.01,0.01,112.0,36.14,28.79,22.29,18.04,14.08,2.17,1.09,0.75,0.57,1.2,0.17,0.09,0.06,0.04,2.24,0.32,0.16,0.11,0.08,66.84,9.55,4.77,3.18,2.39,125.02,17.86,8.93,5.95,4.46,92.06,52.61,33.25,22.16,16.62,2.0,1.14,0.71,0.48,0.36,4.75,6.5383522727272725
82,textil hogar,alfombras de bambú,60.0,0.47,0.22,0.12,0.1,0.07,805.0,502.57,269.57,187.95,145.29,16.0,7.43,3.79,2.62,1.96,0.019875776397515532,0.01,0.01,0.01,0.01,19.0,38.86,30.14,22.76,18.71,7.47,3.23,1.62,1.1,0.83,0.2,0.2,0.1,0.07,0.05,0.62,0.41,0.2,0.14,0.1,11.14,11.14,5.57,3.71,2.78,34.66,22.81,11.41,7.6,5.7,46.03,59.18,32.88,24.36,18.27,1.0,1.29,0.71,0.52,0.39,1.49,6.161981258366801
126,textil hogar,alfombras de bambú,80.0,0.4,0.06,0.12,0.13,0.1,423.0,60.43,61.14,60.67,45.5,2.0,0.29,0.64,0.67,0.5,0.0047281323877068565,0.0,0.01,0.02,0.02,28.0,8.0,7.29,6.62,6.64,0.8,0.11,0.26,0.27,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.03,13.88,10.6,7.06,5.3,1.0,0.29,0.21,0.14,0.11,0.0,57.5375
130,textil hogar,alfombras de bambú,60.0,0.28,0.24,0.12,0.19,0.14,1392.0,394.43,197.21,171.1,129.0,25.0,6.0,3.0,2.57,1.93,0.017959770114942528,0.01,0.01,0.02,0.02,9.0,13.29,9.29,8.38,8.29,6.99,1.84,0.92,0.84,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.03,13.15,13.88,9.26,6.94,1.0,0.29,0.29,0.19,0.14,0.0,6.585121602288984
133,textil hogar,alfombras de bambú,60.0,0.28,0.3,0.18,0.18,0.17,1819.0,1027.57,544.0,383.29,302.39,31.0,17.71,9.0,6.33,4.93,0.017042330951072018,0.02,0.02,0.02,0.02,19.0,17.29,12.64,10.62,9.29,8.6,4.98,2.55,1.83,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.03,13.15,13.52,11.45,8.59,1.0,0.29,0.29,0.24,0.18,0.0,5.352325581395349
140,textil hogar,alfombras de bambú,60.0,0.32,0.27,0.29,0.21,0.2,553.0,922.86,975.21,670.29,518.18,6.0,14.57,16.14,10.86,8.39,0.0108499095840868,0.02,0.02,0.02,0.02,9.0,9.29,13.29,11.52,10.29,1.89,3.97,4.48,3.02,2.37,0.0,0.04,0.02,0.01,0.01,0.0,0.04,0.02,0.01,0.01,0.0,1.72,0.86,0.57,0.43,0.0,1.79,0.89,0.6,0.45,46.03,6.58,9.86,11.2,10.23,1.0,0.14,0.21,0.24,0.21,0.0,24.354497354497358
141,textil hogar,alfombras de bambú,60.0,0.26,0.27,0.28,0.22,0.2,494.0,678.43,990.71,693.81,529.89,9.0,12.14,16.71,11.29,8.61,0.01821862348178137,0.02,0.02,0.02,0.02,9.0,10.57,13.29,11.95,10.29,2.33,3.29,4.62,3.13,2.41,0.0,0.04,0.02,0.01,0.01,0.0,0.04,0.02,0.01,0.01,0.0,1.72,0.86,0.57,0.43,0.0,1.79,0.89,0.6,0.45,46.03,13.15,13.15,13.4,11.87,1.0,0.29,0.29,0.29,0.25,0.0,19.755364806866954
146,textil hogar,alfombras de bambú,60.0,0.29,0.28,0.27,0.29,0.22,293.0,454.14,778.93,795.33,596.5,3.0,6.14,12.14,12.62,9.46,0.010238907849829351,0.01,0.02,0.02,0.02,19.0,13.14,11.93,14.14,11.93,0.88,1.7,3.32,3.5,2.62,0.0,0.14,0.09,0.06,0.05,0.0,0.29,0.16,0.11,0.08,0.0,11.17,6.45,4.3,3.22,0.0,22.34,12.07,8.04,6.03,46.03,19.73,13.15,13.15,11.69,1.0,0.43,0.29,0.29,0.25,0.0,52.30681818181818
167,textil hogar,alfombras de bambú,60.0,0.35,0.41,0.35,0.35,0.33,378.0,336.43,369.0,333.24,363.46,5.0,4.71,5.57,5.19,5.43,0.013227513227513229,0.01,0.01,0.02,0.02,9.0,8.0,7.93,8.38,9.57,1.73,1.78,1.83,1.73,1.72,0.0,0.0,0.0,0.03,0.06,0.0,0.0,0.0,0.05,0.11,0.0,0.0,0.0,1.31,3.77,0.0,0.0,0.0,2.61,7.54,43.47,6.21,3.1,4.26,8.13,1.0,0.14,0.07,0.1,0.18,0.0,25.1271676300578
