,CatN1,CatN2,Cat_Price,CPC_medio,CPC_medio_1w,CPC_medio_2w,CPC_medio_3w,CPC_medio_4w,Impressions,Impressions_1w,Impressions_2w,Impressions_3w,Impressions_4w,Clics,Clics_1w,Clics_2w,Clics_3w,Clics_4w,CTR,CTR_1w,CTR_2w,CTR_3w,CTR_4w,Page_Views,Page_Views_1w,Page_Views_2w,Page_Views_3w,Page_Views_4w,Cost,Cost_1w,Cost_2w,Cost_3w,Cost_4w,Conversions,Conversions_1w,Conversions_2w,Conversions_3w,Conversions_4w,All_Conversions,All_Conversions_1w,All_Conversions_2w,All_Conversions_3w,All_Conversions_4w,Ads_Income,Ads_Income_1w,Ads_Income_2w,Ads_Income_3w,Ads_Income_4w,Ads_Income_All,Ads_Income_All_1w,Ads_Income_All_2w,Ads_Income_All_3w,Ads_Income_All_4w,Net_Incomes,Net_Incomes_1w,Net_Incomes_2w,Net_Incomes_3w,Net_Incomes_4w,Units_sold,Units_sold_1w,Units_sold_2w,Units_sold_3w,Units_sold_4w,ROAS_Ads,ROAS
141,muebles,"consolas, recibidores y tocadores",150.0,0.29,0.2,0.15,0.1,0.07,58.0,95.0,61.5,41.0,30.75,1.0,0.71,0.71,0.48,0.36,0.017241379310344827,0.01,0.02,0.02,0.02,9.0,12.0,8.57,10.14,9.29,0.29,0.23,0.17,0.11,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.45,15.49,16.35,17.28,12.96,1.0,0.14,0.14,0.14,0.11,0.0,373.96551724137936
145,muebles,"consolas, recibidores y tocadores",150.0,0.46,0.39,0.26,0.17,0.13,199.0,115.57,96.07,64.81,48.61,1.0,1.14,1.0,0.71,0.54,0.005025125628140704,0.01,0.01,0.02,0.02,75.0,24.0,17.29,14.19,13.64,0.46,0.42,0.3,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.5,48.2,32.71,21.8,21.14,1.0,0.43,0.29,0.19,0.18,0.0,261.95652173913044
148,muebles,"consolas, recibidores y tocadores",150.0,0.17,0.33,0.26,0.21,0.16,224.0,148.14,121.57,90.38,67.79,1.0,1.43,1.07,0.95,0.71,0.004464285714285714,0.01,0.01,0.01,0.01,47.0,34.86,23.43,17.33,16.32,0.17,0.62,0.42,0.32,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.5,49.92,32.71,27.54,25.44,1.0,0.43,0.29,0.24,0.21,0.0,708.8235294117646
150,muebles,"consolas, recibidores y tocadores",150.0,0.49,0.34,0.33,0.25,0.19,141.0,164.57,130.36,103.9,77.93,2.0,1.57,1.36,1.14,0.86,0.014184397163120569,0.01,0.01,0.01,0.01,37.0,32.14,22.71,19.1,16.0,0.98,0.72,0.55,0.41,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.99,68.86,49.92,39.02,29.26,2.0,0.57,0.43,0.33,0.25,0.0,245.90816326530614
158,muebles,"consolas, recibidores y tocadores",150.0,0.44,0.34,0.35,0.35,0.29,322.0,224.57,199.36,167.76,141.18,4.0,2.43,2.07,1.81,1.54,0.012422360248447204,0.01,0.01,0.01,0.01,9.0,12.0,22.71,19.57,17.64,1.76,1.02,0.9,0.74,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.5,34.43,51.64,44.76,37.87,1.0,0.29,0.43,0.38,0.32,0.0,68.4659090909091
171,muebles,"consolas, recibidores y tocadores",150.0,0.52,0.38,0.41,0.38,0.37,252.0,230.86,276.36,253.24,231.07,2.0,2.29,2.36,2.29,2.11,0.007936507936507936,0.01,0.01,0.01,0.01,9.0,6.57,11.29,11.52,16.68,1.03,0.99,1.08,1.01,0.94,0.0,0.03,0.08,0.06,0.04,0.0,0.05,0.1,0.06,0.05,0.0,4.68,17.49,11.66,8.74,0.0,8.75,19.52,13.01,9.76,113.8,16.26,25.34,22.63,34.19,1.0,0.14,0.21,0.19,0.29,0.0,110.48543689320388
172,muebles,"consolas, recibidores y tocadores",150.0,0.3,0.37,0.4,0.38,0.37,321.0,238.14,276.29,259.05,237.82,1.0,2.14,2.14,2.24,2.11,0.003115264797507788,0.01,0.01,0.01,0.01,37.0,10.57,13.29,12.86,18.0,0.3,0.92,0.98,0.99,0.94,0.0,0.03,0.08,0.06,0.04,0.0,0.05,0.1,0.06,0.05,0.0,4.68,17.49,11.66,8.74,0.0,8.75,19.52,13.01,9.76,108.11,31.7,24.46,27.78,38.05,1.0,0.29,0.21,0.24,0.32,0.0,360.3666666666667
173,muebles,"consolas, recibidores y tocadores",150.0,0.41,0.32,0.4,0.38,0.37,318.0,257.86,277.57,265.0,242.07,4.0,2.43,2.36,2.38,2.21,0.012578616352201259,0.01,0.01,0.01,0.01,9.0,10.57,13.93,12.38,15.64,1.65,0.95,1.08,1.05,0.98,0.0,0.03,0.01,0.06,0.04,0.0,0.05,0.03,0.06,0.05,0.0,4.68,2.34,11.66,8.74,0.0,8.75,4.38,13.01,9.76,335.71,79.66,39.83,43.77,45.74,3.0,0.71,0.36,0.38,0.39,0.0,203.46060606060607
183,muebles,"consolas, recibidores y tocadores",200.0,0.54,0.45,0.4,0.41,0.41,856.0,784.71,549.5,444.14,408.75,7.0,6.14,4.29,3.62,3.46,0.008177570093457943,0.01,0.01,0.01,0.01,19.0,21.29,15.93,15.05,14.29,3.77,2.72,1.82,1.57,1.52,0.0,0.0,0.01,0.01,0.04,0.0,0.0,0.03,0.02,0.05,0.0,0.0,2.34,1.56,8.74,0.0,0.0,4.38,2.92,9.76,133.88,19.13,49.39,32.93,33.3,1.0,0.14,0.43,0.29,0.29,0.0,35.51193633952254
205,muebles,"consolas, recibidores y tocadores",200.0,0.3,0.31,0.33,0.35,0.38,1028.0,1037.57,1240.07,1057.52,997.61,4.0,4.71,8.71,7.81,7.32,0.0038910505836575885,0.0,0.01,0.01,0.01,19.0,10.57,10.57,10.14,12.61,1.22,1.46,3.23,3.01,2.92,0.0,0.05,0.02,0.06,0.05,0.0,0.05,0.02,0.06,0.05,0.0,0.71,0.36,13.43,10.07,0.0,0.71,0.36,13.43,10.07,132.4,18.91,9.46,13.31,14.76,1.0,0.14,0.07,0.1,0.11,0.0,108.52459016393443
