Conversiones;Valor de las conversiones;Path_1;Path_2;Path_3;Path_4;Path_5;Path_6;Path_7;Path_8;Path_9;Path_10;Path_11;Path_12;Path_13;Path_14;Path_15;Path_16;Path_17;Path_18;Path_19;Path_20;Path_21;Path_22;Path_23;Path_24;Path_25;Path_26;Path_27;Path_28;Path_29;Path_30;Path_31;Path_32;Path_33;Path_34;Path_35;Path_36;Path_37;Path_38;Path_39;Path_40;Path_41;Path_42;Path_43;Path_44;Path_45;Path_46;Path_47;Path_48;Path_49;Path_50;Path_51;Path_52;Path_53;Path_54;Path_55;Path_56;Path_57;Path_58;Path_59;Path_60;Path_61;Path_62;Path_63;Path_64;Path_65;Path_66;Path_67;Path_68;Path_69;Path_70;Path_71;Path_72;Path_73;Path_74
3;51,90 €;google / cpc ; (direct) / (none) ; (direct) / (none) ; google / organic ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;14,90 €;google / cpc ; (direct) / (none) ; google / organic ; (direct) / (none) ; (direct) / (none) ; google / cpc ; criteo / banner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;25,80 €;google / cpc ; (direct) / (none) ; facebook.com / referral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;118,80 €;google / cpc ; (direct) / (none) ; facebook.com / referral ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;25,80 €;google / cpc ; (direct) / (none) ; facebook.com / referral ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;82,19 €;google / cpc ; google / organic ; outlook.live.com / referral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;39,10 €;google / cpc ; google / organic ; google / cpc ; google / cpc ; criteo / banner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;237,60 €;google / cpc ; google / organic ; google / cpc ; google / cpc ; (direct) / (none) ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;237,90 €;google / cpc ; google / organic ; google / cpc ; google / cpc ; (direct) / (none) ; google / organic ; google / cpc ; google / organic ; (direct) / (none) ; google / cpc ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; google / organic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;59,80 €;google / cpc ; google / organic ; google / cpc ; google / cpc ; google / organic ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;182,70 €;google / cpc ; google / organic ; google / cpc ; (direct) / (none) ; (direct) / (none) ; google / cpc ; google / cpc ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;58,70 €;google / cpc ; google / organic ; google / cpc ; google / organic ; google / cpc ; google / cpc ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;169,11 €;google / cpc ; google / organic ; google / cpc ; google / organic ; google / cpc ; criteo / banner ; google / cpc ; criteo / banner ; google / organic ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;332,18 €;google / cpc ; google / organic ; google / cpc ; google / organic ; (direct) / (none) ; google / cpc ; google / organic ; google / cpc ; google / organic ; google / cpc ; google / organic ; google / cpc ; google / cpc ; google / cpc ; google / cpc ; google / organic ; (direct) / (none) ; google / cpc ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;186,00 €;google / cpc ; google / organic ; ask / organic ; google / cpc ; google / organic ; google / cpc ; google / cpc ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;167,10 €;google / cpc ; google / organic ; (direct) / (none) ; facebook.com / referral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;309,80 €;google / cpc ; google / organic ; (direct) / (none) ; facebook.com / referral ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;57,90 €;google / cpc ; google / organic ; (direct) / (none) ; google / cpc ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;68,80 €;google / cpc ; lolaterecomienda / home ; lolaterecomienda / home;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;42,80 €;google / cpc ; facebook.com / referral ; outlook.live.com / referral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;26,20 €;criteo / retargeting ; criteo / banner ; criteo / retargeting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;22,90 €;criteo / retargeting ; (direct) / (none) ; criteo / banner ; (direct) / (none) ; google / organic ; criteo / banner ; (direct) / (none) ; google / organic ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;87,10 €;bing / organic ; criteo / banner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;157,20 €;bing / organic ; (direct) / (none) ; criteo / banner ; bing / cpc ; bing / cpc ; bing / cpc ; (direct) / (none) ; bing / cpc ; criteo / banner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;495,60 €;bing / organic ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; criteo / banner ; (direct) / (none) ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;81,37 €;bing / organic ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; facebook.com / referral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;524,70 €;bing / organic ; google / organic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;181,59 €;Facebook / PaidSocial ; Facebook / (not set);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;14,90 €;Universal LDK / email ; google / cpc ; Universal LDK / email ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;307,10 €;Universal LDK / email ; google / cpc ; google / organic ; google / cpc ; (direct) / (none) ; Universal LDK / email ; google / cpc ; google / cpc ; google / cpc ; google / cpc ; (direct) / (none) ; google / cpc ; (direct) / (none) ; google / organic ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;32,50 €;Universal LDK / email ; Universal LDK / email ; Universal LDK / email ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;195,90 €;Universal LDK / email ; Universal LDK / email ; Universal LDK / email ; Universal LDK / email ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;169,40 €;Universal LDK / email ; Universal LDK / email ; Universal LDK / email ; Universal LDK / email ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;16,90 €;Universal LDK / email ; Universal LDK / email ; Universal LDK / email ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; criteo / banner ; (direct) / (none) ; Universal LDK / email ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;87,70 €;Universal LDK / email ; Universal LDK / email ; (direct) / (none) ; Universal LDK / email ; Universal LDK / email ; Universal LDK / email ; Universal LDK / email ; Universal LDK / email ; Universal LDK / email ; Universal LDK / email ; Universal LDK / email ; (direct) / (none) ; Universal LDK / email ; outlook.live.com / referral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;112,10 €;Universal LDK / email ; Universal LDK / email ; (direct) / (none) ; (direct) / (none) ; Universal LDK / email ; Universal LDK / email ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; google / organic ; google / cpc ; google / organic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;243,80 €;Universal LDK / email ; criteo / banner ; Universal LDK / email ; google / cpc ; google / cpc ; google / cpc ; Universal LDK / email ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;240,00 €;Universal LDK / email ; criteo / banner ; (direct) / (none) ; Universal LDK / email;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;74,90 €;Universal LDK / email ; (direct) / (none) ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;98,70 €;Universal LDK / email ; (direct) / (none) ; Universal LDK / email ; Universal LDK / email ; Universal LDK / email ; Universal LDK / email ; Universal LDK / email ; Universal LDK / email ; Universal LDK / email ; Universal LDK / email ; (direct) / (none) ; Universal LDK / email ; outlook.live.com / referral ; (direct) / (none) ; (direct) / (none) ; Universal LDK / email;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;127,60 €;Universal LDK / email ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; Universal LDK / email ; (direct) / (none) ; (direct) / (none) ; Universal LDK / email ; (direct) / (none) ; google / cpc ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; Universal LDK / email;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;31,90 €;Universal LDK / email ; (direct) / (none) ; google / organic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;16,90 €;Universal LDK / email ; google / organic ; Universal LDK / email ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;76,30 €;Universal LDK / email ; google / organic ; Universal LDK / email ; (direct) / (none) ; criteo / banner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;43,00 €;Universal LDK / email ; google / organic ; Universal LDK / email ; (direct) / (none) ; Universal LDK / email;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;48,80 €;Universal LDK / email ; google / organic ; Universal LDK / email ; Universal LDK / email ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;55,10 €;criteo / banner ; m.facebook.com / referral ; criteo / banner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;49,80 €;criteo / banner ; google / cpc ; google / cpc ; google / cpc ; Universal LDK / email ; criteo / banner ; google / cpc ; google / cpc ; google / organic ; criteo / banner ; (direct) / (none) ; (direct) / (none) ; outlook.live.com / referral ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;259,90 €;criteo / banner ; google / cpc ; google / cpc ; google / organic ; criteo / banner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;58,30 €;criteo / banner ; google / cpc ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;29,80 €;criteo / banner ; Universal LDK / email ; Universal LDK / email ; Universal LDK / email ; Universal LDK / email ; google / organic ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; mail.yahoo.com / referral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;23,90 €;criteo / banner ; Universal LDK / email ; Universal LDK / email ; (direct) / (none) ; (direct) / (none) ; google / organic ; Universal LDK / email ; criteo / banner ; (direct) / (none) ; (direct) / (none) ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;39,10 €;criteo / banner ; (direct) / (none) ; (direct) / (none) ; outlook.live.com / referral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;62,00 €;criteo / banner ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;290,00 €;criteo / banner ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;33,80 €;criteo / banner ; (direct) / (none) ; google / organic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;132,70 €;criteo / banner ; (direct) / (none) ; google / organic ; google / cpc ; google / organic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;94,50 €;criteo / banner ; google / organic ; (direct) / (none) ; accounts.google.es / referral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;31,80 €;criteo / banner ; google / organic ; (direct) / (none) ; (direct) / (none) ; google / cpc ; google / cpc ; google / cpc ; google / cpc ; google / organic ; google / cpc ; google / cpc ; google / cpc ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;77,15 €;(direct) / (none) ; bing / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;753,90 €;(direct) / (none) ; m.facebook.com / referral ; Facebook / PaidSocial ; criteo / banner ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;53,50 €;(direct) / (none) ; outlook.live.com / referral ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; Universal LDK / email ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; outlook.live.com / referral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;38,80 €;(direct) / (none) ; google / cpc ; google / cpc ; google / cpc ; google / organic ; google / cpc ; google / cpc ; google / cpc ; google / cpc ; google / cpc ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;27,80 €;(direct) / (none) ; google / cpc ; google / cpc ; (direct) / (none) ; google / cpc ; Universal LDK / email ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;27,90 €;(direct) / (none) ; google / cpc ; Universal LDK / email;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;33,70 €;(direct) / (none) ; google / cpc ; criteo / banner ; google / cpc ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;205,60 €;(direct) / (none) ; google / cpc ; (direct) / (none) ; (direct) / (none) ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;49,90 €;(direct) / (none) ; google / cpc ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;39,90 €;(direct) / (none) ; google / cpc ; google / organic ; google / cpc ; google / cpc ; google / organic ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; google / cpc ; google / cpc ; google / cpc ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;163,15 €;(direct) / (none) ; Universal LDK / email ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;35,90 €;(direct) / (none) ; Universal LDK / email ; google / cpc ; google / cpc ; google / cpc ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;30,40 €;(direct) / (none) ; Universal LDK / email ; Universal LDK / email ; (direct) / (none) ; (direct) / (none) ; Universal LDK / email ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;183,00 €;(direct) / (none) ; Universal LDK / email ; Universal LDK / email ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; google / cpc ; (direct) / (none) ; l.instagram.com / referral ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;123,30 €;(direct) / (none) ; Universal LDK / email ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; google / organic ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; Universal LDK / email ; (direct) / (none) ; (direct) / (none) ; Universal LDK / email ; (direct) / (none) ; Universal LDK / email ; (direct) / (none) ; Universal LDK / email ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; Universal LDK / email ; Universal LDK / email;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;246,40 €;(direct) / (none) ; Universal LDK / email ; (direct) / (none) ; (direct) / (none) ; google / organic ; google / cpc ; (direct) / (none) ; Universal LDK / email ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; criteo / banner ; google / cpc ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;24,90 €;(direct) / (none) ; Universal LDK / email ; (direct) / (none) ; lolaterecomienda / home ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;187,00 €;(direct) / (none) ; criteo / banner ; google / cpc ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;116,91 €;(direct) / (none) ; (direct) / (none) ; google / cpc ; google / cpc ; criteo / banner ; (direct) / (none) ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;37,90 €;(direct) / (none) ; (direct) / (none) ; google / cpc ; google / cpc ; (direct) / (none) ; google / cpc ; google / cpc ; google / cpc ; google / cpc ; google / cpc ; google / organic ; google / cpc ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;296,00 €;(direct) / (none) ; (direct) / (none) ; google / cpc ; google / cpc ; google / organic ; (direct) / (none) ; (direct) / (none) ; google / cpc ; (direct) / (none) ; google / cpc ; (direct) / (none) ; (direct) / (none) ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;48,90 €;(direct) / (none) ; (direct) / (none) ; google / cpc ; google / organic ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;78,03 €;(direct) / (none) ; (direct) / (none) ; Universal LDK / email ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;39,90 €;(direct) / (none) ; (direct) / (none) ; (direct) / (none) ; google / cpc ; google / cpc ; google / cpc ; google / cpc ; google / organic ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;577,80 €;(direct) / (none) ; (direct) / (none) ; (direct) / (none) ; google / cpc ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;208,00 €;(direct) / (none) ; (direct) / (none) ; (direct) / (none) ; google / cpc ; google / organic ; google / cpc ; google / organic ; (direct) / (none) ; (direct) / (none) ; google / cpc ; google / cpc ; google / organic ; google / cpc ; google / organic ; outlook.live.com / referral ; google / cpc ; google / organic ; (direct) / (none) ; google / cpc ; google / cpc ; google / organic ; google / cpc ; google / organic ; google / cpc ; google / cpc ; google / cpc ; google / cpc ; google / cpc ; google / organic ; outlook.live.com / referral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;18,70 €;(direct) / (none) ; (direct) / (none) ; (direct) / (none) ; criteo / banner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;27,90 €;(direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; outlook.live.com / referral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;107,84 €;(direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; google / cpc ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;45,60 €;(direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; m.facebook.com / referral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;143,00 €;(direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; google / cpc ; (direct) / (none) ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;249,80 €;(direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; criteo / banner ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; google / cpc ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; criteo / banner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;96,82 €;(direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; (direct) / (none) ; accounts.google.es / referral ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;92,70 €;(direct) / (none) ; (direct) / (none) ; (direct) / (none) ; google / organic ; google / cpc ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
