Fuente/medio;Conversiones;Valor de las conversiones
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);18;1.008,96 €
l.instagram.com / referral;17;0,00 €
google / cpc > outlook.live.com / referral;17;261,30 €
google / cpc > google / cpc > (direct) / (none) > (direct) / (none) > google / cpc;17;316,10 €
criteo / retargeting > criteo / banner;17;196,30 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);17;601,03 €
google / organic > (direct) / (none) > google / cpc > (direct) / (none);17;794,40 €
google / cpc > google / cpc > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none);16;195,80 €
google / cpc > criteo / banner > google / cpc > google / cpc;16;450,56 €
google / cpc > google / organic > criteo / banner;16;559,20 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);16;405,57 €
bing / cpc > (direct) / (none);15;0,00 €
google / cpc > google / cpc > google / cpc > google / organic > google / cpc;15;532,88 €
google / cpc > google / cpc > criteo / banner > (direct) / (none);15;397,80 €
google / cpc > (direct) / (none) > google / cpc > google / cpc > google / cpc;15;413,80 €
google / cpc > facebook.com / referral;15;36,60 €
Facebook / PaidSocial > criteo / banner;15;0,00 €
(direct) / (none) > Universal LDK / email > (direct) / (none);15;250,35 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > google / cpc;15;400,71 €
es.search.yahoo.com / referral;15;82,30 €
google / cpc > google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);14;615,80 €
google / cpc > google / cpc > google / organic > (direct) / (none);14;627,10 €
google / cpc > criteo / banner > (direct) / (none) > (direct) / (none) > (direct) / (none);14;146,26 €
google / cpc > lolaterecomienda / home;14;0,00 €
Facebook / PaidSocial > (direct) / (none);14;0,00 €
(direct) / (none) > google / cpc > google / cpc > google / cpc;14;240,80 €
(direct) / (none) > google / organic > (direct) / (none);14;253,90 €
google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);14;292,70 €
google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);13;331,90 €
google / cpc > google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none);13;929,60 €
