,Reference,Dates,Page_Views
128,103076,2018-09-03,0.0
129,103076,2018-09-04,0.0
130,103076,2018-09-05,0.0
131,103076,2018-09-06,0.0
132,103076,2018-09-07,0.0
133,103076,2018-09-08,0.0
134,103076,2018-09-09,0.0
135,103076,2018-09-10,0.0
136,103076,2018-09-11,0.0
0,103076,2018-09-12,9.0
1,103076,2018-09-13,28.0
2,103076,2018-09-14,19.0
137,103076,2018-09-15,0.0
138,103076,2018-09-16,0.0
139,103076,2018-09-17,0.0
3,103076,2018-09-18,37.0
4,103076,2018-09-19,9.0
5,103076,2018-09-20,9.0
6,103076,2018-09-21,9.0
7,103076,2018-09-22,19.0
140,103076,2018-09-23,0.0
141,103076,2018-09-24,0.0
8,103076,2018-09-25,9.0
9,103076,2018-09-26,9.0
142,103076,2018-09-27,0.0
143,103076,2018-09-28,0.0
144,103076,2018-09-29,0.0
145,103076,2018-09-30,0.0
10,103076,2018-10-01,9.0
146,103076,2018-10-02,0.0
147,103076,2018-10-03,0.0
148,103076,2018-10-04,0.0
11,103076,2018-10-05,9.0
12,103076,2018-10-06,19.0
13,103076,2018-10-07,19.0
149,103076,2018-10-08,0.0
150,103076,2018-10-09,0.0
151,103076,2018-10-10,0.0
152,103076,2018-10-11,0.0
153,103076,2018-10-12,0.0
14,103076,2018-10-13,28.0
15,103076,2018-10-14,47.0
16,103076,2018-10-15,19.0
154,103076,2018-10-16,0.0
17,103076,2018-10-17,19.0
18,103076,2018-10-18,19.0
19,103076,2018-10-19,9.0
20,103076,2018-10-20,37.0
21,103076,2018-10-21,19.0
155,103076,2018-10-22,0.0
156,103076,2018-10-23,0.0
157,103076,2018-10-24,0.0
158,103076,2018-10-25,0.0
159,103076,2018-10-26,0.0
160,103076,2018-10-27,0.0
22,103076,2018-10-28,9.0
23,103076,2018-10-29,19.0
161,103076,2018-10-30,0.0
24,103076,2018-10-31,9.0
162,103076,2018-11-01,0.0
163,103076,2018-11-02,0.0
25,103076,2018-11-03,19.0
26,103076,2018-11-04,19.0
27,103076,2018-11-05,37.0
28,103076,2018-11-06,28.0
164,103076,2018-11-07,0.0
165,103076,2018-11-08,0.0
29,103076,2018-11-09,9.0
30,103076,2018-11-10,28.0
31,103076,2018-11-11,28.0
166,103076,2018-11-12,0.0
32,103076,2018-11-13,28.0
33,103076,2018-11-14,19.0
34,103076,2018-11-15,9.0
167,103076,2018-11-16,0.0
35,103076,2018-11-17,9.0
36,103076,2018-11-18,28.0
37,103076,2018-11-19,28.0
38,103076,2018-11-20,9.0
168,103076,2018-11-21,0.0
169,103076,2018-11-22,0.0
170,103076,2018-11-23,0.0
39,103076,2018-11-24,19.0
40,103076,2018-11-25,19.0
41,103076,2018-11-26,37.0
171,103076,2018-11-27,0.0
172,103076,2018-11-28,0.0
42,103076,2018-11-29,9.0
