,Reference,Dates,Page_Views
0,61397,2018-09-03,47.0
122,61397,2018-09-04,0.0
1,61397,2018-09-05,47.0
2,61397,2018-09-06,56.0
3,61397,2018-09-07,19.0
4,61397,2018-09-08,9.0
5,61397,2018-09-09,28.0
6,61397,2018-09-10,19.0
7,61397,2018-09-11,28.0
8,61397,2018-09-12,19.0
9,61397,2018-09-13,9.0
10,61397,2018-09-14,28.0
11,61397,2018-09-15,19.0
12,61397,2018-09-16,28.0
13,61397,2018-09-17,37.0
14,61397,2018-09-18,28.0
15,61397,2018-09-19,66.0
16,61397,2018-09-20,56.0
17,61397,2018-09-21,28.0
18,61397,2018-09-22,75.0
19,61397,2018-09-23,28.0
20,61397,2018-09-24,47.0
21,61397,2018-09-25,94.0
22,61397,2018-09-26,47.0
23,61397,2018-09-27,37.0
24,61397,2018-09-28,47.0
25,61397,2018-09-29,112.0
26,61397,2018-09-30,122.0
27,61397,2018-10-01,56.0
28,61397,2018-10-02,19.0
29,61397,2018-10-03,47.0
30,61397,2018-10-04,47.0
123,61397,2018-10-05,0.0
31,61397,2018-10-06,37.0
32,61397,2018-10-07,28.0
33,61397,2018-10-08,19.0
34,61397,2018-10-09,47.0
35,61397,2018-10-10,47.0
36,61397,2018-10-11,9.0
37,61397,2018-10-12,9.0
38,61397,2018-10-13,9.0
39,61397,2018-10-14,9.0
40,61397,2018-10-15,37.0
124,61397,2018-10-16,0.0
41,61397,2018-10-17,9.0
42,61397,2018-10-18,9.0
43,61397,2018-10-19,9.0
44,61397,2018-10-20,19.0
125,61397,2018-10-21,0.0
126,61397,2018-10-22,0.0
45,61397,2018-10-23,9.0
46,61397,2018-10-24,9.0
127,61397,2018-10-25,0.0
47,61397,2018-10-26,9.0
128,61397,2018-10-27,0.0
48,61397,2018-10-28,28.0
49,61397,2018-10-29,19.0
129,61397,2018-10-30,0.0
130,61397,2018-10-31,0.0
131,61397,2018-11-01,0.0
50,61397,2018-11-02,9.0
51,61397,2018-11-03,19.0
52,61397,2018-11-04,19.0
132,61397,2018-11-05,0.0
53,61397,2018-11-06,9.0
133,61397,2018-11-07,0.0
134,61397,2018-11-08,0.0
135,61397,2018-11-09,0.0
54,61397,2018-11-10,9.0
55,61397,2018-11-11,19.0
136,61397,2018-11-12,0.0
56,61397,2018-11-13,9.0
57,61397,2018-11-14,19.0
137,61397,2018-11-15,0.0
58,61397,2018-11-16,9.0
59,61397,2018-11-17,9.0
60,61397,2018-11-18,9.0
61,61397,2018-11-19,19.0
62,61397,2018-11-20,19.0
63,61397,2018-11-21,9.0
64,61397,2018-11-22,47.0
65,61397,2018-11-23,37.0
138,61397,2018-11-24,0.0
139,61397,2018-11-25,0.0
66,61397,2018-11-26,19.0
140,61397,2018-11-27,0.0
141,61397,2018-11-28,0.0
142,61397,2018-11-29,0.0
143,61397,2018-11-30,0.0
144,61397,2018-12-01,0.0
67,61397,2018-12-02,9.0
68,61397,2018-12-03,9.0
145,61397,2018-12-04,0.0
69,61397,2018-12-05,9.0
70,61397,2018-12-06,19.0
146,61397,2018-12-07,0.0
147,61397,2018-12-08,0.0
71,61397,2018-12-09,9.0
148,61397,2018-12-10,0.0
72,61397,2018-12-11,9.0
73,61397,2018-12-12,9.0
149,61397,2018-12-13,0.0
74,61397,2018-12-14,9.0
150,61397,2018-12-15,0.0
151,61397,2018-12-16,0.0
75,61397,2018-12-17,9.0
76,61397,2018-12-18,9.0
152,61397,2018-12-19,0.0
153,61397,2018-12-20,0.0
77,61397,2018-12-21,9.0
78,61397,2018-12-22,9.0
154,61397,2018-12-23,0.0
155,61397,2018-12-24,0.0
156,61397,2018-12-25,0.0
157,61397,2018-12-26,0.0
158,61397,2018-12-27,0.0
79,61397,2018-12-28,9.0
159,61397,2018-12-29,0.0
160,61397,2018-12-30,0.0
161,61397,2018-12-31,0.0
162,61397,2019-01-01,0.0
163,61397,2019-01-02,0.0
164,61397,2019-01-03,0.0
165,61397,2019-01-04,0.0
166,61397,2019-01-05,0.0
167,61397,2019-01-06,0.0
168,61397,2019-01-07,0.0
80,61397,2019-01-08,9.0
81,61397,2019-01-09,9.0
169,61397,2019-01-10,0.0
170,61397,2019-01-11,0.0
82,61397,2019-01-12,19.0
171,61397,2019-01-13,0.0
172,61397,2019-01-14,0.0
83,61397,2019-01-15,9.0
84,61397,2019-01-16,9.0
173,61397,2019-01-17,0.0
174,61397,2019-01-18,0.0
175,61397,2019-01-19,0.0
85,61397,2019-01-20,9.0
176,61397,2019-01-21,0.0
86,61397,2019-01-22,9.0
177,61397,2019-01-23,0.0
178,61397,2019-01-24,0.0
179,61397,2019-01-25,0.0
180,61397,2019-01-26,0.0
181,61397,2019-01-27,0.0
182,61397,2019-01-28,0.0
183,61397,2019-01-29,0.0
87,61397,2019-01-30,9.0
184,61397,2019-01-31,0.0
88,61397,2019-02-01,9.0
89,61397,2019-02-02,9.0
185,61397,2019-02-03,0.0
186,61397,2019-02-04,0.0
90,61397,2019-02-05,9.0
91,61397,2019-02-06,28.0
92,61397,2019-02-07,9.0
93,61397,2019-02-08,9.0
187,61397,2019-02-09,0.0
94,61397,2019-02-10,19.0
95,61397,2019-02-11,9.0
96,61397,2019-02-12,9.0
97,61397,2019-02-13,37.0
98,61397,2019-02-14,9.0
188,61397,2019-02-15,0.0
189,61397,2019-02-16,0.0
99,61397,2019-02-17,9.0
190,61397,2019-02-18,0.0
100,61397,2019-02-19,19.0
101,61397,2019-02-20,19.0
102,61397,2019-02-21,9.0
191,61397,2019-02-22,0.0
103,61397,2019-02-23,19.0
192,61397,2019-02-24,0.0
104,61397,2019-02-25,9.0
193,61397,2019-02-26,0.0
105,61397,2019-02-27,19.0
194,61397,2019-02-28,0.0
106,61397,2019-03-01,9.0
107,61397,2019-03-02,9.0
195,61397,2019-03-03,0.0
196,61397,2019-03-04,0.0
197,61397,2019-03-05,0.0
198,61397,2019-03-06,0.0
108,61397,2019-03-07,9.0
109,61397,2019-03-08,9.0
199,61397,2019-03-09,0.0
110,61397,2019-03-10,9.0
111,61397,2019-03-11,19.0
200,61397,2019-03-12,0.0
201,61397,2019-03-13,0.0
202,61397,2019-03-14,0.0
203,61397,2019-03-15,0.0
112,61397,2019-03-16,9.0
113,61397,2019-03-17,19.0
114,61397,2019-03-18,9.0
204,61397,2019-03-19,0.0
115,61397,2019-03-20,9.0
205,61397,2019-03-21,0.0
206,61397,2019-03-22,0.0
207,61397,2019-03-23,0.0
208,61397,2019-03-24,0.0
209,61397,2019-03-25,0.0
116,61397,2019-03-26,28.0
117,61397,2019-03-27,19.0
118,61397,2019-03-28,9.0
119,61397,2019-03-29,9.0
120,61397,2019-03-30,9.0
