,Reference,Dates,Page_Views
0,93308,2018-09-03,19.0
1,93308,2018-09-04,9.0
97,93308,2018-09-05,0.0
2,93308,2018-09-06,19.0
98,93308,2018-09-07,0.0
99,93308,2018-09-08,0.0
3,93308,2018-09-09,9.0
100,93308,2018-09-10,0.0
4,93308,2018-09-11,37.0
101,93308,2018-09-12,0.0
5,93308,2018-09-13,19.0
6,93308,2018-09-14,47.0
7,93308,2018-09-15,37.0
8,93308,2018-09-16,28.0
102,93308,2018-09-17,0.0
9,93308,2018-09-18,19.0
10,93308,2018-09-19,9.0
11,93308,2018-09-20,9.0
103,93308,2018-09-21,0.0
12,93308,2018-09-22,9.0
13,93308,2018-09-23,19.0
14,93308,2018-09-24,37.0
15,93308,2018-09-25,9.0
16,93308,2018-09-26,19.0
17,93308,2018-09-27,19.0
18,93308,2018-09-28,9.0
19,93308,2018-09-29,28.0
20,93308,2018-09-30,47.0
21,93308,2018-10-01,19.0
22,93308,2018-10-02,19.0
104,93308,2018-10-03,0.0
23,93308,2018-10-04,37.0
24,93308,2018-10-05,9.0
25,93308,2018-10-06,9.0
105,93308,2018-10-07,0.0
26,93308,2018-10-08,37.0
27,93308,2018-10-09,28.0
28,93308,2018-10-10,28.0
29,93308,2018-10-11,28.0
30,93308,2018-10-12,9.0
106,93308,2018-10-13,0.0
31,93308,2018-10-14,28.0
32,93308,2018-10-15,19.0
107,93308,2018-10-16,0.0
108,93308,2018-10-17,0.0
109,93308,2018-10-18,0.0
33,93308,2018-10-19,19.0
34,93308,2018-10-20,37.0
35,93308,2018-10-21,19.0
110,93308,2018-10-22,0.0
111,93308,2018-10-23,0.0
112,93308,2018-10-24,0.0
113,93308,2018-10-25,0.0
114,93308,2018-10-26,0.0
115,93308,2018-10-27,0.0
116,93308,2018-10-28,0.0
117,93308,2018-10-29,0.0
118,93308,2018-10-30,0.0
36,93308,2018-10-31,9.0
119,93308,2018-11-01,0.0
37,93308,2018-11-02,9.0
38,93308,2018-11-03,9.0
39,93308,2018-11-04,9.0
120,93308,2018-11-05,0.0
40,93308,2018-11-06,9.0
121,93308,2018-11-07,0.0
122,93308,2018-11-08,0.0
41,93308,2018-11-09,9.0
123,93308,2018-11-10,0.0
42,93308,2018-11-11,9.0
124,93308,2018-11-12,0.0
125,93308,2018-11-13,0.0
126,93308,2018-11-14,0.0
127,93308,2018-11-15,0.0
128,93308,2018-11-16,0.0
129,93308,2018-11-17,0.0
130,93308,2018-11-18,0.0
43,93308,2018-11-19,9.0
131,93308,2018-11-20,0.0
44,93308,2018-11-21,9.0
45,93308,2018-11-22,28.0
46,93308,2018-11-23,47.0
47,93308,2018-11-24,9.0
48,93308,2018-11-25,19.0
132,93308,2018-11-26,0.0
133,93308,2018-11-27,0.0
134,93308,2018-11-28,0.0
135,93308,2018-11-29,0.0
136,93308,2018-11-30,0.0
137,93308,2018-12-01,0.0
138,93308,2018-12-02,0.0
49,93308,2018-12-03,9.0
139,93308,2018-12-04,0.0
140,93308,2018-12-05,0.0
141,93308,2018-12-06,0.0
142,93308,2018-12-07,0.0
143,93308,2018-12-08,0.0
144,93308,2018-12-09,0.0
50,93308,2018-12-10,66.0
145,93308,2018-12-11,0.0
146,93308,2018-12-12,0.0
51,93308,2018-12-13,9.0
52,93308,2018-12-14,19.0
147,93308,2018-12-15,0.0
148,93308,2018-12-16,0.0
149,93308,2018-12-17,0.0
150,93308,2018-12-18,0.0
53,93308,2018-12-19,9.0
151,93308,2018-12-20,0.0
152,93308,2018-12-21,0.0
54,93308,2018-12-22,19.0
153,93308,2018-12-23,0.0
154,93308,2018-12-24,0.0
155,93308,2018-12-25,0.0
156,93308,2018-12-26,0.0
157,93308,2018-12-27,0.0
158,93308,2018-12-28,0.0
55,93308,2018-12-29,19.0
56,93308,2018-12-30,9.0
57,93308,2018-12-31,9.0
58,93308,2019-01-01,9.0
159,93308,2019-01-02,0.0
160,93308,2019-01-03,0.0
161,93308,2019-01-04,0.0
162,93308,2019-01-05,0.0
163,93308,2019-01-06,0.0
164,93308,2019-01-07,0.0
59,93308,2019-01-08,9.0
165,93308,2019-01-09,0.0
60,93308,2019-01-10,28.0
166,93308,2019-01-11,0.0
167,93308,2019-01-12,0.0
168,93308,2019-01-13,0.0
169,93308,2019-01-14,0.0
61,93308,2019-01-15,19.0
62,93308,2019-01-16,9.0
63,93308,2019-01-17,9.0
64,93308,2019-01-18,9.0
65,93308,2019-01-19,9.0
66,93308,2019-01-20,28.0
67,93308,2019-01-21,28.0
170,93308,2019-01-22,0.0
171,93308,2019-01-23,0.0
68,93308,2019-01-24,9.0
172,93308,2019-01-25,0.0
69,93308,2019-01-26,9.0
70,93308,2019-01-27,9.0
71,93308,2019-01-28,19.0
173,93308,2019-01-29,0.0
174,93308,2019-01-30,0.0
72,93308,2019-01-31,9.0
175,93308,2019-02-01,0.0
73,93308,2019-02-02,19.0
74,93308,2019-02-03,19.0
176,93308,2019-02-04,0.0
75,93308,2019-02-05,9.0
177,93308,2019-02-06,0.0
76,93308,2019-02-07,28.0
77,93308,2019-02-08,9.0
178,93308,2019-02-09,0.0
179,93308,2019-02-10,0.0
180,93308,2019-02-11,0.0
78,93308,2019-02-12,19.0
181,93308,2019-02-13,0.0
182,93308,2019-02-14,0.0
183,93308,2019-02-15,0.0
184,93308,2019-02-16,0.0
185,93308,2019-02-17,0.0
79,93308,2019-02-18,9.0
80,93308,2019-02-19,28.0
186,93308,2019-02-20,0.0
187,93308,2019-02-21,0.0
188,93308,2019-02-22,0.0
81,93308,2019-02-23,9.0
82,93308,2019-02-24,37.0
189,93308,2019-02-25,0.0
83,93308,2019-02-26,28.0
190,93308,2019-02-27,0.0
191,93308,2019-02-28,0.0
192,93308,2019-03-01,0.0
84,93308,2019-03-02,19.0
85,93308,2019-03-03,9.0
193,93308,2019-03-04,0.0
86,93308,2019-03-05,37.0
194,93308,2019-03-06,0.0
195,93308,2019-03-07,0.0
196,93308,2019-03-08,0.0
197,93308,2019-03-09,0.0
198,93308,2019-03-10,0.0
87,93308,2019-03-11,19.0
88,93308,2019-03-12,28.0
199,93308,2019-03-13,0.0
89,93308,2019-03-14,9.0
200,93308,2019-03-15,0.0
201,93308,2019-03-16,0.0
202,93308,2019-03-17,0.0
90,93308,2019-03-18,9.0
91,93308,2019-03-19,9.0
92,93308,2019-03-20,28.0
203,93308,2019-03-21,0.0
204,93308,2019-03-22,0.0
93,93308,2019-03-23,19.0
94,93308,2019-03-24,19.0
205,93308,2019-03-25,0.0
95,93308,2019-03-26,37.0
206,93308,2019-03-27,0.0
207,93308,2019-03-28,0.0
208,93308,2019-03-29,0.0
96,93308,2019-03-30,9.0
209,93308,2019-03-31,0.0
