,Reference,Dates,Page_Views
0,51136,2018-09-03,28.0
1,51136,2018-09-04,9.0
2,51136,2018-09-05,9.0
151,51136,2018-09-06,0.0
3,51136,2018-09-07,9.0
152,51136,2018-09-08,0.0
4,51136,2018-09-09,9.0
153,51136,2018-09-10,0.0
154,51136,2018-09-11,0.0
5,51136,2018-09-12,19.0
155,51136,2018-09-13,0.0
156,51136,2018-09-14,0.0
6,51136,2018-09-15,19.0
157,51136,2018-09-16,0.0
7,51136,2018-09-17,9.0
8,51136,2018-09-18,19.0
9,51136,2018-09-19,28.0
10,51136,2018-09-20,28.0
158,51136,2018-09-21,0.0
11,51136,2018-09-22,9.0
12,51136,2018-09-23,19.0
13,51136,2018-09-24,56.0
159,51136,2018-09-25,0.0
160,51136,2018-09-26,0.0
161,51136,2018-09-27,0.0
162,51136,2018-09-28,0.0
14,51136,2018-09-29,9.0
15,51136,2018-09-30,28.0
16,51136,2018-10-01,19.0
163,51136,2018-10-02,0.0
164,51136,2018-10-03,0.0
17,51136,2018-10-04,19.0
165,51136,2018-10-05,0.0
166,51136,2018-10-06,0.0
18,51136,2018-10-07,9.0
167,51136,2018-10-08,0.0
19,51136,2018-10-09,9.0
20,51136,2018-10-10,9.0
21,51136,2018-10-11,19.0
22,51136,2018-10-12,28.0
23,51136,2018-10-13,9.0
24,51136,2018-10-14,66.0
25,51136,2018-10-15,19.0
26,51136,2018-10-16,37.0
27,51136,2018-10-17,19.0
28,51136,2018-10-18,28.0
29,51136,2018-10-19,9.0
168,51136,2018-10-20,0.0
30,51136,2018-10-21,28.0
31,51136,2018-10-22,19.0
169,51136,2018-10-23,0.0
170,51136,2018-10-24,0.0
171,51136,2018-10-25,0.0
172,51136,2018-10-26,0.0
32,51136,2018-10-27,19.0
33,51136,2018-10-28,9.0
34,51136,2018-10-29,19.0
35,51136,2018-10-30,28.0
36,51136,2018-10-31,37.0
37,51136,2018-11-01,9.0
38,51136,2018-11-02,9.0
39,51136,2018-11-03,28.0
40,51136,2018-11-04,37.0
41,51136,2018-11-05,37.0
42,51136,2018-11-06,9.0
173,51136,2018-11-07,0.0
174,51136,2018-11-08,0.0
43,51136,2018-11-09,37.0
44,51136,2018-11-10,9.0
45,51136,2018-11-11,19.0
46,51136,2018-11-12,19.0
47,51136,2018-11-13,19.0
48,51136,2018-11-14,37.0
49,51136,2018-11-15,19.0
