,Reference,Name,Dates,Net_Incomes,Units_sold
92,122334.0,MESITA DE NOCHE 2 CAJONES,2018-11-17,0.0,0.0
93,122334.0,MESITA DE NOCHE 2 CAJONES,2018-11-18,0.0,0.0
94,122334.0,MESITA DE NOCHE 2 CAJONES,2018-11-19,0.0,0.0
8,122334.0,MESITA DE NOCHE 2 CAJONES,2018-11-20,99.5,2.0
95,122334.0,MESITA DE NOCHE 2 CAJONES,2018-11-21,0.0,0.0
9,122334.0,MESITA DE NOCHE 2 CAJONES,2018-11-22,99.5,2.0
10,122334.0,MESITA DE NOCHE 2 CAJONES,2018-11-23,49.75,1.0
96,122334.0,MESITA DE NOCHE 2 CAJONES,2018-11-24,0.0,0.0
97,122334.0,MESITA DE NOCHE 2 CAJONES,2018-11-25,0.0,0.0
98,122334.0,MESITA DE NOCHE 2 CAJONES,2018-11-26,0.0,0.0
99,122334.0,MESITA DE NOCHE 2 CAJONES,2018-11-27,0.0,0.0
100,122334.0,MESITA DE NOCHE 2 CAJONES,2018-11-28,0.0,0.0
101,122334.0,MESITA DE NOCHE 2 CAJONES,2018-11-29,0.0,0.0
102,122334.0,MESITA DE NOCHE 2 CAJONES,2018-11-30,0.0,0.0
103,122334.0,MESITA DE NOCHE 2 CAJONES,2018-12-01,0.0,0.0
104,122334.0,MESITA DE NOCHE 2 CAJONES,2018-12-02,0.0,0.0
105,122334.0,MESITA DE NOCHE 2 CAJONES,2018-12-03,0.0,0.0
106,122334.0,MESITA DE NOCHE 2 CAJONES,2018-12-04,0.0,0.0
107,122334.0,MESITA DE NOCHE 2 CAJONES,2018-12-05,0.0,0.0
108,122334.0,MESITA DE NOCHE 2 CAJONES,2018-12-06,0.0,0.0
109,122334.0,MESITA DE NOCHE 2 CAJONES,2018-12-07,0.0,0.0
110,122334.0,MESITA DE NOCHE 2 CAJONES,2018-12-08,0.0,0.0
111,122334.0,MESITA DE NOCHE 2 CAJONES,2018-12-09,0.0,0.0
112,122334.0,MESITA DE NOCHE 2 CAJONES,2018-12-10,0.0,0.0
