,Reference,Name,Date,Net_Incomes,Units_sold
24351,103076,CONSOLA MARRÓN-BLANCO,2018-01-14,171.9,1
24352,103076,CONSOLA MARRÓN-BLANCO,2018-01-15,171.9,1
24353,103076,CONSOLA MARRÓN-BLANCO,2018-01-18,343.8,2
24354,103076,CONSOLA MARRÓN-BLANCO,2018-01-20,171.9,1
24355,103076,CONSOLA MARRÓN-BLANCO,2018-01-21,343.8,2
24356,103076,CONSOLA MARRÓN-BLANCO,2018-01-22,171.9,1
24357,103076,CONSOLA MARRÓN-BLANCO,2018-01-23,171.9,1
24358,103076,CONSOLA MARRÓN-BLANCO,2018-01-24,171.9,1
24359,103076,CONSOLA MARRÓN-BLANCO,2018-01-27,343.8,2
24360,103076,CONSOLA MARRÓN-BLANCO,2018-01-28,171.9,1
24361,103076,CONSOLA MARRÓN-BLANCO,2018-01-31,171.9,1
24362,103076,CONSOLA MARRÓN-BLANCO,2018-02-04,343.8,2
24363,103076,CONSOLA MARRÓN-BLANCO,2018-02-05,161.16,1
24364,103076,CONSOLA MARRÓN-BLANCO,2018-02-06,322.32,2
24365,103076,CONSOLA MARRÓN-BLANCO,2018-02-12,161.16,1
24366,103076,CONSOLA MARRÓN-BLANCO,2018-02-13,161.16,1
24367,103076,CONSOLA MARRÓN-BLANCO,2018-02-14,161.16,1
24368,103076,CONSOLA MARRÓN-BLANCO,2018-02-15,161.16,1
24369,103076,CONSOLA MARRÓN-BLANCO,2018-02-16,161.16,1
24370,103076,CONSOLA MARRÓN-BLANCO,2018-02-18,644.64,4
24371,103076,CONSOLA MARRÓN-BLANCO,2018-02-23,214.88,1
24372,103076,CONSOLA MARRÓN-BLANCO,2018-03-10,214.88,1
24373,103076,CONSOLA MARRÓN-BLANCO,2018-03-14,214.88,1
24374,103076,CONSOLA MARRÓN-BLANCO,2018-03-26,214.88,1
24375,103076,CONSOLA MARRÓN-BLANCO,2018-03-27,214.88,1
24376,103076,CONSOLA MARRÓN-BLANCO,2018-04-10,214.88,1
24377,103076,CONSOLA MARRÓN-BLANCO,2018-04-16,214.88,1
24378,103076,CONSOLA MARRÓN-BLANCO,2018-04-22,214.88,1
24379,103076,CONSOLA MARRÓN-BLANCO,2018-04-27,214.87,1
24380,103076,CONSOLA MARRÓN-BLANCO,2018-04-28,214.88,1
24381,103076,CONSOLA MARRÓN-BLANCO,2018-04-30,214.88,1
24382,103076,CONSOLA MARRÓN-BLANCO,2018-05-06,214.88,1
24383,103076,CONSOLA MARRÓN-BLANCO,2018-05-09,214.87,1
24384,103076,CONSOLA MARRÓN-BLANCO,2018-05-10,214.88,1
24385,103076,CONSOLA MARRÓN-BLANCO,2018-05-13,214.88,1
24386,103076,CONSOLA MARRÓN-BLANCO,2018-09-22,193.39,1
24387,103076,CONSOLA MARRÓN-BLANCO,2018-09-29,193.39,1
24388,103076,CONSOLA MARRÓN-BLANCO,2018-10-14,214.88,1
24389,103076,CONSOLA MARRÓN-BLANCO,2018-10-17,214.88,1
24390,103076,CONSOLA MARRÓN-BLANCO,2018-10-26,214.88,1
24391,103076,CONSOLA MARRÓN-BLANCO,2018-10-28,214.88,1
24392,103076,CONSOLA MARRÓN-BLANCO,2018-11-13,214.87,1
24393,103076,CONSOLA MARRÓN-BLANCO,2018-11-15,193.39,1
24394,103076,CONSOLA MARRÓN-BLANCO,2018-11-17,214.88,1
24395,103076,CONSOLA MARRÓN-BLANCO,2018-11-23,193.39,1
24396,103076,CONSOLA MARRÓN-BLANCO,2018-12-12,214.87,1
24397,103076,CONSOLA MARRÓN-BLANCO,2018-12-23,214.88,1
24398,103076,CONSOLA MARRÓN-BLANCO,2019-01-08,193.39,1
24399,103076,CONSOLA MARRÓN-BLANCO,2019-01-19,193.39,1
24400,103076,CONSOLA MARRÓN-BLANCO,2019-02-06,193.39,1
24401,103076,CONSOLA MARRÓN-BLANCO,2019-02-11,173.51,1
24402,103076,CONSOLA MARRÓN-BLANCO,2019-02-14,182.64,1
24403,103076,CONSOLA MARRÓN-BLANCO,2019-02-17,182.64,1
24404,103076,CONSOLA MARRÓN-BLANCO,2019-02-23,182.65,1
24405,103076,CONSOLA MARRÓN-BLANCO,2019-03-17,212.73,1
24406,103076,CONSOLA MARRÓN-BLANCO,2019-03-31,236.37,1
