,Reference,Name,Date,Net_Incomes,Units_sold
21074,101318,SILLA MARRÓN PU/METAL SALÓN,2017-10-05,151.53,3
21075,101318,SILLA MARRÓN PU/METAL SALÓN,2017-10-12,118.85,2
21076,101318,SILLA MARRÓN PU/METAL SALÓN,2017-10-15,202.05,4
21077,101318,SILLA MARRÓN PU/METAL SALÓN,2018-02-06,44.55,1
21078,101318,SILLA MARRÓN PU/METAL SALÓN,2018-02-22,237.69,4
21079,101318,SILLA MARRÓN PU/METAL SALÓN,2018-02-26,118.84,2
21080,101318,SILLA MARRÓN PU/METAL SALÓN,2018-03-31,237.69,4
21081,101318,SILLA MARRÓN PU/METAL SALÓN,2018-04-22,118.84,2
21082,101318,SILLA MARRÓN PU/METAL SALÓN,2018-04-26,118.84,2
21083,101318,SILLA MARRÓN PU/METAL SALÓN,2018-05-08,356.53,6
21084,101318,SILLA MARRÓN PU/METAL SALÓN,2018-07-10,237.69,4
21085,101318,SILLA MARRÓN PU/METAL SALÓN,2018-08-01,59.42,1
21086,101318,SILLA MARRÓN PU/METAL SALÓN,2018-10-21,59.42,1
21087,101318,SILLA MARRÓN PU/METAL SALÓN,2018-10-29,59.42,1
21088,101318,SILLA MARRÓN PU/METAL SALÓN,2018-11-01,178.26,3
21089,101318,SILLA MARRÓN PU/METAL SALÓN,2018-11-06,59.42,1
21090,101318,SILLA MARRÓN PU/METAL SALÓN,2018-11-09,237.69,4
21091,101318,SILLA MARRÓN PU/METAL SALÓN,2018-11-16,320.88,6
21092,101318,SILLA MARRÓN PU/METAL SALÓN,2018-11-20,427.76,8
21093,101318,SILLA MARRÓN PU/METAL SALÓN,2018-11-21,106.94,2
21094,101318,SILLA MARRÓN PU/METAL SALÓN,2018-11-23,267.35,5
21095,101318,SILLA MARRÓN PU/METAL SALÓN,2018-11-24,427.77,8
21096,101318,SILLA MARRÓN PU/METAL SALÓN,2018-11-26,374.3,7
21097,101318,SILLA MARRÓN PU/METAL SALÓN,2018-12-03,356.53,6
21098,101318,SILLA MARRÓN PU/METAL SALÓN,2018-12-08,213.92,4
21099,101318,SILLA MARRÓN PU/METAL SALÓN,2018-12-25,118.84,2
21100,101318,SILLA MARRÓN PU/METAL SALÓN,2019-01-08,106.94,2
21101,101318,SILLA MARRÓN PU/METAL SALÓN,2019-01-09,160.41,3
21102,101318,SILLA MARRÓN PU/METAL SALÓN,2019-01-13,106.94,2
21103,101318,SILLA MARRÓN PU/METAL SALÓN,2019-01-16,320.82,6
21104,101318,SILLA MARRÓN PU/METAL SALÓN,2019-01-17,213.88,4
