,Reference,Name,Date,Net_Incomes,Units_sold
10124,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2017-09-06,154.55,1
10125,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2017-10-04,163.64,1
10126,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2017-10-07,139.09,1
10127,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2017-10-18,163.64,1
10128,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2017-10-27,139.09,1
10129,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2017-10-28,441.83,3
10130,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2017-11-04,163.64,1
10131,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2017-11-05,163.64,1
10132,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2017-11-15,139.09,1
10133,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2017-11-20,139.09,1
10134,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2017-11-22,417.27,3
10135,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2017-11-24,245.46,2
10136,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2017-11-25,245.45,2
10137,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2017-11-26,245.46,2
10138,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-01-16,130.91,1
10139,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-01-18,261.81,2
10140,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-01-22,130.91,1
10141,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-01-28,261.82,2
10142,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-02-03,130.91,1
10143,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-02-04,130.91,1
10144,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-02-06,122.73,1
10145,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-02-07,122.73,1
10146,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-02-08,122.73,1
10147,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-02-09,122.73,1
10148,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-02-10,122.72,1
10149,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-02-12,122.73,1
10150,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-02-15,272.72,2
10151,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-02-17,272.73,2
10152,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-02-18,136.37,1
10153,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-04-17,198.0,1
10154,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-04-19,163.64,1
10155,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-04-20,163.63,1
10156,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-04-21,139.09,1
10157,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-04-22,163.64,1
10158,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-04-30,163.64,1
10159,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-05-09,139.09,1
10160,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-06-17,163.64,1
10161,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-06-18,163.64,1
10162,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-06-24,163.64,1
10163,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-07-01,163.64,1
10164,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-07-03,163.64,1
10165,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-07-06,163.64,1
10166,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-07-07,163.64,1
10167,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-07-21,163.64,1
10168,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-08-02,163.64,1
10169,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-08-04,163.64,1
10170,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-08-20,163.64,1
10171,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-09-01,163.64,1
10172,64530,CONSOLA 4 PUERTAS Y 3 CAJONES BLANCO,2018-09-02,163.64,1
