,Reference,Name,Date,Net_Incomes,Units_sold
31995,122540,ESPEJO DE PIE MDF NATURAL,2017-10-31,34.35,1
31996,122540,ESPEJO DE PIE MDF NATURAL,2017-11-09,74.76,2
31997,122540,ESPEJO DE PIE MDF NATURAL,2017-11-24,74.77,2
31998,122540,ESPEJO DE PIE MDF NATURAL,2017-11-26,34.35,1
31999,122540,ESPEJO DE PIE MDF NATURAL,2017-11-29,40.41,1
32000,122540,ESPEJO DE PIE MDF NATURAL,2017-12-03,40.41,1
32001,122540,ESPEJO DE PIE MDF NATURAL,2017-12-17,80.83,2
32002,122540,ESPEJO DE PIE MDF NATURAL,2017-12-19,40.41,1
32003,122540,ESPEJO DE PIE MDF NATURAL,2017-12-22,40.42,1
32004,122540,ESPEJO DE PIE MDF NATURAL,2017-12-26,40.41,1
32005,122540,ESPEJO DE PIE MDF NATURAL,2017-12-28,40.41,1
32006,122540,ESPEJO DE PIE MDF NATURAL,2017-12-29,40.41,1
32007,122540,ESPEJO DE PIE MDF NATURAL,2017-12-30,40.41,1
32008,122540,ESPEJO DE PIE MDF NATURAL,2018-01-03,40.41,1
32009,122540,ESPEJO DE PIE MDF NATURAL,2018-01-04,40.41,1
32010,122540,ESPEJO DE PIE MDF NATURAL,2018-01-05,80.83,2
32011,122540,ESPEJO DE PIE MDF NATURAL,2018-01-07,64.62,2
32012,122540,ESPEJO DE PIE MDF NATURAL,2018-01-13,32.31,1
32013,122540,ESPEJO DE PIE MDF NATURAL,2018-01-16,32.31,1
32014,122540,ESPEJO DE PIE MDF NATURAL,2018-01-19,32.31,1
32015,122540,ESPEJO DE PIE MDF NATURAL,2018-01-22,64.63,2
32016,122540,ESPEJO DE PIE MDF NATURAL,2018-01-24,32.31,1
32017,122540,ESPEJO DE PIE MDF NATURAL,2018-01-30,32.31,1
32018,122540,ESPEJO DE PIE MDF NATURAL,2018-03-13,40.41,1
32019,122540,ESPEJO DE PIE MDF NATURAL,2018-04-06,40.41,1
32020,122540,ESPEJO DE PIE MDF NATURAL,2018-04-21,40.42,1
32021,122540,ESPEJO DE PIE MDF NATURAL,2018-05-13,40.41,1
32022,122540,ESPEJO DE PIE MDF NATURAL,2018-06-10,40.41,1
32023,122540,ESPEJO DE PIE MDF NATURAL,2018-06-15,40.41,1
32024,122540,ESPEJO DE PIE MDF NATURAL,2018-06-20,40.41,1
32025,122540,ESPEJO DE PIE MDF NATURAL,2018-07-06,40.41,1
32026,122540,ESPEJO DE PIE MDF NATURAL,2018-07-09,80.83,2
32027,122540,ESPEJO DE PIE MDF NATURAL,2018-07-24,40.41,1
32028,122540,ESPEJO DE PIE MDF NATURAL,2018-07-29,40.41,1
32029,122540,ESPEJO DE PIE MDF NATURAL,2018-08-03,40.41,1
32030,122540,ESPEJO DE PIE MDF NATURAL,2018-08-07,40.41,1
32031,122540,ESPEJO DE PIE MDF NATURAL,2018-08-09,40.41,1
32032,122540,ESPEJO DE PIE MDF NATURAL,2018-08-21,40.41,1
32033,122540,ESPEJO DE PIE MDF NATURAL,2018-08-23,40.42,1
32034,122540,ESPEJO DE PIE MDF NATURAL,2018-08-25,40.42,1
32035,122540,ESPEJO DE PIE MDF NATURAL,2018-09-22,36.37,1
32036,122540,ESPEJO DE PIE MDF NATURAL,2018-09-28,76.78,2
32037,122540,ESPEJO DE PIE MDF NATURAL,2018-10-13,40.41,1
32038,122540,ESPEJO DE PIE MDF NATURAL,2018-10-16,40.41,1
32039,122540,ESPEJO DE PIE MDF NATURAL,2018-10-18,80.82,2
32040,122540,ESPEJO DE PIE MDF NATURAL,2018-10-24,40.42,1
32041,122540,ESPEJO DE PIE MDF NATURAL,2018-10-26,40.41,1
32042,122540,ESPEJO DE PIE MDF NATURAL,2018-10-30,40.41,1
32043,122540,ESPEJO DE PIE MDF NATURAL,2018-10-31,40.41,1
32044,122540,ESPEJO DE PIE MDF NATURAL,2018-11-10,40.41,1
32045,122540,ESPEJO DE PIE MDF NATURAL,2018-11-14,36.37,1
32046,122540,ESPEJO DE PIE MDF NATURAL,2018-11-20,36.37,1
32047,122540,ESPEJO DE PIE MDF NATURAL,2018-11-21,36.36,1
32048,122540,ESPEJO DE PIE MDF NATURAL,2018-11-22,36.36,1
32049,122540,ESPEJO DE PIE MDF NATURAL,2018-11-24,36.36,1
32050,122540,ESPEJO DE PIE MDF NATURAL,2018-11-25,72.72,2
32051,122540,ESPEJO DE PIE MDF NATURAL,2018-12-03,80.82,2
32052,122540,ESPEJO DE PIE MDF NATURAL,2018-12-10,40.41,1
32053,122540,ESPEJO DE PIE MDF NATURAL,2018-12-14,80.82,2
32054,122540,ESPEJO DE PIE MDF NATURAL,2018-12-15,40.41,1
32055,122540,ESPEJO DE PIE MDF NATURAL,2018-12-16,40.41,1
32056,122540,ESPEJO DE PIE MDF NATURAL,2018-12-17,40.42,1
32057,122540,ESPEJO DE PIE MDF NATURAL,2018-12-20,40.41,1
32058,122540,ESPEJO DE PIE MDF NATURAL,2018-12-21,40.41,1
32059,122540,ESPEJO DE PIE MDF NATURAL,2018-12-27,40.41,1
32060,122540,ESPEJO DE PIE MDF NATURAL,2018-12-28,40.41,1
32061,122540,ESPEJO DE PIE MDF NATURAL,2018-12-30,76.78,2
32062,122540,ESPEJO DE PIE MDF NATURAL,2018-12-31,40.41,1
32063,122540,ESPEJO DE PIE MDF NATURAL,2019-01-10,36.37,1
32064,122540,ESPEJO DE PIE MDF NATURAL,2019-01-11,36.36,1
32065,122540,ESPEJO DE PIE MDF NATURAL,2019-01-18,36.36,1
32066,122540,ESPEJO DE PIE MDF NATURAL,2019-01-20,36.37,1
32067,122540,ESPEJO DE PIE MDF NATURAL,2019-01-22,36.37,1
32068,122540,ESPEJO DE PIE MDF NATURAL,2019-01-27,36.37,1
32069,122540,ESPEJO DE PIE MDF NATURAL,2019-01-31,36.36,1
32070,122540,ESPEJO DE PIE MDF NATURAL,2019-02-01,36.36,1
32071,122540,ESPEJO DE PIE MDF NATURAL,2019-02-04,36.36,1
32072,122540,ESPEJO DE PIE MDF NATURAL,2019-02-06,72.72,2
32073,122540,ESPEJO DE PIE MDF NATURAL,2019-02-07,36.36,1
32074,122540,ESPEJO DE PIE MDF NATURAL,2019-02-08,72.72,2
32075,122540,ESPEJO DE PIE MDF NATURAL,2019-02-11,36.36,1
32076,122540,ESPEJO DE PIE MDF NATURAL,2019-02-12,68.76,2
32077,122540,ESPEJO DE PIE MDF NATURAL,2019-02-16,34.38,1
32078,122540,ESPEJO DE PIE MDF NATURAL,2019-02-18,34.38,1
32079,122540,ESPEJO DE PIE MDF NATURAL,2019-02-21,34.38,1
32080,122540,ESPEJO DE PIE MDF NATURAL,2019-02-24,103.14,3
32081,122540,ESPEJO DE PIE MDF NATURAL,2019-03-04,40.41,1
32082,122540,ESPEJO DE PIE MDF NATURAL,2019-03-08,40.41,1
32083,122540,ESPEJO DE PIE MDF NATURAL,2019-03-26,40.41,1
32084,122540,ESPEJO DE PIE MDF NATURAL,2019-03-31,40.41,1
