,Reference,CatN1,CatN2,Date,Cat_Price,CPC_medio,Impressions,Clics,Cost,Conversions,All_Conversions,Ads_Income,Ads_Income_All,ROAS_Ads
8798,122334,muebles,mesitas de noche,2019-02-25,80,0.38,483,6,2.28,1.0,2.0,66.9,133.8,29.34
8799,122334,muebles,mesitas de noche,2018-10-20,80,0.24,1412,15,3.63,0.0,0.0,0.0,0.0,0.0
8800,122334,muebles,mesitas de noche,2019-01-18,80,0.29,1565,15,4.3,0.0,0.0,0.0,0.0,0.0
8801,122334,muebles,mesitas de noche,2018-12-24,80,0.35,708,5,1.74,0.0,0.0,0.0,0.0,0.0
8802,122334,muebles,mesitas de noche,2019-02-02,80,0.24,1653,11,2.63,0.0,0.0,0.0,0.0,0.0
8803,122334,muebles,mesitas de noche,2019-01-22,80,0.3,1053,11,3.25,0.0,0.0,0.0,0.0,0.0
8804,122334,muebles,mesitas de noche,2019-01-19,80,0.26,1459,8,2.12,0.0,0.0,0.0,0.0,0.0
8805,122334,muebles,mesitas de noche,2019-01-29,80,0.25,1730,6,1.48,0.0,0.0,0.0,0.0,0.0
8806,122334,muebles,mesitas de noche,2018-11-22,80,0.26,2254,10,2.58,0.0,0.0,0.0,0.0,0.0
8807,122334,muebles,mesitas de noche,2018-10-08,80,0.26,4570,27,7.15,0.0,1.0,0.0,0.0,0.0
8808,122334,muebles,mesitas de noche,2019-01-08,80,0.33,1085,6,2.0,1.0,2.0,120.4,240.8,60.2
8809,122334,muebles,mesitas de noche,2018-10-26,80,0.22,620,6,1.31,0.0,1.0,0.0,0.0,0.0
8810,122334,muebles,mesitas de noche,2019-03-22,80,0.34,1280,7,2.35,0.0,0.0,0.0,0.0,0.0
8811,122334,muebles,mesitas de noche,2018-10-10,80,0.24,3545,27,6.59,0.0,1.0,0.0,0.0,0.0
8812,122334,muebles,mesitas de noche,2019-03-14,80,0.32,718,4,1.29,0.0,0.0,0.0,0.0,0.0
8813,122334,muebles,mesitas de noche,2018-11-08,80,0.22,2762,10,2.2,0.0,0.0,0.0,0.0,0.0
8814,122334,muebles,mesitas de noche,2019-01-10,80,0.27,1451,11,2.95,0.0,0.0,0.0,0.0,0.0
8815,122334,muebles,mesitas de noche,2018-11-12,80,0.22,3336,16,3.46,0.0,0.0,0.0,0.0,0.0
8816,122334,muebles,mesitas de noche,2018-12-19,80,0.37,942,6,2.2,0.0,0.0,0.0,0.0,0.0
8817,122334,muebles,mesitas de noche,2019-03-21,80,0.38,1173,4,1.51,0.0,0.0,0.0,0.0,0.0
8818,122334,muebles,mesitas de noche,2018-10-30,80,0.0,532,0,0.0,0.0,0.0,0.0,0.0,0.0
8819,122334,muebles,mesitas de noche,2019-03-11,80,0.36,1430,9,3.22,0.0,0.0,0.0,0.0,0.0
8820,122334,muebles,mesitas de noche,2018-11-30,80,0.3,736,2,0.61,0.0,0.0,0.0,0.0,0.0
8821,122334,muebles,mesitas de noche,2019-03-30,80,0.0,438,0,0.0,0.0,0.0,0.0,0.0,0.0
8822,122334,muebles,mesitas de noche,2018-12-16,80,0.31,1245,8,2.49,0.0,0.0,0.0,0.0,0.0
8823,122334,muebles,mesitas de noche,2018-11-07,80,0.21,2806,15,3.19,0.0,0.0,0.0,0.0,0.0
8824,122334,muebles,mesitas de noche,2019-01-31,80,0.26,1510,6,1.58,0.0,0.0,0.0,0.0,0.0
8825,122334,muebles,mesitas de noche,2019-02-16,60,0.37,1070,7,2.56,0.0,0.0,0.0,0.0,0.0
8826,122334,muebles,mesitas de noche,2018-12-30,80,0.32,855,6,1.94,0.0,0.0,0.0,0.0,0.0
8827,122334,muebles,mesitas de noche,2019-01-13,80,0.28,1264,14,3.89,0.25,0.5,16.88,33.75,4.34
8828,122334,muebles,mesitas de noche,2018-10-14,80,0.22,4218,33,7.16,0.0,0.0,0.0,0.0,0.0
8829,122334,muebles,mesitas de noche,2018-10-05,80,0.23,3463,20,4.51,0.0,1.0,0.0,0.0,0.0
8830,122334,muebles,mesitas de noche,2019-01-14,80,0.36,1993,13,4.64,0.0,0.0,0.0,0.0,0.0
8831,122334,muebles,mesitas de noche,2018-11-15,80,0.23,3168,17,3.86,0.0,0.0,0.0,0.0,0.0
8832,122334,muebles,mesitas de noche,2018-10-27,80,0.21,509,3,0.64,0.0,0.0,0.0,0.0,0.0
8833,122334,muebles,mesitas de noche,2018-12-27,80,0.31,880,4,1.24,0.0,0.0,0.0,0.0,0.0
8834,122334,muebles,mesitas de noche,2018-12-07,80,0.52,543,3,1.56,0.0,0.0,0.0,0.0,0.0
8835,122334,muebles,mesitas de noche,2019-02-18,60,0.51,1150,9,4.6,0.0,0.0,0.0,0.0,0.0
8836,122334,muebles,mesitas de noche,2019-03-31,80,0.57,644,5,2.83,0.0,0.0,0.0,0.0,0.0
8837,122334,muebles,mesitas de noche,2018-12-10,80,0.43,1777,11,4.73,0.0,0.0,0.0,0.0,0.0
8838,122334,muebles,mesitas de noche,2019-02-04,80,0.3,2230,29,8.57,0.0,0.0,0.0,0.0,0.0
8839,122334,muebles,mesitas de noche,2019-03-05,80,0.33,1167,6,1.99,1.0,2.0,66.9,133.8,33.62
8840,122334,muebles,mesitas de noche,2019-03-20,80,0.33,2824,12,3.98,2.0,3.0,133.8,200.7,33.62
8841,122334,muebles,mesitas de noche,2019-02-14,60,0.61,1313,7,4.27,0.0,0.0,0.0,0.0,0.0
8842,122334,muebles,mesitas de noche,2018-11-01,80,0.23,830,5,1.17,0.0,0.0,0.0,0.0,0.0
8843,122334,muebles,mesitas de noche,2019-02-20,60,0.42,948,10,4.16,0.0,0.0,0.0,0.0,0.0
8844,122334,muebles,mesitas de noche,2018-10-19,80,0.22,1525,12,2.68,0.0,0.0,0.0,0.0,0.0
8845,122334,muebles,mesitas de noche,2019-01-16,80,0.35,2090,12,4.16,0.0,0.0,0.0,0.0,0.0
8846,122334,muebles,mesitas de noche,2019-03-04,80,0.34,1331,12,4.03,0.0,0.0,0.0,0.0,0.0
8847,122334,muebles,mesitas de noche,2019-01-20,80,0.27,1344,9,2.39,0.0,0.0,0.0,0.0,0.0
8848,122334,muebles,mesitas de noche,2019-01-11,80,0.29,2269,8,2.29,0.0,0.0,0.0,0.0,0.0
8849,122334,muebles,mesitas de noche,2019-02-24,60,0.3,758,2,0.6,0.0,0.0,0.0,0.0,0.0
8850,122334,muebles,mesitas de noche,2019-02-12,80,0.33,625,3,0.98,0.0,0.0,0.0,0.0,0.0
8851,122334,muebles,mesitas de noche,2019-01-27,80,0.29,1284,12,3.48,0.5,1.0,93.7,187.4,26.93
8852,122334,muebles,mesitas de noche,2018-10-23,80,0.22,989,6,1.29,0.0,9.0,0.0,0.0,0.0
8853,122334,muebles,mesitas de noche,2018-10-24,80,0.19,714,3,0.57,0.0,0.0,0.0,0.0,0.0
8854,122334,muebles,mesitas de noche,2018-10-11,80,0.24,3177,14,3.39,0.0,0.0,0.0,0.0,0.0
8855,122334,muebles,mesitas de noche,2019-02-07,80,0.26,1679,17,4.38,0.0,0.0,0.0,0.0,0.0
8856,122334,muebles,mesitas de noche,2019-02-09,80,0.3,1660,8,2.37,0.0,0.0,0.0,0.0,0.0
8857,122334,muebles,mesitas de noche,2019-01-05,80,0.34,521,4,1.35,0.0,0.0,0.0,0.0,0.0
8858,122334,muebles,mesitas de noche,2019-03-28,80,0.5,968,4,2.01,0.0,0.0,0.0,0.0,0.0
8859,122334,muebles,mesitas de noche,2018-12-17,80,0.33,814,5,1.63,0.0,0.0,0.0,0.0,0.0
8860,122334,muebles,mesitas de noche,2018-11-17,80,0.23,3269,12,2.79,0.0,0.0,0.0,0.0,0.0
8861,122334,muebles,mesitas de noche,2019-02-13,60,0.45,1255,6,2.71,0.0,0.0,0.0,0.0,0.0
8862,122334,muebles,mesitas de noche,2018-12-05,80,0.41,629,3,1.23,0.0,0.0,0.0,0.0,0.0
8863,122334,muebles,mesitas de noche,2019-01-10,80,0.35,537,1,0.35,0.0,0.0,0.0,0.0,0.0
8864,122334,muebles,mesitas de noche,2018-11-25,80,0.43,5581,41,17.59,0.0,0.0,0.0,0.0,0.0
8865,122334,muebles,mesitas de noche,2019-01-12,80,0.28,1753,8,2.24,0.0,0.0,0.0,0.0,0.0
8866,122334,muebles,mesitas de noche,2018-12-12,80,0.37,1245,3,1.12,0.0,0.0,0.0,0.0,0.0
8867,122334,muebles,mesitas de noche,2019-03-27,80,0.54,979,9,4.87,0.0,0.0,0.0,0.0,0.0
8868,122334,muebles,mesitas de noche,2018-12-11,80,0.42,1263,3,1.26,0.0,0.0,0.0,0.0,0.0
