,Reference,CatN1,CatN2,Date,Cat_Price,CPC_medio,Impressions,Clics,Cost,Conversions,All_Conversions,Ads_Income,Ads_Income_All,ROAS_Ads
7192,48841,decoración para tu casa,espejos de pared,2019-02-25,20,0.26,434,3,0.79,0.0,0.0,0.0,0.0,0.0
7193,48841,decoración para tu casa,espejos de pared,2019-03-04,20,0.28,533,4,1.11,0.0,0.0,0.0,0.0,0.0
7194,48841,decoración para tu casa,espejos de pared,2019-03-26,20,0.25,789,10,2.51,0.0,0.0,0.0,0.0,0.0
7195,48841,decoración para tu casa,espejos de pared,2019-02-14,20,0.11,233,2,0.22,0.0,0.0,0.0,0.0,0.0
7196,48841,decoración para tu casa,espejos de pared,2019-02-23,20,0.26,225,1,0.26,0.0,0.0,0.0,0.0,0.0
7197,48841,decoración para tu casa,espejos de pared,2019-02-28,20,0.19,400,1,0.19,0.0,0.0,0.0,0.0,0.0
7198,48841,decoración para tu casa,espejos de pared,2019-02-12,20,0.16,230,4,0.66,0.0,0.0,0.0,0.0,0.0
7199,48841,decoración para tu casa,espejos de pared,2019-02-16,20,0.22,112,3,0.67,0.0,0.0,0.0,0.0,0.0
7200,48841,decoración para tu casa,espejos de pared,2019-01-26,20,0.27,91,1,0.27,0.0,0.0,0.0,0.0,0.0
7201,48841,decoración para tu casa,espejos de pared,2019-03-03,20,0.31,572,4,1.25,0.0,0.0,0.0,0.0,0.0
7202,48841,decoración para tu casa,espejos de pared,2019-02-17,20,0.69,125,1,0.69,0.0,0.0,0.0,0.0,0.0
7203,48841,decoración para tu casa,espejos de pared,2019-02-26,20,0.42,489,10,4.22,0.0,0.0,0.0,0.0,0.0
7204,48841,decoración para tu casa,espejos de pared,2019-02-22,20,0.16,300,2,0.31,0.0,0.0,0.0,0.0,0.0
7205,48841,decoración para tu casa,espejos de pared,2019-03-11,20,0.22,1114,13,2.86,0.0,0.0,0.0,0.0,0.0
7206,48841,decoración para tu casa,espejos de pared,2019-02-09,20,0.23,376,3,0.69,0.0,0.0,0.0,0.0,0.0
7207,48841,decoración para tu casa,espejos de pared,2019-03-15,20,0.07,126,1,0.07,0.0,0.0,0.0,0.0,0.0
7208,48841,decoración para tu casa,espejos de pared,2019-02-02,20,0.24,420,3,0.71,0.0,0.0,0.0,0.0,0.0
7209,48841,decoración para tu casa,espejos de pared,2019-03-23,20,0.21,893,17,3.57,0.0,0.0,0.0,0.0,0.0
7210,48841,decoración para tu casa,espejos de pared,2019-02-08,20,0.3,413,4,1.21,0.0,0.0,0.0,0.0,0.0
7211,48841,decoración para tu casa,espejos de pared,2019-03-06,20,0.19,467,3,0.56,0.0,0.0,0.0,0.0,0.0
7212,48841,decoración para tu casa,espejos de pared,2019-02-11,20,0.31,266,1,0.31,0.0,0.0,0.0,0.0,0.0
7213,48841,decoración para tu casa,espejos de pared,2019-03-25,20,0.14,788,6,0.83,0.0,0.0,0.0,0.0,0.0
7214,48841,decoración para tu casa,espejos de pared,2019-01-20,20,0.25,75,1,0.25,0.0,0.0,0.0,0.0,0.0
7215,48841,decoración para tu casa,espejos de pared,2019-02-15,20,0.48,154,2,0.95,0.0,0.0,0.0,0.0,0.0
7216,48841,decoración para tu casa,espejos de pared,2019-03-20,20,0.32,883,16,5.07,1.33,2.67,25.2,50.4,4.97
7217,48841,decoración para tu casa,espejos de pared,2019-03-24,20,0.21,1100,9,1.88,0.0,0.0,0.0,0.0,0.0
7218,48841,decoración para tu casa,espejos de pared,2019-03-29,20,0.23,419,6,1.39,0.0,0.0,0.0,0.0,0.0
7219,48841,decoración para tu casa,espejos de pared,2019-01-24,20,0.48,84,2,0.97,0.0,0.0,0.0,0.0,0.0
7220,48841,decoración para tu casa,espejos de pared,2019-02-20,20,0.48,292,2,0.97,0.0,0.0,0.0,0.0,0.0
7221,48841,decoración para tu casa,espejos de pared,2019-01-17,20,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
7222,48841,decoración para tu casa,espejos de pared,2019-03-28,20,0.23,463,4,0.92,0.0,0.0,0.0,0.0,0.0
