,Reference,CatN1,CatN2,Date,Cat_Price,CPC_medio,Impressions,Clics,Cost,Conversions,All_Conversions,Ads_Income,Ads_Income_All,ROAS_Ads
13214,82462,jardín y terraza,sillas y sillones de jardín y terraza,2019-03-19,60,0.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0
13215,82462,jardín y terraza,sillas y sillones de jardín y terraza,2019-01-07,60,0.26,2084,14,3.61,0.0,0.0,0.0,0.0,0.0
13216,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-11-08,60,0.24,1191,5,1.18,0.0,1.0,0.0,16.1,0.0
13217,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-10-04,60,0.25,1500,9,2.23,0.0,0.0,0.0,0.0,0.0
13218,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-11-05,60,0.22,1247,8,1.77,0.0,0.0,0.0,0.0,0.0
13219,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-10-12,60,0.3,1568,10,3.05,0.0,0.0,0.0,0.0,0.0
13220,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-10-06,60,0.27,1974,17,4.58,0.0,0.0,0.0,0.0,0.0
13221,82462,jardín y terraza,sillas y sillones de jardín y terraza,2019-03-26,60,0.29,46,1,0.29,0.0,0.0,0.0,0.0,0.0
13222,82462,jardín y terraza,sillas y sillones de jardín y terraza,2019-03-28,60,0.0,63,0,0.0,0.0,0.0,0.0,0.0,0.0
13223,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-10-03,60,0.29,1355,18,5.24,0.0,0.0,0.0,0.0,0.0
13224,82462,jardín y terraza,sillas y sillones de jardín y terraza,2019-03-27,60,0.0,57,0,0.0,0.0,0.0,0.0,0.0,0.0
13225,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-11-09,60,0.0,143,0,0.0,0.0,0.0,0.0,0.0,0.0
13226,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-10-29,60,0.28,795,6,1.68,0.0,0.0,0.0,0.0,0.0
13227,82462,jardín y terraza,sillas y sillones de jardín y terraza,2019-03-23,60,0.0,33,0,0.0,0.0,0.0,0.0,0.0,0.0
13228,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-10-10,60,0.34,1484,12,4.06,0.0,0.0,0.0,0.0,0.0
13229,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-11-02,60,0.36,997,4,1.44,0.0,0.0,0.0,0.0,0.0
13230,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-10-13,60,0.25,1836,16,3.97,0.0,0.0,0.0,0.0,0.0
13231,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-10-18,60,0.24,1239,12,2.87,0.0,0.0,0.0,0.0,0.0
13232,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-10-14,60,0.4,2087,10,4.0,0.0,0.0,0.0,0.0,0.0
13233,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-10-01,60,0.31,1681,7,2.14,0.0,0.0,0.0,0.0,0.0
13234,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-10-19,60,0.0,1113,0,0.0,0.0,0.0,0.0,0.0,0.0
13235,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-11-06,60,0.27,1109,4,1.08,0.0,0.0,0.0,0.0,0.0
13236,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-10-28,60,0.25,1221,7,1.78,0.0,0.0,0.0,0.0,0.0
13237,82462,jardín y terraza,sillas y sillones de jardín y terraza,2019-03-20,60,0.0,7,0,0.0,0.0,0.0,0.0,0.0,0.0
13238,82462,jardín y terraza,sillas y sillones de jardín y terraza,2019-03-30,60,0.28,805,10,2.84,0.0,0.0,0.0,0.0,0.0
13239,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-10-08,60,0.32,1807,17,5.43,0.0,0.0,0.0,0.0,0.0
13240,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-10-31,60,0.28,699,6,1.66,0.0,0.0,0.0,0.0,0.0
13241,82462,jardín y terraza,sillas y sillones de jardín y terraza,2019-03-29,60,0.0,49,0,0.0,0.0,0.0,0.0,0.0,0.0
13242,82462,jardín y terraza,sillas y sillones de jardín y terraza,2019-03-31,60,0.0,60,0,0.0,0.0,0.0,0.0,0.0,0.0
13243,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-10-23,60,0.27,1166,11,3.01,0.0,0.0,0.0,0.0,0.0
13244,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-10-15,60,0.29,1453,9,2.63,0.0,0.0,0.0,0.0,0.0
13245,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-10-22,60,0.26,1333,14,3.65,0.0,0.0,0.0,0.0,0.0
13246,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-10-20,60,0.24,1329,10,2.43,0.0,1.0,0.0,0.0,0.0
13247,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-10-21,60,0.27,1863,19,5.17,0.0,0.0,0.0,0.0,0.0
13248,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-11-01,60,0.26,1136,16,4.15,0.0,0.0,0.0,0.0,0.0
13249,82462,jardín y terraza,sillas y sillones de jardín y terraza,2019-01-08,60,0.26,432,3,0.79,0.0,0.0,0.0,0.0,0.0
13250,82462,jardín y terraza,sillas y sillones de jardín y terraza,2019-03-21,60,0.24,34,1,0.24,0.0,0.0,0.0,0.0,0.0
13251,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-11-07,60,0.27,1244,11,3.02,0.0,0.0,0.0,0.0,0.0
13252,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-10-05,60,0.31,1559,13,4.03,0.0,0.0,0.0,0.0,0.0
13253,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-10-30,60,0.23,714,10,2.29,0.0,0.0,0.0,0.0,0.0
13254,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-10-24,60,0.26,1184,5,1.31,0.0,0.0,0.0,0.0,0.0
13255,82462,jardín y terraza,sillas y sillones de jardín y terraza,2019-03-25,60,0.0,36,0,0.0,0.0,0.0,0.0,0.0,0.0
13256,82462,jardín y terraza,sillas y sillones de jardín y terraza,2019-03-22,60,0.0,21,0,0.0,0.0,0.0,0.0,0.0,0.0
13257,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-10-09,60,0.36,2047,20,7.29,0.0,0.0,0.0,0.0,0.0
13258,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-10-07,60,0.3,2076,18,5.4,0.0,0.0,0.0,0.0,0.0
13259,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-11-04,60,0.26,1490,12,3.1,0.0,1.0,0.0,0.0,0.0
13260,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-10-02,60,0.35,1385,11,3.83,0.0,0.0,0.0,0.0,0.0
13261,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-10-11,60,0.23,1322,11,2.55,0.0,0.0,0.0,0.0,0.0
13262,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-10-25,60,0.25,1097,5,1.26,0.0,0.0,0.0,0.0,0.0
13263,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-10-26,60,0.27,1078,2,0.54,0.0,0.0,0.0,0.0,0.0
13264,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-10-27,60,0.27,1110,9,2.44,0.0,0.0,0.0,0.0,0.0
13265,82462,jardín y terraza,sillas y sillones de jardín y terraza,2019-01-08,50,0.0,794,0,0.0,0.0,0.0,0.0,0.0,0.0
13266,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-11-03,60,0.24,1142,5,1.18,0.0,0.0,0.0,0.0,0.0
13267,82462,jardín y terraza,sillas y sillones de jardín y terraza,2019-03-24,60,0.16,42,1,0.16,0.0,0.0,0.0,0.0,0.0
13268,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-10-16,60,0.3,1343,9,2.69,0.0,0.0,0.0,0.0,0.0
13269,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-10-17,60,0.26,1171,13,3.35,0.0,0.0,0.0,0.0,0.0
13270,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-05-15,60,0.16,281,1,0.16,0.0,0.0,0.0,0.0,0.0
13271,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-07-03,60,0.19,2672,17,3.26,0.0,0.0,0.0,0.0,0.0
13272,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-05-08,60,0.17,390,3,0.52,0.0,0.0,0.0,0.0,0.0
13273,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-09-14,60,0.24,1664,20,4.85,0.0,0.0,0.0,0.0,0.0
13274,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-04-15,60,0.16,518,6,0.96,0.0,0.0,0.0,0.0,0.0
13275,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-05-20,60,0.17,2351,23,4.02,0.0,0.0,0.0,0.0,0.0
13276,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-07-04,60,0.18,2384,15,2.69,0.0,1.0,0.0,0.0,0.0
13277,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-04-05,60,0.17,227,1,0.17,0.0,0.0,0.0,0.0,0.0
13278,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-07-12,60,0.21,1897,22,4.64,0.0,0.0,0.0,0.0,0.0
13279,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-03-28,60,0.18,311,2,0.35,0.0,0.0,0.0,0.0,0.0
13280,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-08-27,60,0.27,3117,38,10.13,0.0,0.0,0.0,0.0,0.0
13281,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-08-25,60,0.25,2829,21,5.26,0.0,0.0,0.0,0.0,0.0
13282,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-02-13,50,0.19,774,14,2.65,0.0,0.0,0.0,0.0,0.0
13283,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-06-13,60,0.15,1687,12,1.84,0.0,0.0,0.0,0.0,0.0
13284,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-06-04,60,0.17,1238,17,2.88,0.0,0.0,0.0,0.0,0.0
13285,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-07-19,60,0.23,1936,12,2.78,0.0,0.0,0.0,0.0,0.0
13286,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-05-14,60,0.18,287,2,0.36,0.0,0.0,0.0,0.0,0.0
13287,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-09-12,60,0.24,1918,9,2.12,0.0,0.0,0.0,0.0,0.0
13288,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-04-08,60,0.18,327,5,0.88,0.0,0.0,0.0,0.0,0.0
13289,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-03-26,60,0.0,93,0,0.0,0.0,0.0,0.0,0.0,0.0
13290,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-06-07,60,0.14,1505,10,1.36,0.0,0.0,0.0,0.0,0.0
13291,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-08-09,60,0.28,2397,24,6.69,0.0,0.0,0.0,0.0,0.0
13292,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-09-07,60,0.24,1718,17,4.06,0.0,0.0,0.0,0.0,0.0
13293,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-06-02,60,0.17,711,11,1.92,0.0,0.0,0.0,0.0,0.0
13294,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-06-11,60,0.18,2030,10,1.75,0.0,0.0,0.0,0.0,0.0
13295,82462,jardín y terraza,sillas y sillones de jardín y terraza,2018-05-03,60,0.18,321,4,0.7,0.0,0.0,0.0,0.0,0.0
