,Reference,CatN1,CatN2,Date,Cat_Price,CPC_medio,Impressions,Clics,Cost,Conversions,All_Conversions,Ads_Income,Ads_Income_All,ROAS_Ads
3868,51148,muebles,"consolas, recibidores y tocadores",2018-11-17,200,0.24,4342,19,4.57,0.0,0.0,0.0,0.0,0.0
3869,51148,muebles,"consolas, recibidores y tocadores",2019-01-24,200,0.5,874,2,1.0,0.0,0.0,0.0,0.0,0.0
3870,51148,muebles,"consolas, recibidores y tocadores",2018-10-03,200,0.14,608,6,0.86,0.0,1.0,0.0,0.0,0.0
3871,51148,muebles,"consolas, recibidores y tocadores",2019-01-09,200,0.35,710,4,1.4,0.0,0.35,0.0,62.37,0.0
3872,51148,muebles,"consolas, recibidores y tocadores",2018-12-28,200,0.22,834,5,1.12,0.0,0.0,0.0,0.0,0.0
3873,51148,muebles,"consolas, recibidores y tocadores",2018-11-01,200,0.0,413,0,0.0,0.0,0.0,0.0,0.0,0.0
3874,51148,muebles,"consolas, recibidores y tocadores",2018-10-18,200,0.11,525,9,1.03,0.0,1.0,0.0,0.0,0.0
3875,51148,muebles,"consolas, recibidores y tocadores",2018-11-29,200,0.4,374,3,1.21,0.0,0.0,0.0,0.0,0.0
3876,51148,muebles,"consolas, recibidores y tocadores",2019-03-01,200,0.28,1729,6,1.68,0.0,0.0,0.0,0.0,0.0
3877,51148,muebles,"consolas, recibidores y tocadores",2019-01-31,200,0.41,538,3,1.23,0.0,0.0,0.0,0.0,0.0
3878,51148,muebles,"consolas, recibidores y tocadores",2019-02-22,200,0.28,1309,12,3.41,0.0,0.0,0.0,0.0,0.0
3879,51148,muebles,"consolas, recibidores y tocadores",2018-12-05,200,0.31,351,3,0.92,0.0,0.4,0.0,82.8,0.0
3880,51148,muebles,"consolas, recibidores y tocadores",2018-12-23,200,0.2,1049,4,0.8,0.0,0.0,0.0,0.0,0.0
3881,51148,muebles,"consolas, recibidores y tocadores",2018-11-03,200,0.1,792,6,0.61,0.0,0.0,0.0,0.0,0.0
3882,51148,muebles,"consolas, recibidores y tocadores",2018-11-09,200,0.11,857,4,0.44,0.0,0.0,0.0,0.0,0.0
3883,51148,muebles,"consolas, recibidores y tocadores",2018-12-08,200,0.38,218,1,0.38,0.0,0.0,0.0,0.0,0.0
3884,51148,muebles,"consolas, recibidores y tocadores",2018-10-06,200,0.13,609,7,0.94,0.0,0.0,0.0,0.0,0.0
3885,51148,muebles,"consolas, recibidores y tocadores",2018-11-20,200,0.31,2169,20,6.11,0.33,0.75,34.43,77.82,5.64
3886,51148,muebles,"consolas, recibidores y tocadores",2019-03-14,300,0.42,288,7,2.92,0.0,0.0,0.0,0.0,0.0
3887,51148,muebles,"consolas, recibidores y tocadores",2019-02-23,200,0.28,1541,13,3.63,0.0,0.0,0.0,0.0,0.0
3888,51148,muebles,"consolas, recibidores y tocadores",2019-02-16,200,0.54,557,6,3.27,0.0,0.0,0.0,0.0,0.0
3889,51148,muebles,"consolas, recibidores y tocadores",2019-02-06,200,0.26,872,2,0.53,0.0,0.0,0.0,0.0,0.0
3890,51148,muebles,"consolas, recibidores y tocadores",2019-03-31,300,0.24,213,1,0.24,0.0,0.0,0.0,0.0,0.0
