,Reference,CatN1,CatN2,Date,Cat_Price,CPC_medio,Impressions,Clics,Cost,Conversions,All_Conversions,Ads_Income,Ads_Income_All,ROAS_Ads
995,93308,muebles,mesas de centro y auxiliares,2019-02-08,80,0.34,1706,13,4.46,0.27,0.48,15.86,28.32,3.56
996,93308,muebles,mesas de centro y auxiliares,2019-01-09,80,0.3,1235,5,1.49,0.0,0.0,0.0,0.0,0.0
997,93308,muebles,mesas de centro y auxiliares,2019-01-01,80,0.66,299,6,3.95,0.0,0.0,0.0,0.0,0.0
998,93308,muebles,mesas de centro y auxiliares,2018-12-17,80,0.32,642,6,1.9,0.0,0.0,0.0,0.0,0.0
999,93308,muebles,mesas de centro y auxiliares,2019-02-12,60,0.3,1328,11,3.25,0.0,0.0,0.0,0.0,0.0
1000,93308,muebles,mesas de centro y auxiliares,2019-02-23,60,0.33,1368,9,2.95,0.0,0.0,0.0,0.0,0.0
1001,93308,muebles,mesas de centro y auxiliares,2019-02-24,60,0.41,1129,8,3.25,0.0,0.0,0.0,0.0,0.0
1002,93308,muebles,mesas de centro y auxiliares,2018-10-07,80,0.25,2047,15,3.7,0.0,1.0,0.0,0.0,0.0
1003,93308,muebles,mesas de centro y auxiliares,2018-10-09,80,0.27,1966,13,3.52,1.0,1.0,68.9,68.9,19.57
1004,93308,muebles,mesas de centro y auxiliares,2018-11-24,80,0.51,5446,38,19.54,0.0,0.0,0.0,0.0,0.0
1005,93308,muebles,mesas de centro y auxiliares,2019-02-26,80,0.33,1275,14,4.61,0.0,0.0,0.0,0.0,0.0
1006,93308,muebles,mesas de centro y auxiliares,2019-01-11,80,0.27,1611,7,1.92,0.0,0.0,0.0,0.0,0.0
1007,93308,muebles,mesas de centro y auxiliares,2018-11-25,80,0.44,5337,40,17.58,0.0,0.0,0.0,0.0,0.0
1008,93308,muebles,mesas de centro y auxiliares,2019-01-08,80,0.0,618,0,0.0,0.0,0.0,0.0,0.0,0.0
1009,93308,muebles,mesas de centro y auxiliares,2018-10-31,80,0.17,369,3,0.52,1.0,1.0,68.9,68.9,132.5
1010,93308,muebles,mesas de centro y auxiliares,2019-02-07,80,0.25,1896,18,4.43,0.0,0.0,0.0,0.0,0.0
1011,93308,muebles,mesas de centro y auxiliares,2019-01-05,80,0.31,238,3,0.94,0.0,0.0,0.0,0.0,0.0
1012,93308,muebles,mesas de centro y auxiliares,2018-10-11,80,0.27,1408,10,2.69,0.0,0.0,0.0,0.0,0.0
1013,93308,muebles,mesas de centro y auxiliares,2018-11-12,80,0.31,826,3,0.93,0.0,0.0,0.0,0.0,0.0
1014,93308,muebles,mesas de centro y auxiliares,2019-01-24,80,0.28,583,1,0.28,0.0,0.0,0.0,0.0,0.0
1015,93308,muebles,mesas de centro y auxiliares,2019-03-12,80,0.54,702,1,0.54,0.0,0.0,0.0,0.0,0.0
1016,93308,muebles,mesas de centro y auxiliares,2019-01-22,80,0.3,780,1,0.3,0.0,0.0,0.0,0.0,0.0
1017,93308,muebles,mesas de centro y auxiliares,2018-10-17,80,0.24,1415,10,2.39,0.0,1.0,0.0,0.0,0.0
1018,93308,muebles,mesas de centro y auxiliares,2018-11-07,80,0.24,1162,6,1.45,0.0,0.0,0.0,0.0,0.0
1019,93308,muebles,mesas de centro y auxiliares,2019-01-04,80,0.15,325,1,0.15,0.0,0.0,0.0,0.0,0.0
1020,93308,muebles,mesas de centro y auxiliares,2019-01-18,80,0.19,786,3,0.57,0.0,0.0,0.0,0.0,0.0
1021,93308,muebles,mesas de centro y auxiliares,2019-01-27,80,0.29,715,6,1.74,0.0,0.0,0.0,0.0,0.0
1022,93308,muebles,mesas de centro y auxiliares,2018-10-18,80,0.22,1232,10,2.24,0.0,0.0,0.0,0.0,0.0
1023,93308,muebles,mesas de centro y auxiliares,2018-10-04,80,0.24,1599,9,2.12,1.0,1.0,137.8,137.8,65.0
1024,93308,muebles,mesas de centro y auxiliares,2019-01-26,80,0.29,1024,5,1.47,0.0,0.0,0.0,0.0,0.0
1025,93308,muebles,mesas de centro y auxiliares,2019-01-30,80,0.28,975,4,1.14,0.0,0.0,0.0,0.0,0.0
