,Reference,CatN1,CatN2,Date,Cat_Price,CPC_medio,Impressions,Clics,Cost,Conversions,All_Conversions,Ads_Income,Ads_Income_All,ROAS_Ads
14093,64532,muebles,mesitas de noche,2019-02-26,150,0.0,210,0,0.0,0.0,0.0,0.0,0.0,0.0
14094,64532,muebles,mesitas de noche,2019-03-31,150,0.27,484,1,0.27,0.0,0.0,0.0,0.0,0.0
14095,64532,muebles,mesitas de noche,2019-02-25,150,0.15,232,1,0.15,0.0,0.0,0.0,0.0,0.0
14096,64532,muebles,mesitas de noche,2019-03-25,150,0.32,650,5,1.58,0.0,0.0,0.0,0.0,0.0
14097,64532,muebles,mesitas de noche,2019-03-06,150,0.25,474,1,0.25,0.0,0.0,0.0,0.0,0.0
14098,64532,muebles,mesitas de noche,2019-02-01,150,0.3,463,2,0.6,0.0,0.0,0.0,0.0,0.0
14099,64532,muebles,mesitas de noche,2019-02-19,150,0.27,242,2,0.54,0.0,0.0,0.0,0.0,0.0
14100,64532,muebles,mesitas de noche,2019-01-31,150,0.22,279,3,0.66,0.0,0.0,0.0,0.0,0.0
14101,64532,muebles,mesitas de noche,2019-03-14,150,0.69,306,1,0.69,0.0,0.0,0.0,0.0,0.0
14102,64532,muebles,mesitas de noche,2019-01-19,150,0.0,236,0,0.0,0.0,0.0,0.0,0.0,0.0
14103,64532,muebles,mesitas de noche,2019-02-10,150,0.0,248,0,0.0,0.0,0.0,0.0,0.0,0.0
14104,64532,muebles,mesitas de noche,2019-02-06,150,0.24,314,3,0.72,0.0,0.0,0.0,0.0,0.0
14105,64532,muebles,mesitas de noche,2019-02-27,150,0.67,242,2,1.34,0.0,0.0,0.0,0.0,0.0
14106,64532,muebles,mesitas de noche,2019-02-03,150,0.26,372,4,1.02,0.0,0.0,0.0,0.0,0.0
14107,64532,muebles,mesitas de noche,2019-03-01,150,0.4,342,2,0.79,0.0,0.0,0.0,0.0,0.0
14108,64532,muebles,mesitas de noche,2019-01-09,150,0.0,23,0,0.0,0.0,0.0,0.0,0.0,0.0
14109,64532,muebles,mesitas de noche,2019-02-09,150,0.34,267,1,0.34,0.0,0.0,0.0,0.0,0.0
14110,64532,muebles,mesitas de noche,2019-03-03,150,0.32,344,6,1.9,0.0,0.0,0.0,0.0,0.0
14111,64532,muebles,mesitas de noche,2019-03-28,150,0.0,383,0,0.0,0.0,0.0,0.0,0.0,0.0
14112,64532,muebles,mesitas de noche,2019-03-12,150,0.82,399,2,1.65,0.0,0.0,0.0,0.0,0.0
14113,64532,muebles,mesitas de noche,2019-02-15,150,0.29,316,2,0.58,0.0,0.0,0.0,0.0,0.0
14114,64532,muebles,mesitas de noche,2019-03-16,150,0.37,1767,11,4.09,0.0,0.0,0.0,0.0,0.0
14115,64532,muebles,mesitas de noche,2019-03-04,150,0.71,418,2,1.42,0.0,0.0,0.0,0.0,0.0
14116,64532,muebles,mesitas de noche,2019-03-05,150,0.2,508,1,0.2,0.0,0.0,0.0,0.0,0.0
14117,64532,muebles,mesitas de noche,2019-03-09,150,0.48,567,2,0.96,0.0,0.0,0.0,0.0,0.0
14118,64532,muebles,mesitas de noche,2019-01-29,150,0.3,268,3,0.89,0.0,0.0,0.0,0.0,0.0
14119,64532,muebles,mesitas de noche,2019-02-02,150,0.29,375,3,0.88,0.0,0.0,0.0,0.0,0.0
14120,64532,muebles,mesitas de noche,2019-01-10,150,0.32,452,2,0.63,0.0,0.0,0.0,0.0,0.0
14121,64532,muebles,mesitas de noche,2019-02-08,150,0.36,271,3,1.07,0.0,0.0,0.0,0.0,0.0
14122,64532,muebles,mesitas de noche,2019-01-17,150,0.2,587,5,1.0,0.0,0.0,0.0,0.0,0.0
14123,64532,muebles,mesitas de noche,2019-03-18,150,0.26,368,3,0.78,0.0,0.0,0.0,0.0,0.0
14124,64532,muebles,mesitas de noche,2019-03-22,150,0.87,614,1,0.87,0.0,0.0,0.0,0.0,0.0
14125,64532,muebles,mesitas de noche,2019-03-08,150,0.24,558,5,1.18,0.0,0.0,0.0,0.0,0.0
14126,64532,muebles,mesitas de noche,2019-01-11,150,0.0,387,0,0.0,0.0,0.0,0.0,0.0,0.0
14127,64532,muebles,mesitas de noche,2019-01-18,150,0.0,151,0,0.0,0.0,0.0,0.0,0.0,0.0
14128,64532,muebles,mesitas de noche,2019-02-16,150,0.22,308,1,0.22,0.0,0.0,0.0,0.0,0.0
14129,64532,muebles,mesitas de noche,2019-02-13,150,0.35,260,2,0.7,0.0,0.0,0.0,0.0,0.0
14130,64532,muebles,mesitas de noche,2019-03-11,150,0.88,590,1,0.88,0.0,0.0,0.0,0.0,0.0
14131,64532,muebles,mesitas de noche,2019-03-19,150,0.3,711,6,1.82,0.0,0.0,0.0,0.0,0.0
14132,64532,muebles,mesitas de noche,2019-02-11,150,0.36,240,1,0.36,0.0,0.0,0.0,0.0,0.0
14133,64532,muebles,mesitas de noche,2019-01-15,150,0.3,381,1,0.3,0.51,0.51,29.84,29.84,99.48
14134,64532,muebles,mesitas de noche,2019-01-21,150,0.16,333,2,0.31,0.0,0.0,0.0,0.0,0.0
14135,64532,muebles,mesitas de noche,2019-02-04,150,0.28,386,4,1.1,0.0,0.0,0.0,0.0,0.0
14136,64532,muebles,mesitas de noche,2019-03-23,150,0.6,447,2,1.21,0.0,0.0,0.0,0.0,0.0
14137,64532,muebles,mesitas de noche,2019-03-24,150,0.32,669,6,1.95,0.0,0.0,0.0,0.0,0.0
14138,64532,muebles,mesitas de noche,2019-01-25,150,0.27,283,1,0.27,0.0,0.0,0.0,0.0,0.0
14139,64532,muebles,mesitas de noche,2019-03-27,150,0.67,510,3,2.02,0.0,0.0,0.0,0.0,0.0
14140,64532,muebles,mesitas de noche,2019-02-28,150,0.29,216,1,0.29,0.0,0.0,0.0,0.0,0.0
14141,64532,muebles,mesitas de noche,2019-01-12,150,0.27,244,5,1.35,0.0,0.0,0.0,0.0,0.0
14142,64532,muebles,mesitas de noche,2019-02-12,150,0.3,274,1,0.3,0.0,0.0,0.0,0.0,0.0
14143,64532,muebles,mesitas de noche,2019-01-27,150,0.26,320,4,1.06,0.0,0.0,0.0,0.0,0.0
14144,64532,muebles,mesitas de noche,2019-02-05,150,0.0,440,0,0.0,0.0,0.0,0.0,0.0,0.0
14145,64532,muebles,mesitas de noche,2019-01-26,150,0.2,283,2,0.4,0.0,0.0,0.0,0.0,0.0
14146,64532,muebles,mesitas de noche,2019-01-16,150,0.3,481,1,0.3,0.0,0.0,0.0,0.0,0.0
14147,64532,muebles,mesitas de noche,2019-01-30,150,0.0,277,0,0.0,0.0,0.0,0.0,0.0,0.0
14148,64532,muebles,mesitas de noche,2019-01-13,150,0.27,281,4,1.07,1.0,1.0,356.4,356.4,333.08
14149,64532,muebles,mesitas de noche,2019-02-14,150,0.3,352,1,0.3,0.0,0.0,0.0,0.0,0.0
14150,64532,muebles,mesitas de noche,2019-03-17,150,0.32,1474,6,1.92,1.0,1.0,126.0,126.0,65.62
