,Reference,CatN1,CatN2,Date,Cat_Price,CPC_medio,Impressions,Clics,Cost,Conversions,All_Conversions,Ads_Income,Ads_Income_All,ROAS_Ads
5964,123838,decoración para tu casa,espejos de pared,2019-03-26,30,0.2,4221,70,13.65,0.0,0.0,0.0,0.0,0.0
5965,123838,decoración para tu casa,espejos de pared,2019-01-29,30,0.22,2446,62,13.58,0.0,0.0,0.0,0.0,0.0
5966,123838,decoración para tu casa,espejos de pared,2019-03-31,30,0.31,2406,27,8.29,0.0,0.0,0.0,0.0,0.0
5967,123838,decoración para tu casa,espejos de pared,2019-02-24,30,0.23,3366,64,14.79,0.0,0.0,0.0,0.0,0.0
5968,123838,decoración para tu casa,espejos de pared,2018-11-03,30,0.13,1063,20,2.51,0.0,0.0,0.0,0.0,0.0
5969,123838,decoración para tu casa,espejos de pared,2018-11-09,30,0.18,2003,57,10.52,0.0,1.0,0.0,0.0,0.0
5970,123838,decoración para tu casa,espejos de pared,2019-03-19,30,0.22,8157,139,29.99,0.0,0.0,0.0,0.0,0.0
5971,123838,decoración para tu casa,espejos de pared,2019-01-11,30,0.24,4980,111,26.7,1.0,2.0,15.2,30.4,0.57
5972,123838,decoración para tu casa,espejos de pared,2018-10-19,30,0.22,570,12,2.69,0.0,0.0,0.0,0.0,0.0
5973,123838,decoración para tu casa,espejos de pared,2018-11-17,30,0.21,6110,133,28.24,1.0,3.0,23.51,70.92,0.83
5974,123838,decoración para tu casa,espejos de pared,2019-01-28,30,0.25,3023,68,16.82,0.0,0.0,0.0,0.0,0.0
5975,123838,decoración para tu casa,espejos de pared,2019-01-15,30,0.27,3864,79,21.49,1.16,1.16,24.91,24.91,1.16
5976,123838,decoración para tu casa,espejos de pared,2018-10-01,30,0.18,872,17,3.08,1.0,1.0,43.02,43.02,13.97
5977,123838,decoración para tu casa,espejos de pared,2019-02-15,30,0.23,2594,53,12.25,0.0,0.0,0.0,0.0,0.0
5978,123838,decoración para tu casa,espejos de pared,2019-01-20,30,0.21,4406,90,18.99,0.0,0.0,0.0,0.0,0.0
5979,123838,decoración para tu casa,espejos de pared,2019-03-10,30,0.16,3821,76,12.22,0.0,0.0,0.0,0.0,0.0
5980,123838,decoración para tu casa,espejos de pared,2019-02-16,30,0.24,1831,33,8.05,0.0,0.0,0.0,0.0,0.0
5981,123838,decoración para tu casa,espejos de pared,2018-11-10,30,0.18,2103,70,12.31,0.0,0.0,0.0,0.0,0.0
5982,123838,decoración para tu casa,espejos de pared,2018-10-27,30,0.21,6981,165,34.69,3.0,4.0,75.7,75.7,2.18
5983,123838,decoración para tu casa,espejos de pared,2018-11-15,30,0.19,4207,101,18.87,0.0,0.0,0.0,0.0,0.0
5984,123838,decoración para tu casa,espejos de pared,2018-11-07,30,0.21,2100,51,10.83,0.0,1.0,0.0,0.0,0.0
5985,123838,decoración para tu casa,espejos de pared,2019-02-23,30,0.22,3132,66,14.3,1.0,2.0,22.3,44.6,1.56
